"","AC169A","AC170A","AC174A","AC199A","AC200A","AC201A","AC202A","AC203A","AC204A","AC179A","AC183A","AC184A","AC176A","AC180A","AC205A","AC206A","AC207A","AC208A","AC209A","AC210A","AC166Pp","AC170Pp","AC174Pp","AC199Pp","AC200Pp","AC201Pp","AC202Pp","AC203Pp","AC204Pp","AC179Pp","AC183Pp","AC184Pp","AC175Pp","AC176Pp","AC180Pp","AC205Pp","AC206Pp","AC207Pp","AC208Pp","AC209Pp","AC210Pp"
"LOC101864442",5.10001688915057,2.20664762148177,1.15561734479368,-0.101910006424339,-0.440607848947117,-0.00645084922824856,0.215535876590844,-0.0315847619742343,0.365280442886998,-0.26788093997258,0.0727086036634286,0.52064568783796,-0.68561645146851,0.0405935196176866,-0.68561645146851,-0.361632753703229,0.788872648316407,-0.68561645146851,-0.68561645146851,-0.68561645146851,-0.304649619546852,-0.189100860352517,0.0389196995969302,-0.34922485030143,-0.123635066326133,-0.68561645146851,-0.408724527197501,0.447306063470874,0.0440492963617698,-0.170893762514168,0.50771702373693,-0.378113464960637,-0.432782222783904,-0.346238640234318,-0.68561645146851,-0.68561645146851,-0.68561645146851,-0.285882699646525,-0.366092285219996,-0.68561645146851,-0.0823410434870129
"LOC118478504",1.13505719642319,1.67542634789146,3.84860955317698,-0.209944942123697,-0.112273870670797,1.2996148128524,-0.186018943251491,-0.722766142938891,-0.700999281149683,0.143108563763029,0.0349255356341505,-0.2766810764715,2.37945750535487,1.0082659288113,-0.642744340040818,-0.422715804516745,1.38383048168174,1.03753325764257,-0.203456645222963,0.0978834638334563,-0.672328586490232,-0.100123482640553,-0.802701704493497,-0.399516068570733,0.284973331514564,-0.34825099306461,-1.02848585249092,-0.322390112736491,-0.573720527242481,-1.02848585249092,-0.470675628156652,-0.166053112013822,-0.319378863946941,-0.393932588203996,-0.149239918455667,-1.02848585249092,-0.675204819703812,-1.02848585249092,-0.729769943554202,-0.14935784111463,-0.464497331841111
"LOC101852276",3.37716339484654,3.65020521391036,3.0293205026471,-0.456406629210133,-0.108528564343664,-0.456406629210133,-0.456406629210133,-0.456406629210133,-0.456406629210133,0.136719570726133,-0.456406629210133,-0.456406629210133,-0.456406629210133,-0.456406629210133,-0.456406629210133,0.463616755005758,-0.456406629210133,-0.456406629210133,0.170106819156976,-0.456406629210133,-0.456406629210133,0.248576302964181,-0.1134931810501,0.0212225562431374,-0.456406629210133,0.0601524013361368,0.3298892461287,-0.456406629210133,0.234275808718767,-0.456406629210133,-0.0328148289399777,-0.456406629210133,-0.456406629210133,-0.456406629210133,-0.456406629210133,-0.456406629210133,-0.456406629210133,-0.456406629210133,-0.456406629210133,-0.456406629210133,0.4001603621134
"LOC101862070",4.55284556317753,3.20859809854574,0.720197454802064,-0.548013052654321,-0.345503745189542,-0.360893968741657,-0.548013052654321,-0.548013052654321,-0.258477093368647,0.487811750220915,-0.234620216305747,-0.548013052654321,0.355891628319872,-0.548013052654321,-0.548013052654321,-0.548013052654321,-0.243332152280897,-0.548013052654321,-0.548013052654321,-0.548013052654321,0.711523608598539,-0.137623264428066,-0.348393783949055,0.00806889294483909,-0.315763123586334,-0.548013052654321,-0.319150917816357,-0.548013052654321,-0.548013052654321,-0.122574377424738,0.438324296938502,-0.293849663286703,-0.548013052654321,-0.267503859039587,0.22934192076125,-0.0148268477534024,1.32603440473958,-0.217617285245705,-0.548013052654321,-0.288929480599991,-0.0493820502175878
"LOC118478260",4.5250310790041,3.37823993065489,1.86184328060353,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,0.397282575502148,0.327517562365206,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,0.330780916771654,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,0.324765359660132,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,0.0990339312562254,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,-0.358254603062979,0.219652662197444,-0.358254603062979,-0.358254603062979
"LOC106012286",2.36760023794873,4.46174283897788,1.16961200046616,-0.246672540298512,-0.553302958026424,-0.160251318867132,-0.50317032456991,0.113048865818269,-0.775114498302221,-0.0187446706369281,-0.775114498302221,-0.775114498302221,0.214946116982136,0.21106568430712,-0.775114498302221,0.98474182394974,0.893493741252389,-0.108213693465102,1.22225077161141,-0.229734787207466,-0.430217058322924,-0.550361393915264,0.31811568490662,-0.166029442325898,-0.775114498302221,-0.775114498302221,-0.524438303342417,-0.775114498302221,-0.554920483687852,0.622853955991871,-0.505026903954512,-0.775114498302221,-0.317322003493156,0.146623525635677,-0.775114498302221,-0.191107497125505,-0.0908902219328028,-0.775114498302221,-0.196570343186407,-0.491336301156782,0.863359980689205
"LOC101858613",2.93037270554754,0.377541172757596,2.57438998377844,-0.653131662945277,-0.562670966096712,1.13703021731214,-0.110789655253068,-1.12809484799471,-0.80462436213064,-0.326141637216487,0.230266490774033,-0.0186368653265223,-1.0956095370065,0.475147188243729,0.375079121000413,1.11348079759405,-1.09206942617091,-0.135579191158201,0.881123748095464,0.153580576127843,-0.751516088013322,-0.551417556547229,-0.9930132463727,0.336366581128584,0.291848501297398,-0.78122754190286,-0.212494592818729,-1.08426059594966,-1.41124540173625,0.594308993680042,1.17190951055863,0.186285280134034,1.43470836193785,-1.11739109246614,0.2174292654082,-0.85269307076095,-1.41124540173625,0.31932568519527,-0.581254016972976,-0.325607913307646,1.20052048931247
"LOC101855689",4.62416052123859,2.59913975189822,1.73121071933091,0.247009751405701,0.0831017898256995,0.546035305657812,-0.423831092900153,-0.011363563880598,-0.774176177382751,-0.286961379697236,-0.331949962291669,-0.305212165478595,-0.349011868664342,0.0728196714329706,-0.774176177382751,-0.018436493223032,-0.344243307976576,-0.774176177382751,-0.25953591528299,0.279741056821362,-0.774176177382751,0.0944706216659782,-0.210813755399419,0.010506768622055,-0.118724008893033,0.0744634665489119,-0.774176177382751,-0.774176177382751,0.0768502255057746,-0.173842942927827,0.965590109219014,-0.774176177382751,-0.479289642274893,-0.774176177382751,-0.774176177382751,-0.774176177382751,0.107308461981694,-0.307957257366616,-0.401507592284691,0.322596315538196,-0.0705618143237098
"LOC106011394",1.37303872678247,4.50110329035328,0.0561935245201525,-0.258540059178787,0.0540058804754485,0.375667847719832,-0.235652324368033,-0.456654421561765,-0.728285190795966,-1.04156054615213,-0.0242956881145196,-0.322380191973482,-1.04156054615213,0.582078899190922,0.434448792411082,-0.172336384077314,-0.711898498059014,-0.053378239548063,1.32612113032887,-0.502815176550221,-0.700858655347621,-0.597522413347111,-0.609587968418682,-0.139046902193112,0.214901332360672,0.910588054381252,-0.793933733939167,-0.703833119831876,0.481047507686066,-0.811400098217402,-0.507956387868852,0.0584496400659601,-1.04156054615213,0.779490300736733,-1.04156054615213,-0.17620638656811,-0.703610074981047,1.46083660648226,-0.470054165664976,1.20104858060388,0.0374681511147344
"LOC118478929",3.71605792295116,2.27731245802713,1.61944792903095,-0.301557965257339,0.174867235296431,-0.923254625955204,-0.0105533909652098,-0.748173385700779,0.511305687345813,-0.590330433677541,-1.31714754690655,-0.61755658423533,-0.365770360770109,-0.685381967661399,-0.599245015172036,-0.189750476450332,0.286265200964047,0.605383865846911,-0.933282615640434,1.82727698775616,-1.31714754690655,0.194653659083001,-0.686838105578899,-1.02450403714221,-0.339357350006804,0.265331626304636,0.128143434133543,0.654021887244875,-0.259194332760475,-0.645473876718268,-0.279008380257311,-0.514611874887934,0.662428228252754,0.159059253012696,-0.498966379352237,-0.475364333506165,-0.00216671302777282,-0.621651656411048,-0.761208140922116,0.318995322646288,1.30694639797366
