"","RSB443-01","RSB443-02","RSB443-03","RSB443-04","RSB443-05","RSB443-06"
"aae-miR-100_MIMAT0014291_Aedes_aegypti_miR-100 ",829.056106845419,829.744749501798,859.436623935337,997.59178517413,896.523977048394,1037.18489267308
"aae-miR-124_MIMAT0014282_Aedes_aegypti_miR-124 ",203.804384383851,53.8018929792232,337.828861609802,192.681279379427,65.8254419549493,287.735163773822
"aae-miR-137_MIMAT0014274_Aedes_aegypti_miR-137 ",25.1610351091174,35.8679286528155,25.2245550001986,22.7902588513301,41.720350534827,24.5355566008686
"aae-miR-184_MIMAT0014207_Aedes_aegypti_miR-184 ",1024.05412894108,1696.55302527817,998.171676436429,1237.92542396997,1766.16150597434,1047.59391668557
"aae-miR-2b_MIMAT0014306_Aedes_aegypti_miR-2b ",727.153914653494,1297.22341961016,676.558600183898,725.144599815047,1124.59522663878,591.083863566379
"aae-miR-2c_MIMAT0014308_Aedes_aegypti_miR-2c ",76.7411570828081,78.909443036194,94.5920812507447,78.7299851227766,86.2220577719759,115.242765852564
"aae-miR-317_MIMAT0014224_Aedes_aegypti_miR-317 ",45.2898631964114,70.5402596838704,58.5570026790324,61.1193305558397,69.533917558045,60.9671406445825
"aae-miR-34-5p_MIMAT0014245_Aedes_aegypti_miR-34-5p ",203.804384383851,69.3446620621099,154.04996089407,153.316286818039,60.2627285503057,121.190779573987
"aae-miR-71-5p_MIMAT0014220_Aedes_aegypti_miR-71-5p ",137.12764134469,125.537750284854,99.9973430365015,102.556164830985,138.140716215316,113.012260707031
"aae-miR-8-3p_MIMAT0014215_Aedes_aegypti_miR-8-3p ",30.1932421309409,50.2151001139416,27.0263089287842,18.6465754238155,41.720350534827,21.5615497401572
"abu-let-7a_MIMAT0042056_Astatotilapia_burtoni_let-7a ",865.539607753639,1074.8422619627,870.247147506851,783.156167800251,901.159571552264,793.31633009475
"abu-let-7c_MIMAT0042114_Astatotilapia_burtoni_let-7c ",836.604417378154,982.781245087143,789.168220720498,761.4018298058,889.107025842203,739.784206601946
"abu-miR-100_MIMAT0042041_Astatotilapia_burtoni_miR-100 ",757.347156784434,841.700725719403,854.03136214958,1084.60913715194,892.815501445299,1066.92496128019
"abu-miR-124_MIMAT0042170_Astatotilapia_burtoni_miR-124 ",279.287489711203,176.948448020556,438.727081610597,290.057839926019,239.196676399675,351.676311279116
"abu-miR-153a_MIMAT0042081_Astatotilapia_burtoni_miR-153a ",13.8385693100146,16.7383667046472,18.9184162501489,19.6824962806941,25.9593292216702,15.6135360187345
"abu-miR-184a_MIMAT0042054_Astatotilapia_burtoni_miR-184a ",951.087127124639,1672.64107284296,874.751532328315,1167.48280570223,1640.07333546909,1005.95782063561
"abu-miR-184b_MIMAT0042068_Astatotilapia_burtoni_miR-184b ",748.540794496243,610.950384719623,739.619987684394,863.957994636785,697.193413381998,790.342323234039
"abu-miR-29b_MIMAT0042168_Astatotilapia_burtoni_miR-29b ",26.4190868645733,10.7603785958446,23.422801071613,29.0057839926019,13.906783511609,20.0745463098016
"abu-miR-33-5p_MIMAT0042163_Astatotilapia_burtoni_miR-33-5p ",37.7415526636761,46.6283072486601,11.7114005358065,22.7902588513301,59.3356096495318,31.9705737526469
"aca-let-7a-5p_MIMAT0021692_Anolis_carolinensis_let-7a-5p ",860.507400731816,1114.2969834808,817.996283577868,867.065757207421,936.390089781673,799.264343816173
"aca-let-7c-5p_MIMAT0021696_Anolis_carolinensis_let-7c-5p ",855.475193709992,1111.90578823728,825.203299292211,790.407613798402,824.208702788027,782.907306082261
"aca-miR-100_MIMAT0021709_Anolis_carolinensis_miR-100 ",810.185330513581,854.852299558768,872.949778399729,968.586001181528,903.940928254586,1008.93182749632
"aca-miR-124a_MIMAT0021725_Anolis_carolinensis_miR-124a ",549.768617134216,500.955403517656,639.622644647893,523.140032723713,549.781508158943,573.239822402111
"aca-miR-124b_MIMAT0021726_Anolis_carolinensis_miR-124b ",207.578539650219,58.5842834662652,415.304280538984,206.148250518849,79.7322254665583,293.683177495245
"aca-miR-184-3p_MIMAT0021814_Anolis_carolinensis_miR-184-3p ",928.442195526433,723.336561165112,896.372579471342,927.149166906382,831.625653994219,966.552229731186
"aca-miR-1a-3p_MIMAT0021840_Anolis_carolinensis_miR-1a-3p ",25.1610351091174,38.2591238963365,27.927185893077,27.9698631357233,43.5745883363749,34.2010788981804
"aca-miR-99a-5p_MIMAT0021996_Anolis_carolinensis_miR-99a-5p ",22.6449315982057,11.9559762176052,26.1254319644914,21.7543379944514,18.5423780154787,18.5875428794459
"aca-miR-99b-5p_MIMAT0021998_Anolis_carolinensis_miR-99b-5p ",80.5153123491758,69.3446620621099,171.166623215633,176.106545669369,66.7525608557232,190.336439085526
"aga-miR-100_MIMAT0001498_Anopheles_gambiae_miR-100 ",1068.08594038203,1311.57059107129,1094.56551161576,1386.06210650362,1412.0020858787,1383.65669194595
"aga-miR-124_MIMAT0001499_Anopheles_gambiae_miR-124 ",584.99406628698,516.498172600543,713.494555719903,594.618571848339,509.915395425664,591.083863566379
"aga-miR-137_MIMAT0010107_Anopheles_gambiae_miR-137 ",30.1932421309409,35.8679286528155,27.0263089287842,35.2213091338737,34.3033993286356,26.0225600312242
"aga-miR-184_MIMAT0001504_Anopheles_gambiae_miR-184 ",705.767034810744,652.796301481241,748.628757327322,890.89193691563,691.630699977355,764.319763202815
"aga-miR-2_MIMAT0009202_Anopheles_gambiae_miR-2 ",83.0314158600875,80.1050406579545,92.7903273221591,81.8377476934125,78.8051065657844,100.372731549008
