"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC175Pp","AC176Pp","AC180Pp","AC176A","AC180A"
"1","LOC101845620",23819.6015176457,-11.0682011806934,0.296196534313828,-37.3677605861734,1.30522208465671e-305,1.59511190965896e-301,24.253924355268,27.6231808176427,35.5411346867825,63610.8274038598,55399.761944509
"2","LOC100533236",323199.305140896,-11.2116498641415,0.324283847580608,-34.5735686429913,6.30759417786356e-262,3.85425542238353e-258,205.790873317425,384.75144710288,440.163283428615,620846.931416359,994118.888684272
"3","LOC101856039",14781.0904811976,-6.41422120367043,0.228965018630634,-28.0139789127257,1.09786078439837e-172,4.47231888204417e-169,380.713115637237,446.903603942576,453.832950615839,37252.6385144296,35371.3642213627
"4","LOC100533366",40331.2671164824,6.46988503145875,0.25078038815061,25.7990071678698,9.09749459984228e-147,2.77951203761681e-143,76621.0869079104,65163.083548819,58366.7449560093,873.166665791209,632.253503882195
"5","LOC100533370",12259.4006109423,5.12992380976619,0.224684921372134,22.8316336425165,2.22485268858123e-115,5.43798494143025e-112,19522.9391711813,19943.936550338,20684.9403877074,526.655137012416,618.531808472398
"6","LOC100533237",37676.9412579236,-6.15968206868796,0.321053379351612,-19.1858502817439,4.85927497740661e-82,9.89753324981436e-79,733.49746989568,1798.46637966295,1342.3613177854,95070.2594111528,89440.1217111213
"7","LOC101845728",350.613804581545,-5.26513446926747,0.328642327224716,-16.0208653393187,9.13698197691516e-58,1.59518652485543e-54,21.3140547364476,22.6904699573493,21.8714674995585,930.388753112478,756.804277601893
"8","LOC101862698",547.442460874197,-5.22612911789125,0.328768512906179,-15.8960755447485,6.74606077686521e-57,1.03054510942587e-53,30.1336635929087,40.4482290544053,35.5411346867825,998.207523271018,1632.88175376587
"9","LOC101851187",272.494568872805,-6.77935198009307,0.457972535360871,-14.8029662406526,1.40162635354492e-49,1.90325285185249e-46,8.084641451756,3.94616868823467,5.46786687488962,601.891585157047,743.082582192095
"10","LOC101856757",1261.93543918032,3.72197420835217,0.253090650827061,14.7060912609349,5.89134743677186e-49,7.19981570247889e-46,2129.93553883535,1976.04397063351,1900.08373902414,173.78559853126,129.828348877312
