contrast	gene	log2FoldChange
60.Control.71.Control	LOC101858991	0.6545088247072706
60.Control.71.Control	LOC101859759	-1.2861024297970014
60.Control.71.Control	LOC101849272	-5.111461213233415
60.Control.71.Control	LOC101853221	-1.2852433452138985
60.Control.71.Control	LOC101854142	0.8444180479515884
60.Control.71.Control	LOC106014181	-3.6367576174784024
60.Control.71.Control	LOC101846405	0.5470339712409271
60.Control.71.Control	LOC101860074	0.7596782850029334
60.Control.71.Control	LOC101861183	-1.8672249929329139
60.Control.71.Control	LOC101863565	1.1498350585491157
60.Control.71.Control	LOC100533366	1.0080587358299835
60.Control.71.Control	LOC101853677	-0.9252968248980445
60.Control.71.Control	LOC100533260	0.970050021782251
60.Control.71.Control	LOC101864126	-0.8825910605346904
60.Control.71.Control	LOC101846114	0.7489169967441117
60.Control.71.Control	LOC101853440	0.5793573573891483
60.Control.71.Control	LOC101845985	1.4149145760507598
60.Control.71.Control	LOC101846193	-4.251397234928648
60.Control.71.Control	LOC101846793	0.7312301452265375
60.Control.71.Control	LOC101858918	1.16267749085092
60.Control.71.Control	LOC101860873	-4.0952054933861035
60.Control.71.Control	LOC101856320	-0.37205394656900415
60.Control.71.Control	LOC101858992	-1.2435538285102996
60.Control.71.Control	LOC101850397	0.7919722299275976
60.Control.71.Control	LOC101855403	-2.8624753603011976
60.Control.71.Control	LOC101857930	-1.3462480773580985
60.Control.71.Control	LOC101858919	-0.9195912850020763
60.Control.71.Control	LOC101848269	0.8619085528301759
60.Control.71.Control	LOC101863652	-1.0730567416390362
60.Control.71.Control	LOC101864367	0.691940750561272
60.Control.71.Control	LOC101854624	1.4685850327393026
60.Control.71.Control	LOC106011030	-2.051997289199986
60.Control.71.Control	LOC101856161	-2.4139675488866037
60.Control.71.Control	LOC101848270	-1.4220370456606635
60.Control.71.Control	LOC101850398	0.811382861088978
60.Control.71.Control	LOC101852386	0.9337918786478483
60.Control.71.Control	LOC101852753	-5.248701979355591
60.Control.71.Control	LOC101846269	0.97378388183875
60.Control.71.Control	LOC101850631	-8.432068270890255
60.Control.71.Control	LOC101860874	-1.0827688855086075
60.Control.71.Control	LOC101863568	-0.8112500345920748
60.Control.71.Control	LOC101847475	0.5368504164630096
60.Control.71.Control	LOC101848803	0.5912417348972685
60.Control.71.Control	LOC101849907	0.7421289342155449
60.Control.71.Control	GnRH	1.4410417913655365
60.Control.71.Control	LOC101862331	-1.2045623405766617
60.Control.71.Control	LOC101864596	-4.547640675907835
60.Control.71.Control	LOC101845224	-0.5953713838341644
60.Control.71.Control	LOC101860554	1.7293448005194862
60.Control.71.Control	LOC101845755	0.9105525568126535
60.Control.71.Control	LOC101852604	-2.284092829391075
60.Control.71.Control	LOC106011061	-1.9460167710054295
60.Control.71.Control	LOC101853766	3.968883864242567
60.Control.71.Control	LOC101858090	0.7741500315996231
60.Control.71.Control	LOC101848570	0.5779839508083697
60.Control.71.Control	LOC101861341	2.088006370477562
60.Control.71.Control	LOC101862014	2.2647022097762575
60.Control.71.Control	LOC101850234	1.481051388822252
60.Control.71.Control	LOC101863328	-3.4130026200190744
60.Control.71.Control	LOC101864204	-0.7245186435092644
60.Control.71.Control	LOC101853767	-0.8528621101235768
60.Control.71.Control	LOC101851712	1.4102743119376477
60.Control.71.Control	LOC101864049	1.0259689834738548
60.Control.71.Control	LOC101845832	-2.712297720218509
60.Control.71.Control	LOC101846060	-0.9339841321638314
60.Control.71.Control	LOC101850146	0.7402642138431809
60.Control.71.Control	LOC101850783	-1.5061742085052516
60.Control.71.Control	LOC100533263	0.5908688023927183
60.Control.71.Control	LOC101861791	0.5784634473635825
60.Control.71.Control	LOC101852672	0.6494854908624815
60.Control.71.Control	LOC101857626	2.266217053726221
60.Control.71.Control	LOC101848729	1.0395775315030513
60.Control.71.Control	LOC118477283	-2.635149624841232
60.Control.71.Control	LOC101852307	-0.7962151592801525
60.Control.71.Control	LOC101858608	1.7720939023281281
60.Control.71.Control	LOC101854553	-2.532636660005656
60.Control.71.Control	LOC101860391	1.651918077437107
60.Control.71.Control	LOC101848950	0.7397672029111783
60.Control.71.Control	LOC101849440	0.7298191749127094
60.Control.71.Control	LOC101853446	1.0234065524995284
60.Control.71.Control	LOC101854239	0.6735144868351127
60.Control.71.Control	LOC101861104	-4.907233965525741
60.Control.71.Control	LOC101861343	1.2920016368334708
60.Control.71.Control	LOC101862170	1.6198049367023242
60.Control.71.Control	LOC101845226	0.7592681859007172
60.Control.71.Control	LOC101848807	-3.6973325003629385
60.Control.71.Control	LOC101850066	1.444232178166863
60.Control.71.Control	LOC101858010	0.7108014487954362
60.Control.71.Control	LOC118477315	-3.1512943882723268
60.Control.71.Control	LOC101845452	-1.9139687625479826
60.Control.71.Control	LOC106011146	-2.362673560367414
60.Control.71.Control	LOC101860392	0.8707160837130508
60.Control.71.Control	LOC101856247	-2.1384478892533965
60.Control.71.Control	LOC101856720	-2.6172606623320473
60.Control.71.Control	LOC101857174	-1.217235968291427
60.Control.71.Control	LOC101857777	-2.056427097011426
60.Control.71.Control	LOC101862568	1.1584438664243146
60.Control.71.Control	LOC101851480	0.6500420587249522
60.Control.71.Control	LOC101853070	0.7551113859550541
60.Control.71.Control	LOC101856721	-0.8317408869173728
60.Control.71.Control	LOC101851565	0.8317989829664567
60.Control.71.Control	LOC118477331	4.097487032065954
60.Control.71.Control	LOC101854397	0.9682458098571969
60.Control.71.Control	LOC101853373	1.20823324091742
60.Control.71.Control	LOC101846723	-1.5980420495453724
60.Control.71.Control	LOC101860485	-0.5227379959712581
60.Control.71.Control	LOC101862711	-1.8226343268138985
60.Control.71.Control	LOC118477345	1.1348555300956222
60.Control.71.Control	LOC101864210	0.8881216932093066
60.Control.71.Control	LOC118477349	0.9175616657514516
60.Control.71.Control	LOC101854702	0.6400703108827465
60.Control.71.Control	LOC101855087	0.8026281924413341
60.Control.71.Control	LOC101857397	-0.8896437559955586
60.Control.71.Control	LOC101845076	1.0618553153254287
60.Control.71.Control	LOC101850317	1.087404013641423
60.Control.71.Control	LOC101851179	-1.3605159623499343
60.Control.71.Control	LOC101845077	-0.644572901423062
60.Control.71.Control	LOC101856722	1.1082162053389537
60.Control.71.Control	LOC101847091	2.605274739247656
60.Control.71.Control	LOC101847565	1.7156217199926944
60.Control.71.Control	LOC101863968	1.0581756747781268
60.Control.71.Control	LOC101854242	-1.3444444819832204
60.Control.71.Control	LOC101860557	0.7387925011754094
60.Control.71.Control	LOC101864675	1.2110644428438142
60.Control.71.Control	LOC106011236	1.8693680104068873
60.Control.71.Control	LOC101845992	-2.419405983859823
60.Control.71.Control	LOC101847808	-1.2486864056858167
60.Control.71.Control	LOC101850319	-4.380032458474153
60.Control.71.Control	LOC101861650	0.9729719493779482
60.Control.71.Control	LOC101845156	0.910898580717153
60.Control.71.Control	LOC101857937	0.6011138249663251
60.Control.71.Control	LOC101863969	0.9472653535098428
60.Control.71.Control	LOC101846567	1.2855000805252368
60.Control.71.Control	LOC101857631	0.8086455795497652
60.Control.71.Control	LOC101847320	-4.005472896047071
60.Control.71.Control	LOC101848340	-2.0149401233372353
60.Control.71.Control	LOC101848576	-1.249769826640603
60.Control.71.Control	LOC101851632	1.0485143940725814
60.Control.71.Control	LOC101861109	0.7663291407281558
60.Control.71.Control	LOC101847027	0.6259889615939694
60.Control.71.Control	LOC101863886	1.4220493879392417
60.Control.71.Control	LOC101855006	0.5984691034905448
60.Control.71.Control	LOC101848956	-0.8419576081739213
60.Control.71.Control	LOC101856168	0.5440358191039915
60.Control.71.Control	LOC101857632	0.8996844559405857
60.Control.71.Control	LOC101852396	0.7559864453878358
60.Control.71.Control	LOC101852840	0.9561081383753955
60.Control.71.Control	LOC101857475	-1.9625948468049148
60.Control.71.Control	LOC101858700	0.7488937521132673
60.Control.71.Control	LOC101848649	-1.6647507151857237
60.Control.71.Control	PC1B	1.0039481819805358
60.Control.71.Control	LOC101855936	-1.869251137195908
60.Control.71.Control	LOC101856876	1.3017125828009348
60.Control.71.Control	LOC101847095	-2.0419862807537235
60.Control.71.Control	LOC101853302	0.9723447992496397
60.Control.71.Control	LOC101853539	2.7590158513660117
60.Control.71.Control	LOC101859089	-1.7075198686578712
60.Control.71.Control	LOC101846871	-2.0728775105642914
60.Control.71.Control	LOC101862861	1.0639940374890435
60.Control.71.Control	LOC101863253	-0.780446599044434
60.Control.71.Control	LOC101845455	0.8525443362596918
60.Control.71.Control	LOC101863573	-1.7199262847888066
60.Control.71.Control	LOC101857710	1.6357342436294555
60.Control.71.Control	LOC101859394	1.068889915920929
60.Control.71.Control	LOC101862489	-4.579431953866994
60.Control.71.Control	LOC118477435	-4.387780533286271
60.Control.71.Control	LOC101848651	-1.0212630478803915
60.Control.71.Control	LOC101855633	0.9414063956902309
60.Control.71.Control	LOC101855860	-0.6175358060258116
60.Control.71.Control	LOC101853378	2.0556285385156836
60.Control.71.Control	LOC101860318	0.766949234699185
60.Control.71.Control	LOC101851338	0.47015019172948436
60.Control.71.Control	LOC101845909	1.0906060268746793
60.Control.71.Control	LOC101852231	-3.4668217567083515
60.Control.71.Control	LOC101852464	3.811009050960552
60.Control.71.Control	LOC101855009	-0.44058852421288813
60.Control.71.Control	LOC101855937	-5.186717474284956
60.Control.71.Control	LOC101847028	-2.338988828277412
60.Control.71.Control	LOC101861199	-3.409348029177481
60.Control.71.Control	LOC101862636	-0.967187729046338
60.Control.71.Control	LOC101855552	2.006305892751257
60.Control.71.Control	LOC101859002	-2.2395778218432616
60.Control.71.Control	LOC101864055	-0.8855150149029273
60.Control.71.Control	LOC101864606	-0.7562187303259261
60.Control.71.Control	LOC101846065	0.9146194740273355
60.Control.71.Control	LOC101851029	-0.9781773492222445
60.Control.71.Control	LOC101853922	1.4766693878558559
60.Control.71.Control	LOC101856334	0.9240785921887548
60.Control.71.Control	LOC101855553	0.4745972800764655
60.Control.71.Control	LOC101856504	1.1360708052522626
60.Control.71.Control	LOC101857243	0.8460775070783151
60.Control.71.Control	LOC101846125	-1.1891096902679084
60.Control.71.Control	LOC100533302	0.636904235409695
60.Control.71.Control	LOC101858853	-0.9962068711232217
60.Control.71.Control	LOC101845912	1.4563439740730193
60.Control.71.Control	LOC101852232	-2.8795338175706404
60.Control.71.Control	LOC101863094	-1.0007939529233816
60.Control.71.Control	LOC101849916	-1.7896764525537445
60.Control.71.Control	LOC101859476	-2.3265118148510706
60.Control.71.Control	LOC118477496	-1.7893982234254424
60.Control.71.Control	LOC101855481	2.8290646602744376
60.Control.71.Control	LOC101846206	0.7457316957722687
60.Control.71.Control	LOC101852917	-1.2002233976011896
60.Control.71.Control	LOC101848036	-1.0928691934565098
60.Control.71.Control	LOC101846066	0.9256093504986941
60.Control.71.Control	LOC101851572	-1.0926236021537061
60.Control.71.Control	LOC101854247	-1.782291411645581
60.Control.71.Control	LOC101861355	-5.668306736434127
60.Control.71.Control	LOC101847647	0.8902674492692481
60.Control.71.Control	LOC106011452	-5.442188181333353
60.Control.71.Control	LOC101854709	-4.947186792940608
60.Control.71.Control	LOC101860885	-0.8484336837732406
60.Control.71.Control	LOC101861576	-2.243567722934874
60.Control.71.Control	LOC101847182	-1.5302358519071815
60.Control.71.Control	LOC101864681	0.9119183331956451
60.Control.71.Control	LOC101845160	-0.3821738388104419
60.Control.71.Control	LOC101852844	-1.7423714911184427
60.Control.71.Control	LOC101855554	0.6560981800044885
60.Control.71.Control	LOC101862029	-1.583165850373032
60.Control.71.Control	LOC101857018	-0.7992360159357671
60.Control.71.Control	LOC101858337	-4.318169766453705
60.Control.71.Control	LOC101858099	-0.8685022411103807
60.Control.71.Control	LOC101859700	1.0315336462852207
60.Control.71.Control	LOC101857558	2.2167267664501544
60.Control.71.Control	LOC101863738	0.8068181155420494
60.Control.71.Control	LOC101851033	2.193355556618888
60.Control.71.Control	LOC101855555	1.0694794227480153
60.Control.71.Control	LOC101862107	0.811942017057255
60.Control.71.Control	LOC101864137	0.8036293481802921
60.Control.71.Control	LOC101848880	0.8895437542114562
60.Control.71.Control	LOC101852684	-7.0117964897733644
60.Control.71.Control	LOC101853308	-0.6658776566284929
60.Control.71.Control	LOC101860563	-1.1609933111078492
60.Control.71.Control	LOC101847578	0.9494358449269673
60.Control.71.Control	LOC101849920	-2.088514660734309
60.Control.71.Control	LOC101851342	1.2577957358848186
60.Control.71.Control	LOC101852685	-2.657529045792587
60.Control.71.Control	LOC101858932	1.0130822024613306
60.Control.71.Control	LOC106011500	-4.223112899489359
60.Control.71.Control	LOC101849608	-1.9650715409101598
60.Control.71.Control	LOC101849838	-1.9494716988864642
60.Control.71.Control	LOC101851797	-1.1660953630925854
60.Control.71.Control	LOC101857945	-0.8744999038174877
60.Control.71.Control	LOC101862644	0.7189305079548101
60.Control.71.Control	LOC101850242	0.7035354910560903
60.Control.71.Control	LOC101859565	-2.517300469615289
60.Control.71.Control	LOC106011547	1.3424287797444159
60.Control.71.Control	LOC101864060	0.4625436186018509
60.Control.71.Control	LOC101846344	-1.1477876979672996
60.Control.71.Control	LOC101847255	1.1269387985363981
60.Control.71.Control	LOC101847487	-1.4207346767038205
60.Control.71.Control	LOC101851345	-0.707452606816126
60.Control.71.Control	LOC101859566	1.4715559979838615
60.Control.71.Control	LOC101849839	-4.276851995983959
60.Control.71.Control	LOC101864456	0.7285128719641297
60.Control.71.Control	LOC101848347	-2.5015036411899643
60.Control.71.Control	LOC101853548	0.4978436357880441
60.Control.71.Control	LOC101853783	-0.4145297307295148
60.Control.71.Control	PC2	0.6154644247288429
60.Control.71.Control	LOC100533443	0.8203583768017165
60.Control.71.Control	LOC101846346	0.9102367255564575
60.Control.71.Control	LOC101853232	0.724340262547928
60.Control.71.Control	LOC101857249	-1.6274287047047773
60.Control.71.Control	LOC101859098	-1.106236596918251
60.Control.71.Control	LOC101864612	1.05903625446733
60.Control.71.Control	LOC101847718	1.8291728823424362
60.Control.71.Control	LOC101863181	0.9530684945136786
60.Control.71.Control	LOC101847818	1.57733731339565
60.Control.71.Control	LOC101848882	-3.4195788422676756
60.Control.71.Control	LOC101853082	1.3680641111084149
60.Control.71.Control	LOC101857404	4.793365088315764
60.Control.71.Control	LOC101860891	-2.163810872312032
60.Control.71.Control	LOC101864457	-1.7461300657315724
60.Control.71.Control	LOC101864613	-1.620444816922714
60.Control.71.Control	LOC101849047	0.5298808879399439
60.Control.71.Control	LOC106011630	-1.8648813458408238
60.Control.71.Control	LOC101849536	-2.0760775028041967
60.Control.71.Control	LOC101850714	0.8925859534117948
60.Control.71.Control	LOC101851575	-2.7846383582180834
60.Control.71.Control	LOC118477597	1.2784941110588601
60.Control.71.Control	LOC101859633	-1.4274474323587762
60.Control.71.Control	LOC101849922	-0.9780845724377318
60.Control.71.Control	LOC101851730	1.9437884348218009
60.Control.71.Control	LOC101855016	1.1647511432114135
60.Control.71.Control	LOC101856733	0.9425402817378493
60.Control.71.Control	LOC101861887	1.1092752311453815
60.Control.71.Control	LOC101862794	-2.876010785412619
60.Control.71.Control	LOC101863017	-1.1925447448680906
60.Control.71.Control	LOC101849371	-4.915020454144828
60.Control.71.Control	LOC101852240	0.9066538477616577
60.Control.71.Control	LOC101855559	0.7844765458265829
60.Control.71.Control	LOC101845167	-0.7042824015769256
60.Control.71.Control	LOC101855017	1.413705983300551
60.Control.71.Control	LOC101861362	-1.0601764972968792
60.Control.71.Control	LOC101854325	1.1405586599288466
60.Control.71.Control	LOC101863814	-0.92216821541460825
60.Control.71.Control	LOC101845920	0.7296662858583494
60.Control.71.Control	LOC101847107	1.1166490647788525
60.Control.71.Control	LOC101849844	0.7865352104220139
60.Control.71.Control	LOC101853934	-2.7367486536686068
60.Control.71.Control	LOC101850083	-1.1763739013080396
60.Control.71.Control	LOC101858181	0.5952738722619281
60.Control.71.Control	LOC101863979	1.3254042510357336
60.Control.71.Control	LOC101847723	1.1666889388073005
60.Control.71.Control	LOC101851946	0.7400849766381032
60.Control.71.Control	LOC101854948	0.8002737641690378
60.Control.71.Control	LOC101864460	2.4848556436201497
60.Control.71.Control	LOC106011710	-1.074464571330201
60.Control.71.Control	LOC101847420	-1.190582567123526
60.Control.71.Control	LOC101847653	1.019409430823318
60.Control.71.Control	LOC101861889	-2.813831299072401
60.Control.71.Control	LOC101864141	1.3894584460459225
60.Control.71.Control	LOC100533359	0.6896185265263781
60.Control.71.Control	LOC101847187	-1.3163413129977102
60.Control.71.Control	LOC101853553	1.103797370537274
60.Control.71.Control	LOC101863668	-0.629050806369071
60.Control.71.Control	LOC101857794	1.0451535217159447
60.Control.71.Control	LOC101853936	2.346883064936766
60.Control.71.Control	LOC101852321	0.8936593923099225
60.Control.71.Control	LOC101857640	1.1222035452694106
60.Control.71.Control	LOC101850002	-0.7846272402198194
60.Control.71.Control	LOC101845999	-0.6435804832688421
60.Control.71.Control	LOC101852767	-0.6847358542499371
60.Control.71.Control	LOC101851126	0.8062865666131339
60.Control.71.Control	LOC101858939	-2.0529482503778165
60.Control.71.Control	LOC101850952	-2.3135478322248533
