stage,Min. (per sample),Max. (per sample),Median (per sample),Total
raw,"3,744,475","14,723,150","10,642,582","449,914,831"
post_qc,"2,868,631","12,341,999"," 8,423,182","351,314,325"
mapped,"2,026,328"," 9,255,139"," 5,972,638","250,056,187"
