contrast	gene	log2FoldChange
Hyp_T2h.Control	LOC101857454	-1.157255802073492
Hyp_T2h.Control	LOC101863943	-0.40771430750937854
Hyp_T2h.Control	LOC101864574	0.9510285241237942
Hyp_T2h.Control	LOC101845286	-1.537840188974485
Hyp_T2h.Control	LOC101855387	-1.3092119274329117
Hyp_T2h.Control	LOC101848010	-1.7626512961718785
Hyp_T2h.Control	LOC101848708	-2.111650555563863
Hyp_T2h.Control	LOC101851778	0.3335778492523906
Hyp_T2h.Control	LOC106011731	-1.7735075662209348
Hyp_T2h.Control	LOC106011748	-1.5479737420734812
Hyp_T2h.Control	LOC101852892	2.539279130957849
Hyp_T2h.Control	LOC101860462	0.4828310039769148
Hyp_T2h.Control	LOC101860861	0.7779805698423378
Hyp_T2h.Control	LOC101861478	-1.785535795257336
Hyp_T2h.Control	LOC101863312	-0.26631861166184295
Hyp_T2h.Control	LOC101860377	-1.0762964855895027
Hyp_T2h.Control	LOC118477738	-1.5161083933897221
Hyp_T2h.Control	LOC101846703	-0.3006174996844199
Hyp_T2h.Control	LOC101847462	0.2979164956305408
Hyp_T2h.Control	LOC101848329	-3.3568426649305647
Hyp_T2h.Control	LOC101852137	0.30275148591001055
Hyp_T2h.Control	LOC101855069	-0.30921453260310217
Hyp_T2h.Control	LOC101856548	0.6165247064702541
Hyp_T2h.Control	LOC101862233	-1.4755400223156436
Hyp_T2h.Control	LOC101858454	-1.6470239976230452
Hyp_T2h.Control	LOC101849018	0.3661381035562819
Hyp_T2h.Control	LOC101849740	-0.9304527478564315
Hyp_T2h.Control	LOC101859612	-1.8991127330855784
Hyp_T2h.Control	LOC101850380	-0.4861673040841289
Hyp_T2h.Control	LOC101850922	-1.930193943781717
Hyp_T2h.Control	TRNAK-CUU	-1.3705430777668481
Hyp_T2h.Control	LOC101853898	0.43487254192917263
Hyp_T2h.Control	LOC101856067	0.38259141941982966
Hyp_T2h.Control	LOC101857848	-0.4007864891168263
Hyp_T2h.Control	LOC101855537	-1.4106723973009048
Hyp_T2h.Control	LOC101855763	-2.515917880731313
Hyp_T2h.Control	LOC101856231	-3.046448977222043
Hyp_T2h.Control	LOC106012057	-1.2110868181761547
Hyp_T2h.Control	LOC101857159	-1.150085702272331
Hyp_T2h.Control	LOC101847078	0.28099118650572796
Hyp_T2h.Control	LOC101857615	-2.0161081054262437
Hyp_T2h.Control	LOC101858319	-1.2268456675138173
Hyp_T2h.Control	LOC101848709	0.8202243860022015
Hyp_T2h.Control	LOC101853659	-0.9039105320417441
Hyp_T2h.Control	LOC101861554	0.4598665861804419
Hyp_T2h.Control	LOC101862466	0.4944517550495806
Hyp_T2h.Control	LOC101863315	-0.4383986924984915
Hyp_T2h.Control	LOC101855158	-1.5425616266538393
Hyp_T2h.Control	LOC101848934	1.8992248421989892
Hyp_T2h.Control	LOC101849261	-1.6680776046965844
Hyp_T2h.Control	LOC106012167	-1.4648897244836654
Hyp_T2h.Control	LOC101851092	0.444555630032103
Hyp_T2h.Control	LOC101858149	-2.735528059040451
Hyp_T2h.Control	LOC101852065	0.3512814522015156
Hyp_T2h.Control	LOC100533244	-0.8257291431417935
Hyp_T2h.Control	LOC101863397	-0.8720833743907683
Hyp_T2h.Control	LOC100861465	1.0475912623079877
Hyp_T2h.Control	LOC101844966	0.4410575157554743
Hyp_T2h.Control	LOC101847546	-2.1078522357065164
Hyp_T2h.Control	LOC101860545	-1.521000819235806
Hyp_T2h.Control	LOC101851548	-2.108273258884964
Hyp_T2h.Control	LOC101861253	0.6520441481095122
Hyp_T2h.Control	LOC118477951	-1.1627546477920863
Hyp_T2h.Control	LOC101854993	-0.5702954344656125
Hyp_T2h.Control	TRNAD-GUC	-1.3118153033091198
