contrast	gene
Hyp_T2h.Control	LOC101864047
Hyp_T2h.Control	LOC100533258
Hyp_T2h.Control	LOC101845448
Hyp_T2h.Control	LOC101846335
Hyp_T2h.Control	LOC101853603
Hyp_T2h.Control	LOC101848269
Hyp_T2h.Control	LOC101858164
Hyp_T2h.Control	LOC101860479
Hyp_T2h.Control	LOC101863652
Hyp_T2h.Control	LOC101864367
Hyp_T2h.Control	LOC101850937
Hyp_T2h.Control	LOC101856716
Hyp_T2h.Control	LOC101856953
Hyp_T2h.Control	LOC101861188
Hyp_T2h.Control	LOC101846269
Hyp_T2h.Control	LOC101855627
Hyp_T2h.Control	LOC101864440
Hyp_T2h.Control	LOC101845072
Hyp_T2h.Control	Tld-2
Hyp_T2h.Control	LOC101857772
Hyp_T2h.Control	LOC101861716
Hyp_T2h.Control	LOC101862331
Hyp_T2h.Control	LOC101849823
Hyp_T2h.Control	LOC100533301
Hyp_T2h.Control	LOC101861025
Hyp_T2h.Control	LOC101849113
Hyp_T2h.Control	LOC100533411
Hyp_T2h.Control	LOC101863001
Hyp_T2h.Control	LOC101853528
Hyp_T2h.Control	LOC101853766
Hyp_T2h.Control	LOC101863724
Hyp_T2h.Control	LOC101860555
Hyp_T2h.Control	LOC101861189
Hyp_T2h.Control	LOC101849353
Hyp_T2h.Control	LOC101849825
Hyp_T2h.Control	LOC101855930
Hyp_T2h.Control	LOC100533381
Hyp_T2h.Control	LOC101862014
Hyp_T2h.Control	LOC101862248
Hyp_T2h.Control	LOC101850234
Hyp_T2h.Control	LOC101845756
Hyp_T2h.Control	LOC101857775
Hyp_T2h.Control	LOC101853767
Hyp_T2h.Control	LOC101851712
Hyp_T2h.Control	LOC101855171
Hyp_T2h.Control	LOC100533263
Hyp_T2h.Control	LOC100856795
Hyp_T2h.Control	LOC101861561
Hyp_T2h.Control	LOC101863330
Hyp_T2h.Control	LOC101848728
Hyp_T2h.Control	LOC101845304
Hyp_T2h.Control	LOC101853143
Hyp_T2h.Control	LOC101857391
Hyp_T2h.Control	LOC101860149
Hyp_T2h.Control	LOC101848336
Hyp_T2h.Control	LOC101848729
Hyp_T2h.Control	LOC101852157
Hyp_T2h.Control	LOC101858608
Hyp_T2h.Control	LOC101845757
Hyp_T2h.Control	LOC101848573
Hyp_T2h.Control	LOC101860391
Hyp_T2h.Control	LOC100533208
Hyp_T2h.Control	LOC101848950
Hyp_T2h.Control	LOC101860005
Hyp_T2h.Control	LOC101860876
Hyp_T2h.Control	LOC101862170
Hyp_T2h.Control	LOC101853298
Hyp_T2h.Control	LOC101862567
Hyp_T2h.Control	LOC101850066
Hyp_T2h.Control	LOC101858010
Hyp_T2h.Control	LOC101848951
Hyp_T2h.Control	LOC101862015
Hyp_T2h.Control	LOC101864208
Hyp_T2h.Control	LOC101845452
Hyp_T2h.Control	LOC101845676
Hyp_T2h.Control	LOC101845906
Hyp_T2h.Control	LOC101859915
Hyp_T2h.Control	LOC101852008
Hyp_T2h.Control	LOC101855707
Hyp_T2h.Control	LOC101855932
Hyp_T2h.Control	LOC101845758
Hyp_T2h.Control	LOC101848952
Hyp_T2h.Control	LOC101863006
Hyp_T2h.Control	LOC101846723
Hyp_T2h.Control	LOC101854555
Hyp_T2h.Control	LOC101851022
Hyp_T2h.Control	LOC101859084
Hyp_T2h.Control	LOC101861345
Hyp_T2h.Control	LOC101862711
Hyp_T2h.Control	LOC118477345
Hyp_T2h.Control	LOC101851482
Hyp_T2h.Control	LOC101852309
Hyp_T2h.Control	LOC101852677
Hyp_T2h.Control	LOC101852909
Hyp_T2h.Control	LOC101853685
Hyp_T2h.Control	LOC101861794
Hyp_T2h.Control	MRP
Hyp_T2h.Control	LOC118477353
Hyp_T2h.Control	LOC101846273
Hyp_T2h.Control	LOC101849596
Hyp_T2h.Control	LOC101855409
Hyp_T2h.Control	LOC101856327
Hyp_T2h.Control	LOC101857010
Hyp_T2h.Control	LOC101846492
Hyp_T2h.Control	LOC101850071
Hyp_T2h.Control	LOC101845077
Hyp_T2h.Control	LOC118477363
Hyp_T2h.Control	LOC101851335
Hyp_T2h.Control	LOC101851717
Hyp_T2h.Control	LOC100533354
Hyp_T2h.Control	LOC101859918
Hyp_T2h.Control	LOC101861194
Hyp_T2h.Control	LOC101857472
Hyp_T2h.Control	LOC101859391
Hyp_T2h.Control	LOC101860965
Hyp_T2h.Control	LOC101863008
Hyp_T2h.Control	LOC101847092
Hyp_T2h.Control	LOC101848875
Hyp_T2h.Control	LOC101845532
Hyp_T2h.Control	LOC101853375
Hyp_T2h.Control	LOC101860008
Hyp_T2h.Control	LOC101854315
Hyp_T2h.Control	LOC101863733
Hyp_T2h.Control	LOC101847942
Hyp_T2h.Control	LOC101857631
Hyp_T2h.Control	LOC101847568
Hyp_T2h.Control	LOC101848340
Hyp_T2h.Control	LOC101848576
Hyp_T2h.Control	LOC101860880
Hyp_T2h.Control	LOC101847027
Hyp_T2h.Control	LOC101853150
Hyp_T2h.Control	LOC101863886
Hyp_T2h.Control	LOC101848956
Hyp_T2h.Control	LOC101856168
Hyp_T2h.Control	LOC101850945
Hyp_T2h.Control	LOC101857632
Hyp_T2h.Control	LOC101849447
Hyp_T2h.Control	LOC101852612
Hyp_T2h.Control	LOC101858700
Hyp_T2h.Control	LOC101860798
Hyp_T2h.Control	LOC101845228
Hyp_T2h.Control	LOC101845837
Hyp_T2h.Control	PC1B
Hyp_T2h.Control	LOC101861569
Hyp_T2h.Control	LOC101855936
Hyp_T2h.Control	LOC106011337
Hyp_T2h.Control	LOC101853302
Hyp_T2h.Control	LOC101846871
Hyp_T2h.Control	LOC100533216
Hyp_T2h.Control	LOC101861942
Hyp_T2h.Control	LOC101862861
Hyp_T2h.Control	LOC101863253
Hyp_T2h.Control	LOC101864516
Hyp_T2h.Control	LOC101845455
Hyp_T2h.Control	LOC101850637
Hyp_T2h.Control	LOC101853775
Hyp_T2h.Control	LOC101861028
Hyp_T2h.Control	LOC101849530
Hyp_T2h.Control	LOC101850468
Hyp_T2h.Control	LOC101851337
Hyp_T2h.Control	LOC101845766
Hyp_T2h.Control	LOC101855633
Hyp_T2h.Control	LOC101855860
Hyp_T2h.Control	LOC101853378
Hyp_T2h.Control	LOC101859921
