contrast	gene
Hyp_T2h.Control	LOC106011276
Hyp_T2h.Control	LOC101862313
Hyp_T2h.Control	LOC101863472
Hyp_T2h.Control	LOC101864186
Hyp_T2h.Control	LOC118477147
Hyp_T2h.Control	LOC101857295
Hyp_T2h.Control	LOC101845968
Hyp_T2h.Control	LOC101848480
Hyp_T2h.Control	LOC101849332
Hyp_T2h.Control	LOC101854990
Hyp_T2h.Control	LOC101849808
Hyp_T2h.Control	LOC101855688
Hyp_T2h.Control	LOC101852808
Hyp_T2h.Control	LOC101853204
Hyp_T2h.Control	LOC101856769
Hyp_T2h.Control	LOC101857157
Hyp_T2h.Control	LOC101845285
Hyp_T2h.Control	LOC101857529
Hyp_T2h.Control	LOC101849015
Hyp_T2h.Control	LOC101857758
Hyp_T2h.Control	LOC101849974
Hyp_T2h.Control	LOC101852134
Hyp_T2h.Control	LOC101858453
Hyp_T2h.Control	LOC101858904
Hyp_T2h.Control	LOC101860460
Hyp_T2h.Control	LOC101861087
Hyp_T2h.Control	LOC101861330
Hyp_T2h.Control	LOC101852136
Hyp_T2h.Control	LOC101852371
Hyp_T2h.Control	LOC101861697
Hyp_T2h.Control	LOC101852810
Hyp_T2h.Control	LOC101853046
Hyp_T2h.Control	LOC101853509
Hyp_T2h.Control	LOC101853746
Hyp_T2h.Control	LOC101863153
Hyp_T2h.Control	LOC101863632
Hyp_T2h.Control	LOC101864187
Hyp_T2h.Control	LOC101864428
Hyp_T2h.Control	LOC101845139
Hyp_T2h.Control	LOC101855385
Hyp_T2h.Control	LOC101855837
Hyp_T2h.Control	LOC101847919
Hyp_T2h.Control	LOC101856065
Hyp_T2h.Control	LOC101856303
Hyp_T2h.Control	LOC101856994
Hyp_T2h.Control	LOC101849738
Hyp_T2h.Control	LOC101850216
Hyp_T2h.Control	LOC101862003
Hyp_T2h.Control	LOC101862464
Hyp_T2h.Control	LOC101862986
Hyp_T2h.Control	LOC101863223
Hyp_T2h.Control	LOC101863473
Hyp_T2h.Control	LOC101864349
Hyp_T2h.Control	LOC101854217
Hyp_T2h.Control	LOC101845812
Hyp_T2h.Control	LOC101846044
Hyp_T2h.Control	LOC101855387
Hyp_T2h.Control	LOC101846783
Hyp_T2h.Control	LOC101855611
Hyp_T2h.Control	LOC101848010
Hyp_T2h.Control	LOC101848708
Hyp_T2h.Control	LOC101849576
Hyp_T2h.Control	LOC101849336
Hyp_T2h.Control	LOC101857218
Hyp_T2h.Control	LOC106011730
Hyp_T2h.Control	LOC106011731
Hyp_T2h.Control	LOC101858376
Hyp_T2h.Control	LOC101852662
Hyp_T2h.Control	LOC101853274
Hyp_T2h.Control	LOC101860462
Hyp_T2h.Control	LOC101859213
Hyp_T2h.Control	LOC101860861
Hyp_T2h.Control	LOC101861478
Hyp_T2h.Control	LOC101862232
Hyp_T2h.Control	LOC101862845
Hyp_T2h.Control	LOC101864662
Hyp_T2h.Control	LOC101860377
Hyp_T2h.Control	LOC118477747
Hyp_T2h.Control	LOC101845372
Hyp_T2h.Control	LOC118477738
Hyp_T2h.Control	LOC101847462
Hyp_T2h.Control	LOC101848329
Hyp_T2h.Control	LOC101849977
Hyp_T2h.Control	LOC101852137
Hyp_T2h.Control	LOC101853596
Hyp_T2h.Control	LOC101855069
Hyp_T2h.Control	LOC101856548
Hyp_T2h.Control	LOC101862004
Hyp_T2h.Control	LOC101856941
Hyp_T2h.Control	LOC101862233
Hyp_T2h.Control	LOC101862696
Hyp_T2h.Control	LOC101863708
Hyp_T2h.Control	LOC101864431
Hyp_T2h.Control	LOC101845895
Hyp_T2h.Control	LOC101858454
Hyp_T2h.Control	LOC101847392
Hyp_T2h.Control	LOC101849018
Hyp_T2h.Control	LOC106010965
Hyp_T2h.Control	LOC101859371
Hyp_T2h.Control	LOC101849740
Hyp_T2h.Control	LOC101859612
Hyp_T2h.Control	LOC101849979
Hyp_T2h.Control	LOC101850922
Hyp_T2h.Control	LOC106011984
Hyp_T2h.Control	TRNAK-CUU
Hyp_T2h.Control	LOC101851841
Hyp_T2h.Control	LOC101852894
Hyp_T2h.Control	LOC101853206
Hyp_T2h.Control	LOC101853898
Hyp_T2h.Control	LOC101855388
Hyp_T2h.Control	LOC101855839
Hyp_T2h.Control	LOC101862386
Hyp_T2h.Control	LOC101856067
Hyp_T2h.Control	LOC101857457
Hyp_T2h.Control	LOC101855537
Hyp_T2h.Control	LOC101855763
Hyp_T2h.Control	LOC101856231
Hyp_T2h.Control	LOC106012057
Hyp_T2h.Control	LOC101864112
Hyp_T2h.Control	LOC101864495
Hyp_T2h.Control	LOC101845206
Hyp_T2h.Control	LOC101857159
Hyp_T2h.Control	LOC101847078
Hyp_T2h.Control	LOC101847696
Hyp_T2h.Control	LOC101857615
Hyp_T2h.Control	LOC101858319
Hyp_T2h.Control	LOC101848709
Hyp_T2h.Control	LOC101850296
Hyp_T2h.Control	LOC101852291
Hyp_T2h.Control	LOC101853659
Hyp_T2h.Control	LOC118477857
Hyp_T2h.Control	LOC101861554
Hyp_T2h.Control	LOC101854461
Hyp_T2h.Control	LOC101854685
Hyp_T2h.Control	LOC106012048
Hyp_T2h.Control	LOC101854220
Hyp_T2h.Control	LOC101862917
Hyp_T2h.Control	LOC101855158
Hyp_T2h.Control	LOC101847627
Hyp_T2h.Control	LOC101848484
Hyp_T2h.Control	LOC101848934
Hyp_T2h.Control	LOC101855841
Hyp_T2h.Control	LOC101849261
Hyp_T2h.Control	LOC106012167
Hyp_T2h.Control	LOC101856070
Hyp_T2h.Control	LOC101856551
Hyp_T2h.Control	LOC101857220
Hyp_T2h.Control	LOC101851092
Hyp_T2h.Control	LOC106012139
Hyp_T2h.Control	LOC101852065
Hyp_T2h.Control	LOC101860465
Hyp_T2h.Control	LOC101860708
Hyp_T2h.Control	LOC100533244
Hyp_T2h.Control	LOC100533272
Hyp_T2h.Control	LOC101862467
Hyp_T2h.Control	LOC101863154
Hyp_T2h.Control	LOC101864496
Hyp_T2h.Control	LOC101844966
Hyp_T2h.Control	LOC101845207
Hyp_T2h.Control	LOC101859615
Hyp_T2h.Control	LOC101847784
Hyp_T2h.Control	LOC101859834
Hyp_T2h.Control	LOC101849741
Hyp_T2h.Control	LOC101849981
Hyp_T2h.Control	LOC101851094
Hyp_T2h.Control	LOC101860545
Hyp_T2h.Control	LOC101852067
Hyp_T2h.Control	LOC101852294
Hyp_T2h.Control	LOC118477951
Hyp_T2h.Control	LOC101853661
Hyp_T2h.Control	LOC101855227
Hyp_T2h.Control	TRNAD-GUC
Hyp_T2h.Control	LOC101856232
Hyp_T2h.Control	LOC101857161
Hyp_T2h.Control	LOC101863071
