"","RSB441-01","RSB441-03","RSB441-04","RSB441-07","RSB441-08","RSB441-09","RSB441-10","RSB441-11","RSB441-12","RSB443-01","RSB443-02","RSB443-05"
"aae-miR-100_MIMAT0014291_Aedes_aegypti_miR-100 ",593.198562489285,396.009258714809,517.746169201487,516.007983870014,571.534101691111,529.604319056364,568.813012051873,331.878344061385,457.919402182172,562.563782173747,563.475575605968,612.68855803591
"aae-miR-124_MIMAT0014282_Aedes_aegypti_miR-124 ",42.9465022616677,41.4057938066422,34.3701553000987,46.5998399530189,39.0882842191702,38.8512820929379,24.090904039844,38.2936550840059,41.9926089337363,138.293372856065,36.5366007237299,44.9854060191826
"aae-miR-137_MIMAT0014274_Aedes_aegypti_miR-137 ",21.4732511308339,26.5421755170784,18.2819975000525,15.9121404717626,11.6208412543479,15.3360324051071,33.4595889442278,20.8874482276396,18.9966564224045,17.0732559081562,24.3577338158199,28.5118770544115
"aae-miR-184_MIMAT0014207_Aedes_aegypti_miR-184 ",2017.1435281027,1587.22209592129,1709.00112630491,2139.04631198979,2070.62262350199,1868.95114910238,2283.2823495541,1933.24937484709,2024.64364501943,694.881515461958,1152.12080948828,1207.00279530342
"aae-miR-2b_MIMAT0014306_Aedes_aegypti_miR-2b ",601.251031663348,732.564044271363,837.315485502405,760.372998257796,735.282319366013,894.601890297913,1043.93917505991,769.354343051392,933.835636764517,493.417095745714,880.938039672154,768.553485933359
"aae-miR-2c_MIMAT0014308_Aedes_aegypti_miR-2c ",30.8677985005737,48.8376029514242,46.8019136001344,45.4632584907502,43.3140446752967,75.6577598651949,37.4747396175351,47.5769654074013,51.9908491560545,52.0734305198764,53.5870143948038,58.9245459124505
"aae-miR-317_MIMAT0014224_Aedes_aegypti_miR-317 ",41.6044240659906,40.3441067859591,49.7270332001428,44.3266770284814,41.2011644472335,50.0977058566831,40.1515067330734,30.170758551035,31.9943687114182,30.7318606346812,47.9035431711125,47.5197950906859
"aae-miR-34-5p_MIMAT0014245_Aedes_aegypti_miR-34-5p ",24.1574075221881,69.0096563444037,71.6654302002059,62.5119804247815,68.6686074120558,70.5457490634925,52.1969587529954,59.1811033116455,66.9882094895318,138.293372856065,47.0916187105852,41.1838224119277
"aae-miR-71-5p_MIMAT0014220_Aedes_aegypti_miR-71-5p ",120.78703761094,94.4901448407989,76.7843895002206,92.0630984437691,94.0231701488149,89.9713901099615,105.73230106376,117.201792832867,99.9824022231817,93.0492446994513,85.2520683553698,94.4059929134959
"aae-miR-8-3p_MIMAT0014215_Aedes_aegypti_miR-8-3p ",48.3148150443762,32.9122976411772,27.7886362000798,26.1413736321813,35.9189638770753,26.5824561688523,38.8131231753042,25.5291033893373,27.9950726224909,20.4879070897874,34.1008273421479,28.5118770544115
