"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC193A","AC194A","AC195A","AC292A","AC296A","AC300A","AC205A","AC206A","AC207A","AC293A","AC299A","AC301A"
"1","LOC101853118",25.1699268460306,-3.56970903681821,0.371164156355138,-9.61760174224,6.7383886099852e-22,1.02888455685864e-17,2.85029751746853,5.25916240955504,2.30808454840344,5.91803751919877,2.55066165014507,4.02936419298989,59.7450453523075,57.7922060434155,35.7345485751345,44.4271622084492,50.852680869684,30.5718712656163
"2","LOC101854731",452.377527100385,-5.42176412722882,0.690246112885258,-7.85482746808325,4.0032282705568e-15,3.05626462315659e-11,14.2514875873426,14.0244330921468,9.23233819361377,15.3868975499168,28.694943564132,41.6367633275622,946.729180198103,2215.96990047721,1121.04383815708,29.6181081389661,810.694912415253,181.247522503297
"3","LOC101857128",354.400831303514,-6.56190249760548,0.854395351199499,-7.6801711156236,1.5887622638044e-14,8.08627033534312e-11,2.85029751746853,6.13568947781421,3.46212682260516,16.5705050537566,7.6519849504352,7.38716768714812,1055.87878228405,1331.92974865684,887.237791765482,14.8090540694831,907.978301905083,10.9185254520058
"4","LOC101850631",54845.2385427865,-10.9621685715008,1.44054529333101,-7.60973543994074,2.7465755079676e-14,8.38749228623144e-11,65.5568429017762,111.318937668915,83.091043742524,34.3246176113529,12.1156428381891,23.5046244591077,203256.09111809,216341.511310648,189525.835771492,1.85113175868538,48680.0185044111,7.64296781640408
"5","LOC101852748",129.206789298303,-1.31588435933844,0.172619035574047,-7.62305475153681,2.47741734606777e-14,8.38749228623144e-11,76.9580329716503,69.2456383924746,56.5480714358844,91.729581547581,73.3315224416707,74.5432375703129,217.150260992041,161.637576277678,170.504846058499,192.51770290328,221.098612476887,145.216388511678
"6","LOC101846325",2620.33352440011,-9.26622100361001,1.23486383257483,-7.503840309493,6.19747984233695e-14,1.57715532854405e-10,4.75049586244755,7.88874361433256,13.8485072904207,8.28525252687828,9.564981188044,6.71560698831648,5874.54647858362,9916.78135576232,10304.8228219666,5.55339527605615,5290.15280119698,1.09185254520058
"7","LOC101852443",1512.05881231675,-8.52259139811092,1.1642621188008,-7.32016550266987,2.47665314650063e-13,5.40228812770259e-10,5.70059503493706,14.9009601604059,16.1565918388241,3.55082251151926,3.8259924752176,5.37248559065318,4307.3879812654,6720.14995898591,6047.3066060149,11.1067905521123,1003.78770064507,5.45926272600292
"8","LOC101853463",2079.9132222173,-5.15497033327451,0.713720850527196,-7.22267022109098,5.0976532996822e-13,9.72950852910594e-10,89.3093222140139,201.60122569961,85.3991282909274,103.565656585979,112.229112606383,89.3175729446091,5706.80077432522,7112.95635943725,5541.91799045229,172.155253557741,5590.84691416555,152.859356328082
"9","LOC101856344",537.43553675125,-6.68103139528661,0.92983330292407,-7.18519262998712,6.71124965187793e-13,1.13860078816138e-09,2.85029751746853,2.62958120477752,2.30808454840344,21.8967388210355,18.4922969635517,13.431213976633,1610.8183381526,2029.04823405554,1797.95828688034,11.1067905521123,919.033232528927,19.6533458136105
"10","LOC101858348",192.846886342709,-6.79152653396423,0.959776138163172,-7.07615689108703,1.48207064348162e-12,2.26297366553209e-09,0.95009917248951,1.75305413651835,4.61616909680689,5.91803751919877,0.637665412536267,6.71560698831648,479.109305998312,800.060852413533,597.277454755819,5.55339527605615,408.295437707318,3.27555763560175
"11","LOC101852738",1537.11197338491,-6.02465466309805,0.857460620506943,-7.02615900837077,2.12296515539267e-12,2.94686863251733e-09,76.9580329716503,61.3568947781421,61.1642405326912,22.4885425729553,17.2169661384792,40.2936419298989,3740.95899359833,4965.61470363659,4505.61608177339,29.6181081389661,4880.38337273982,43.6741018080233
"12","LOC101855669",199.74541731956,-3.08599857821951,0.445969849600697,-6.91974711066812,4.52450603588583e-12,5.75705688849507e-09,52.255454486923,47.3324616859953,62.318282806893,27.2229725883144,47.1872405276837,17.4605781696228,145.915783841212,147.189524766824,556.437970669951,190.666571144595,575.593387814829,527.364779331882
"13","LOC101847524",17.9443232837657,-3.11802530104982,0.457787596142862,-6.8110742346911,9.68726239333935e-12,1.13780622679922e-08,1.90019834497902,1.75305413651835,5.77021137100861,3.55082251151926,4.46365788775387,4.70092489182153,41.3619544746744,32.5081158994212,40.839484085868,27.7669763802808,10.3179352489214,40.3985441724216
"14","LOC106011452",1548.80498485493,-5.30985560252308,0.781198772432731,-6.79706086325208,1.06774998029682e-11,1.16453388922516e-08,96.91011559393,70.998692528993,48.4697755164723,62.731197703507,103.939462243411,73.8716768714812,4579.68751489034,6889.91456423844,5576.63155192527,112.919037279808,886.605436032317,82.9807934352443
"15","LOC101856068",412.285369051588,-5.42394838188018,0.808251852827422,-6.71071567965624,1.93672150382453e-11,1.97145337612645e-08,13.3013884148531,16.6540142969243,5.77021137100861,11.8360750383975,21.6806240262331,42.9798847252254,1299.45473641269,1533.29946658937,1600.90777616603,35.1715034150223,343.439844714098,22.9289034492122
"16","LOC101860873",313.004361767566,-4.53964883644611,0.679182637494456,-6.6839883498688,2.32525299275693e-11,2.21901799665034e-08,19.0019834497902,18.4070684334426,17.3106341130258,27.8147763402342,23.5936202638419,48.3523703158786,850.217953090529,1173.00118203745,1036.3019086789,38.8737669323931,458.411123202079,44.7659543532239
"17","LOC101852684",173.751690282574,-5.8387223475288,0.894187683471543,-6.52963852606521,6.59286103916109e-11,5.59257751149726e-08,0.95009917248951,11.3948518873692,3.46212682260516,5.3262337672789,5.10132330029013,9.40184978364307,460.726215120679,721.499572323265,763.698352405731,7.40452703474153,86.228458865986,9.82667290680525
