"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC166Pp","AC170Pp","AC174Pp","AC175Pp","AC176Pp","AC180Pp","AC169A","AC170A","AC174A","AC176A","AC180A"
"1","LOC101851605",257.08173535345,1.6137781434726,0.265532519927312,6.07751601918424,1.22058490890541e-09,1.35196377624336e-05,199.338819489441,122.682898079971,86.3527408875561,343.964745401982,546.544363320501,352.677413430381,168.183396016148,147.732900581148,74.9323208502395,316.840816834432,468.648673996151
"2","LOC106012260",314.535914011736,1.73514762335704,0.288352842753276,6.0174458721799,1.77190534238972e-09,1.35196377624336e-05,220.380139324438,159.487767503962,142.517125204666,915.034418857838,476.499869104336,303.466611556374,109.87981873055,154.939383536326,132.023612926612,320.019821685613,525.646485698386
"3","LOC101850256",7.16098220226276,5.06970759813346,0.924035131178749,5.48648793435621,4.10003413537268e-08,0.000208555069685957,0,1.44332821270554,0,10.2895436658713,11.838506064704,10.9357337497792,0,0,0.892051438693327,24.3723705257255,18.9992705674115
"4","LOC101847902",45.8821576145848,-3.84261092680508,0.728994897254247,-5.27110812610382,1.35602551024377e-07,0.000413858985726398,204.876008919703,153.71445465314,13.3390412753135,3.67483702352545,8.878879548528,0,38.1215697636603,57.6518636414237,10.7046172643199,5.29834141863598,8.4441202521829
"5","LOC106012782",292.814658183222,1.63264394138862,0.307758961814136,5.30494362134811,1.1270782505633e-07,0.000413858985726398,244.743772817592,80.1047158051573,146.027399224485,486.54842191477,505.109592094037,598.731422800414,128.94060361238,80.4723929994872,217.660551041172,293.528114592433,439.094253113511
"6","LOC101847223",31.9307348555507,2.24873289634637,0.45345432769784,4.95911662760624,7.08144465842533e-07,0.00180104742479284,18.8264440628917,9.38163338258599,13.3390412753135,39.6882398540749,61.1656146676373,62.8804690612307,6.72733584064593,1.20108049252966,20.5171830899465,89.0121358330844,28.4989058511173
"7","LOC101858131",70.6085284882399,1.36085292659796,0.278861302001375,4.880035045491,1.06066990922086e-06,0.00231226040210148,55.3718943026225,52.6814797637521,55.4623295131458,91.1359581834312,151.927494497035,79.2840696858995,24.6668980823684,27.6248513281822,31.2218003542664,111.265169791356,96.0518678685805
"8","LOC101849343",176.768228705726,1.43416519549121,0.305085999217955,4.70085549375418,2.59073809935301e-06,0.00439274037734744,160.578493477605,72.1664106352768,98.2876725549419,284.43238562087,465.647905211691,267.925476869592,90.8190338487201,73.2659100443093,103.477966888426,163.188915693988,164.660344917567
"9","LOC101850552",313.136626010218,0.724929451777568,0.153843600680715,4.7121196368907,2.45153375917908e-06,0.00439274037734744,167.22312079392,248.974116691705,245.719181387355,400.557235564274,406.455374888171,412.823949054167,217.517192180885,287.058237714589,280.996203188398,350.750201913702,426.428072735237
"10","LOC101845614",9.63750607520865,-6.34736179142635,1.37526921131621,-4.6153594795826,3.92415481665771e-06,0.00512308694551729,2.2148757721049,1.44332821270554,0.70205480396387,0,0,0,50.4550188048445,36.0324147758898,15.1648744577866,0,0
"11","LOC101859175",14.0932674743542,-2.61533655312299,0.566303672620175,-4.61825815294883,3.86974646490655e-06,0.00512308694551729,19.9338819489441,7.21664106352768,18.9554797070245,4.40980442823054,4.93271086029333,0,38.1215697636603,22.8205293580635,31.2218003542664,6.35800970236317,1.05551503152286
"12","LOC106013869",36.7589070874234,-1.74482832126967,0.378495969622136,-4.60989934189151,4.02863979988254e-06,0.00512308694551729,34.330574467626,58.4547926145742,74.4178092201703,9.55457626116618,17.757759097056,21.8714674995585,21.3032301620455,51.6464611787754,81.1766809210928,14.8353559721807,18.9992705674115
"13","LOC101859612",65.1109712410515,-2.9760980878943,0.65875373844193,-4.51777032026157,6.24942185320302e-06,0.00733585980614447,26.5785092652588,12.9899539143498,22.4657537268439,15.4343154988069,8.878879548528,10.9357337497792,200.69885257927,225.803132595576,159.677207526106,9.53701455354476,23.221330693503
"14","LOC101854648",37.581829326524,-1.0624164665361,0.236612103238795,-4.49011885695418,7.11834417512392e-06,0.00775899515088507,43.1900775560456,49.0731592319882,52.6541102972903,22.7839895458578,25.6500964735253,16.4036006246689,65.030913126244,43.2388977310678,44.6025719346664,27.5513753769071,23.221330693503
"15","LOC101846888",38.2850579240356,-1.82624631358463,0.408893473171277,-4.46631319257976,7.95790862972078e-06,0.00780502645785553,24.3636334931539,38.9698617430495,35.8047950021574,23.5189569505629,12.8250482367627,8.20180031233443,76.2431395273206,103.292922357551,65.1197550246129,19.0740291070895,13.7216954097972
"16","LOC101860068",9.80588390346138,-5.17234999733197,1.15963501088525,-4.46032583423249,8.18351397940292e-06,0.00780502645785553,3.32231365815735,5.77331285082215,3.51027401981935,0,1.97308434411733,0,35.879124483445,32.4291732983008,24.9774402834132,0,0
"17","LOC100861465",171.3972129343,0.74562405364761,0.169180849258696,4.40726037796079,1.04686313669646e-05,0.00856529606000845,105.206599174983,127.012882718087,160.068495303762,202.1160362939,263.406759939664,205.045007808361,134.546716812919,103.292922357551,155.216950332639,234.18669070371,195.27028083173
"18","LOC101845509",401.366154965871,0.740662632883374,0.168634977769679,4.3921056158051,1.12258139711775e-05,0.00856529606000845,259.140465336273,246.809124372647,238.698633347716,563.719999408805,504.123049921979,472.970484677952,404.761373078864,335.101457415775,364.849038425571,525.595468728689,499.258609910314
"19","LOC101855789",18.279499520019,-4.39055760932736,0.99563947368761,-4.40978659982793,1.03472534104601e-05,0.00856529606000845,1.10743788605245,3.60832053176384,4.91438362774709,2.20490221411527,0.986542172058666,2.73393343744481,59.4247999257057,90.0810369397245,33.8979546703464,1.0596682837272,1.05551503152286
