"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC163A","AC164A","AC172A","AC169A","AC170A","AC174A"
"1","LOC101857558",809.825798569026,1.83026986991375,0.211997915421083,8.63343333484365,5.9537361035215e-18,6.01029659650495e-14,1168.30180276826,1195.19862361202,1429.80150089332,322.839144272428,333.360492751345,409.453227116789
"2","LOC106012574",221.882870845139,-2.62168250844403,0.311137422591006,-8.42612401495097,3.57303493559169e-17,1.8034893837399e-13,60.2217424107349,50.0781546206153,75.9378642356088,265.189297080923,331.152807368886,548.717359354068
"3","LOC100533237",128469.30916811,1.78626827213232,0.223403623184561,7.99569965191038,1.28840112468286e-15,4.33546978455782e-12,155241.797467935,228471.008401693,213855.12843369,49024.381872616,67809.0565222356,56414.4823104904
"4","LOC101852515",468.218361461058,-2.23672070236464,0.282318142109453,-7.92269560026176,2.32416067780022e-15,5.8656005105983e-12,187.23487185883,146.895920220472,157.299861630904,631.003781987019,1124.81570236298,562.060030706143
"5","LOC101849272",172.583738451288,-3.01455952323264,0.38441242932861,-7.84199285256638,4.43451613220526e-15,8.95328807092241e-12,74.4559724350904,18.918413967788,20.6117060068081,309.212816754436,314.595167000442,297.708354543165
"6","LOC101864554",290.951593293618,1.7905608159496,0.230190385302565,7.77860818815721,7.33267786086802e-15,1.23372305009104e-11,467.539709261524,501.894394086611,385.11345433773,120.540589582238,131.357280256325,139.264132237279
"7","LOC101854447",367.964999996162,1.9585478048565,0.253140306630225,7.7370049476848,1.01786099456862e-14,1.46790096288147e-11,719.376086615506,603.1635512083,433.930652774907,129.974200940848,151.226448698458,170.119059738951
"8","LOC101857686",39.4586012795733,4.23649326716015,0.563176010082843,7.52250307419338,5.37373535051913e-14,6.78098229543633e-11,53.6520977841093,63.4323291861128,107.39783656179,3.14453711953664,6.62305614737772,2.50175087851399
"9","LOC101854331",1771.32557105184,1.85267388351865,0.249570806775831,7.42343989448557,1.14116967895946e-13,1.15201079090958e-10,3747.98225948992,2294.69232950464,2281.39040696407,801.856965481843,628.086491309654,873.944973560886
"10","LOC101860770",219.042658954326,-2.69993322459912,0.363109453846494,-7.43559055265061,1.04101824861873e-13,1.15201079090958e-10,104.019373254906,25.5955012505367,45.5627185413653,436.042480575747,375.306515018071,327.729365085332
"11","LOC101861968",16482.2923674423,2.24675553592043,0.305742612829028,7.34851944624682,2.00414312801585e-13,1.8392568070291e-10,26131.8564431745,41394.6026094006,14156.9875467814,4967.32046982804,6142.88457669284,6100.10255877661
"12","LOC101861744",42.4905629222933,-3.76007976259494,0.514131354232619,-7.3134613005798,2.60347312281416e-13,2.19017176456741e-10,6.56964462662563,0,10.8482663193727,83.8543231876437,82.7882018422215,70.8829415578963
"13","LOC101864497",129.094361065618,2.11186239552255,0.294426625264928,7.17279693581473,7.34808077628296e-13,5.70606734127511e-10,146.722063327972,237.036598537579,245.170818817823,49.2644148727407,49.6729211053329,46.6993497322611
"14","LOC101850219",60.4539444891687,-3.07916078799651,0.439218527116608,-7.01054394998011,2.37393353923488e-12,1.64511177650862e-09,18.6139931087726,4.45139152183247,15.1875728471218,151.985960777604,94.9304714457474,77.5542772339336
"15","LOC101854891",194.727395614629,1.81974703718553,0.259724623055258,7.00644788999604,2.44444543314802e-12,1.64511177650862e-09,317.532823620239,332.741516256977,260.358391664944,64.9871004704239,99.3458422106658,93.3986994645222
"16","LOC101855829",329.65526464817,-1.53264629032018,0.226946461305984,-6.75333856937196,1.44481246858744e-11,9.11586366899389e-09,195.994398027665,160.250094785969,151.875728471218,534.571310321229,438.225548418159,497.014507864779
"17","LOC101863573",245.507324074346,-1.67920569738215,0.25227392634374,-6.65627923471615,2.80846455861604e-11,1.66773233642523e-08,129.203010990304,90.1406783171076,131.264022464409,397.259856101462,312.387481617983,412.788894954808
"18","LOC118477172",709.532273815208,-1.53984867655353,0.232321460296566,-6.62809485868359,3.40046936924062e-11,1.90709657124911e-08,422.647137646249,371.691192073012,295.072843886937,1278.77842861157,928.331703324111,960.672337349371
"19","LOC101846121",50.9292226087501,-2.61747959102575,0.397135039017277,-6.59090569671914,4.37151505209787e-11,2.32265497110147e-08,12.044348482147,18.918413967788,11.93309295131,66.0352795102694,98.2419995194362,98.4022012215502
"20","LOC101857486",1772.16268487421,2.00330548369371,0.304422215257321,6.5806809861112,4.68298400709438e-11,2.36373617758089e-08,1707.01266215156,3812.61683844951,2989.78219761911,586.980262313506,997.873792871577,538.710355840012
"21","LOC118478845",128.336219075198,-1.85246801206096,0.28239869872709,-6.55976114766442,5.3894032905986e-11,2.59076315326633e-08,59.1268016396306,62.3194813056546,45.5627185413653,243.177537244167,172.199459831821,187.631315888549
"22","LOC106011723",1787.65509036364,1.50578906825455,0.2353802726184,6.39726112772307,1.58188672433977e-10,7.2587029464591e-08,1904.10200095033,2995.78649419326,3033.1752628966,810.242397800607,936.058602162718,1046.56578417835
"23","LOC101847028",750.413478303555,-1.63878640324896,0.261295085749171,-6.27178424940645,3.56933950843126e-10,1.56662966685276e-07,501.482873165756,240.375142178954,352.568655379612,1082.76894816045,1099.4273204647,1225.85793047185
"24","ENPP",3043.76397674702,1.16021083429626,0.189640803495989,6.11793882386073,9.47934416528773e-10,3.96332044150408e-07,3832.29269886495,4603.85168145524,4180.92183948623,1771.42257733897,1983.60531613963,1890.48974719707
"25","LOC101864670",171.722669111304,-1.61631185142361,0.26443209909833,-6.11238899110574,9.81505805226369e-10,3.96332044150408e-07,104.019373254906,76.7865037516102,72.683384339797,214.876703168337,279.272200881094,282.697849272081
"26","LOC101862794",156.581645049224,-2.01431931770796,0.332853671259545,-6.05166621742705,1.43355263651586e-09,5.56604379447217e-07,84.3104393750289,56.755241903364,45.5627185413653,291.393773077062,147.914920624769,313.552776773753
