"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC163A","AC164A","AC172A","AC178A","AC186A","AC169A","AC170A","AC174A","AC176A","AC180A"
"1","LOC101855680",530.422356221724,-4.46582802845408,0.316706157035957,-14.1008563592499,3.7518898487803e-45,7.2100067224011e-41,1057.71278488673,1106.17079317537,582.551901350313,59.9423194154638,44.3066378005988,962.228358578211,905.151006808289,534.540771042489,20.3115309196802,31.3074582400987
"2","LOC101845966",90.3832617130738,-3.32783347646748,0.344103366764138,-9.67102852774035,4.00334198325143e-22,3.84661114460714e-18,159.861352581224,195.861226960629,99.8040501382287,25.530987899179,12.8256056791207,145.696886538531,150.122606007228,95.9004503430362,9.14018891385609,9.08926206970607
"3","LOC101849086",64.3357731348716,-2.47612486473212,0.262490820454893,-9.43318650321192,3.97816037793835e-21,2.54827693276137e-17,89.7851432305502,109.059092284896,77.022690867546,25.530987899179,15.1575339844154,107.962441104091,103.761212975584,86.7273637884849,13.2024950977921,15.1487701161768
"4","LOC101857279",63.0728416874121,-3.15377627690546,0.342500916747847,-9.20808127128988,3.32006280813682e-20,1.59504117459913e-16,118.253603279261,86.8021346757332,74.8530376036715,19.9807731384879,4.66385661058935,128.926021901002,100.449684901895,77.5542772339336,10.1557654598401,9.08926206970607
"5","LOC106013432",1142.35124240201,-3.72763181432363,0.406729740233903,-9.16488627603169,4.95992438265413e-20,1.90629733722929e-16,2401.20511103167,3149.35950169648,1519.84211134411,164.286356916456,222.699153155642,1490.51059466037,1516.6798577495,798.058530245962,52.8099803911685,108.061226828728
"6","LOC101858605",38.2822640033782,-3.73270578389934,0.412693737976054,-9.04473569723979,1.50027668461293e-19,4.80513617470111e-16,78.8357355195075,54.5295461424478,61.8351180204243,5.55021476069109,4.66385661058935,66.0352795102694,57.3998199439403,45.8654327727564,5.07788272992005,3.02975402323536
"7","LOC101863108",43.1917971820912,-4.44386162065918,0.507635285902811,-8.75404398407004,2.05840815971382e-18,5.6509185150315e-15,62.4116239529434,115.736179567644,46.6475451733025,4.44017180855287,1.16596415264734,67.083458550115,70.6459322386957,56.706353246317,2.03115309196802,5.04959003872559
"8","LOC101848972",52.9616877601632,-2.64131512511147,0.30283823132065,-8.72186815248833,2.73648862186579e-18,6.57338773079936e-15,74.4559724350904,76.7865037516102,68.3440778120479,9.99038656924397,8.16174906853136,95.3842926259447,101.553527593125,62.5437719628497,14.2180716437761,18.1785241394121
"9","LOC101862531",52.7120139031424,-4.85894957182524,0.563247700964733,-8.62666561000215,6.31665107225239e-18,1.34874537394971e-14,66.7913870373605,112.39763592627,39.0537587497417,5.55021476069109,2.33192830529468,112.155157263473,121.422696035258,63.3776889223544,0,4.03967203098047
"10","LOC101856668",60.2769253929591,-2.25011273627997,0.262406342038879,-8.57491750693507,9.91578421783152e-18,1.90551625314068e-14,94.1649063149673,87.9149825561914,86.7861305549815,25.530987899179,13.9915698317681,107.962441104091,86.0997299159104,65.8794398008683,18.2803778277122,16.1586881239219
"11","LOC101850183",62.1890908109277,-3.66630096341214,0.431880156467813,-8.48916281173336,2.08130969149302e-17,3.63604803103831e-14,91.9750247727588,143.557376579097,62.9199446523616,15.5406013299351,1.16596415264734,92.2397555064081,130.253437565095,70.0490245983917,9.14018891385609,5.04959003872559
"12","LOC101846938",55.2571021039032,-3.64554445844562,0.432471683182224,-8.42955643158156,3.46977920211813e-17,5.129134379008e-14,147.817004099077,120.187571089477,78.1075174994833,9.99038656924397,5.82982076323669,51.3607729524318,62.9190334000884,64.211605881859,5.07788272992005,7.06942605421583
"13","LOC101853064",37.0321204096413,-4.48280897987171,0.531233930320484,-8.43848392207799,3.21480170871651e-17,5.129134379008e-14,67.8863278084648,86.8021346757332,61.8351180204243,3.33012885641466,1.16596415264734,52.4089519922773,50.7767637965625,40.0280140562238,5.07788272992005,1.00991800774512
"14","LOC101849477",58.5310229895065,-2.73636409567152,0.328086822682172,-8.34036574008436,7.40611079227668e-17,1.00361306975567e-13,120.44348482147,112.39763592627,71.5985577078597,15.5406013299351,5.82982076323669,90.143397426717,66.2305614737772,71.716858517401,18.2803778277122,13.1289341006865
"15","LOC101862933",57.3456515934884,-2.58233269881149,0.309865368310772,-8.33372478147217,7.8337909384061e-17,1.00361306975567e-13,112.77889942374,100.156309241231,67.2592511801106,19.9807731384879,18.6554264423574,81.7579651079526,89.4112579895993,64.211605881859,10.1557654598401,9.08926206970607
"16","LOC101859817",94.8128459978088,-1.73536900374308,0.210589613236234,-8.24052514782096,1.71456422159113e-16,2.0592987903948e-13,145.627122556868,119.074723209019,125.839889304723,39.9615462769759,34.9789245794201,120.540589582238,145.70723524231,133.426713520746,28.4361432875523,54.5355724182364
"17","LOC101857513",38.5664221527375,-3.21469067165289,0.390848554367235,-8.22490101532375,1.95352121406027e-16,2.20828336297625e-13,71.1711501217776,83.4635910343589,60.750291388487,8.88034361710575,5.82982076323669,45.0716987133585,58.5036626351699,40.8619310157285,4.06230618393604,7.06942605421583
"18","LOC118478489",54.3641585876374,-2.87270955959245,0.351189824841486,-8.17993391718875,2.83999578496185e-16,3.032011055534e-13,109.494077110427,93.479221958482,44.477891909428,14.4305583777968,13.9915698317681,77.5652489485704,100.449684901895,72.5507754769056,6.09345927590406,11.1090980851963
"19","LOC118477265",87.5325431782137,-2.10101070649648,0.257356057127049,-8.16382847153769,3.24569712764282e-16,3.2827664053638e-13,118.253603279261,162.475790546885,116.076449617288,38.8515033248377,31.4810321214781,122.636947661929,151.226448698458,86.7273637884849,23.3582605576322,24.2380321858828
