N_unmapped	375407	375407	375407
N_multimapping	466896	466896	466896
N_noFeature	481624	605716	1872071
N_ambiguous	40562	9663	798
LOC118478065	5	4	1
LOC101845732	1	0	1
LOC101855065	1	0	1
LOC118477574	0	0	0
LOC101845963	7	6	1
LOC101846613	51	42	10
LOC106012211	0	1	0
LOC101847001	394	391	3
LOC101855301	2	1	1
LOC101847694	71	71	0
LOC118478385	0	0	2
LOC101848083	1465	123	1345
LOC101848620	69	69	7
LOC101848391	8	12	2
LOC101848850	44	39	7
LOC101849253	7	7	2
LOC101849504	45	35	10
LOC101855532	74	71	3
LOC101849970	13	13	0
LOC101850212	9	12	2
LOC101850446	5	5	5
LOC101850682	138	111	27
LOC101850917	28	23	5
LOC101851377	0	0	0
LOC101851774	29	39	1
LOC101855758	1	1	0
LOC101855985	0	0	0
LOC106012495	0	0	0
LOC101852128	131	126	5
LOC101852364	47	47	0
LOC101852581	6	2	4
LOC101853505	185	70	115
LOC101853268	0	0	0
LOC101853981	99	98	1
LOC101854370	83	83	0
LOC101856476	3	3	0
LOC101854761	44	44	0
LOC101856700	96	7	89
LOC101855452	20	19	1
LOC101856937	4	4	0
LOC101857153	27	23	4
LOC101857372	52	45	7
LOC101857609	9	6	14
LOC101855683	2	2	0
LOC101857841	11	10	1
LOC101858073	1	1	0
LOC101855910	455	426	29
LOC101858313	13	11	2
LOC100533353	8	8	0
LOC101856139	17	8	9
LOC101858530	6	2	4
LOC101856539	13	4	9
LOC101856763	122	120	2
LOC101857754	1	8	3
LOC118477465	1	2	9
LOC101857986	5	4	1
LOC101858529	28	26	2
LOC106012539	0	0	0
LOC101858747	344	341	3
LOC101859282	83	83	0
LOC101859675	189	185	4
LOC101859896	1	0	1
LOC101860375	6	3	3
LOC101860616	0	0	0
LOC101859524	1	1	0
LOC106011455	1	0	3
LOC101859745	724	726	0
LOC101859983	3	0	3
LOC101860211	73	73	0
LOC101860615	5	5	0
LOC101861328	80	24	56
LOC101861244	374	373	4
LOC101861473	7	7	3
LOC101861549	23	5	18
LOC101862382	1173	1168	5
LOC101862618	3	2	2
LOC101862840	4	4	1
LOC106012640	18	2	16
LOC101863065	59	56	5
LOC101863307	6	6	2
LOC118477666	0	0	0
LOC101861775	35	28	7
LOC101863551	22	22	0
LOC101861996	5	5	0
LOC101864424	0	0	0
LOC101864031	9	3	6
LOC101864654	0	0	0
LOC101845135	5	3	2
LOC101845657	37	37	0
LOC101846041	1970	1966	4
LOC101862459	3	2	1
LOC100533245	29	28	1
LOC101862691	31	26	5
LOC100533249	47	33	15
LOC101846698	0	0	1
LOC101846927	208	205	3
LOC101847156	2	2	0
LOC101847384	14	14	0
LOC101847916	57	56	1
LOC101848154	21	19	2
LOC101848702	106	103	3
LOC101862909	5	2	3
LOC101863146	1	1	0
LOC101849419	4	3	1
LOC101849656	0	0	0
LOC106012021	0	0	0
LOC101863390	2	1	1
LOC101849892	30	26	4
LOC101850124	15	15	0
LOC101850373	24	11	13
LOC101850608	16	15	1
LOC101850854	8	8	0
LOC118477874	3	3	0
LOC101851082	39	37	2
LOC101851304	160	127	33
LOC101851538	12	11	1
LOC101864344	20	15	5
LOC101851775	291	281	10
LOC106012852	1	1	0
LOC101845049	0	0	0
LOC101845281	0	0	0
LOC101851991	31	29	4
LOC101852215	12	14	0
LOC101845508	12	8	4
LOC101852737	117	108	9
LOC101852887	1	1	0
LOC101845733	3	3	0
LOC101853269	100	98	2
LOC101853653	47	39	8
LOC101845964	0	0	0
LOC101854125	61	59	2
LOC101846173	3	0	3
LOC101846389	2025	2017	8
LOC101846614	0	0	0
LOC101854608	11	9	2
LOC106012383	0	0	0
LOC118477135	1	0	1
LOC101847539	6	2	4
LOC101847774	46	42	4
LOC101848005	4	4	0
LOC101848559	6	13	4
LOC101849256	33	4	40
LOC101848789	2	2	0
LOC106014231	1	0	1
LOC101849506	0	0	0
LOC101849013	11	10	1
LOC101849255	8	7	1
LOC101849803	71	67	4
LOC106013019	1	1	15
LOC101850213	1661	1662	14
LOC101851084	28	26	2
LOC118477211	2	1	1
LOC106013075	3	0	4
LOC101851540	21	21	1
