LOC101861474	28	23	5
LOC106014242	0	0	0
LOC101862226	13	10	3
LOC101863392	2	2	0
LOC118478418	2	0	2
LOC101854373	23	0	23
LOC118477217	1	1	0
LOC101854610	126	113	13
LOC106014179	7	2	5
LOC101854836	66	66	0
LOC106014243	6	4	2
LOC101863630	5	3	2
LOC101863857	21	18	27
LOC101864107	1371	1380	15
LOC101864346	51	1	50
LOC101864571	125	125	0
LOC101845050	3796	3745	53
LOC101855302	48	38	13
LOC101845888	82	7	80
LOC101846256	9	5	6
LOC101846470	233	232	3
LOC101846699	18	11	7
LOC101846928	50	47	3
LOC101847157	38	37	1
LOC101847776	55	50	5
LOC101847385	15	14	1
LOC101848156	412	403	9
LOC106014199	47	34	13
LOC118477191	63	16	47
LOC101855535	54	16	38
LOC101855760	3	2	1
LOC118479208	0	0	0
LOC118479209	6	6	0
LOC101855987	41	35	6
LOC101856227	1228	65	1163
LOC101848622	30	29	1
LOC101849014	83	82	1
LOC101856701	18	13	5
LOC101856938	1860	1858	2
LOC101857155	2232	2216	16
LOC101849658	311	275	37
LOC101857374	10	9	2
LOC101850126	10	8	2
LOC101857611	153	151	2
LOC101850376	2	2	0
LOC101857843	3	3	0
LOC101858075	192	191	1
LOC101858315	6	5	1
LOC106011091	2	0	2
LOC106011065	3	2	1
LOC101858532	97	93	4
LOC101858752	278	278	0
LOC106011020	3	3	0
LOC100533454	93	87	6
LOC101858979	23	12	11
LOC101859209	204	196	8
LOC101860135	49	45	4
LOC106011097	1	1	0
LOC101851086	75	71	4
LOC101851541	26	20	9
LOC118477235	0	2	1
LOC101860536	41	29	12
LOC101851777	6	6	0
LOC106011098	0	0	0
LOC101861246	8	5	3
LOC106011100	5	4	1
LOC106011102	0	0	0
LOC106011071	3	3	0
LOC101861475	40	28	12
LOC101861855	5593	5588	5
LOC101862078	1294	1268	26
LOC101851992	8	7	1
LOC118477240	3	0	3
LOC106011076	2	5	1
LOC101852216	23	3	24
LOC101852441	0	0	0
LOC101852658	29	21	8
LOC101863066	7	6	1
LOC106011104	2	2	0
LOC101852888	28	22	6
LOC118477287	7	1	6
LOC101863308	663	655	8
LOC101863703	75	54	21
LOC101863939	126	118	8
LOC101853131	7	2	5
LOC101864184	1	0	1
LOC101853358	3	1	2
LOC101853826	0	2	0
LOC118477276	5	1	6
LOC101864426	33	18	15
LOC101864656	6	3	3
LOC106011080	4	4	0
LOC101854297	6	4	2
LOC101854539	40	23	17
LOC101854989	80	17	63
LOC101845138	180	177	12
LOC101845368	36	34	11
TRNAT-UGU	3	2	1
LOC101845587	145	144	1
LOC101846543	256	230	26
LOC101846778	134	108	26
LOC101847158	43	40	3
LOC101847386	1	1	0
LOC101847778	80	71	9
LOC101855453	20	13	7
LOC101848007	2	1	1
LOC101855685	9	0	9
LOC101848250	724	715	9
LOC101855912	0	0	0
LOC101856140	5	5	0
LOC106011107	0	0	0
LOC101848478	17	6	11
TRNAA-AGC	7	7	34
TRNAQ-CUG	5	3	2
TRNAQ-UUG	538	3	535
LOC101856852	291	283	8
LOC101848704	43	35	8
LOC106011085	8	8	0
LOC101857073	1	0	1
LOC118477140	88	0	88
LOC101848929	11	9	2
LOC101849171	539	31	508
LOC101857527	79	76	3
LOC101860059	91	83	8
LOC101858980	65	62	3
LOC101859369	149	149	0
LOC101860293	2	2	0
LOC101859606	200	195	5
LOC101860291	37	32	5
LOC101860539	10	2	8
LOC101860537	523	483	40
LOC101860776	17	15	2
LOC101861403	35	35	0
LOC101861778	15	10	5
LOC101861010	369	345	24
LOC101861999	0	0	0
LOC101863149	0	0	0
LOC106011226	52	52	0
LOC106011126	17	9	8
LOC101861248	71	52	19
LOC101863309	23	19	4
LOC101861477	4	3	1
LOC101863784	374	339	35
LOC101864033	103	89	14
LOC101864427	29	28	1
LOC101864657	5	3	2
LOC101846779	461	458	28
LOC118477322	0	0	1
LOC101845658	0	11	2
LOC101847003	106	23	94
LOC118477370	0	0	0
LOC101847387	93	91	2
LOC101847622	218	194	25
LOC101862384	17	53	38
LOC118477329	0	0	0
LOC101847848	1	34	49
LOC101848252	26	10	25
LOC106011222	8	2	6
LOC118477111	31	12	19
LOC101862620	13	6	7
LOC101848479	486	440	48
LOC101849172	186	175	13
LOC101849421	8	6	3
LOC101863067	15	16	0
LOC101863310	112	86	26
LOC106011157	38	13	25
LOC101849806	51	49	2
LOC101850047	2746	29	3083
LOC106011166	2772	3117	21
LOC101863553	3	1	2
LOC101850449	36	28	8
LOC101863785	0	0	0
LOC101850685	62	51	11
LOC101851456	16	15	1
LOC101851685	8	0	8
LOC101852367	161	148	13
LOC101853043	146	143	3
LOC101853591	76	64	12
LOC101854540	28	16	13
LOC101853827	16	16	1
LOC101855066	84	64	20
LOC118477356	255	228	27
LOC101855834	4	4	0
LOC101864034	0	0	0
LOC101856228	49	46	3
LOC118477360	0	0	0
LOC118477376	30	26	4
LOC101864493	48	12	36
LOC118477379	0	0	0
LOC101856619	15	4	11
LOC101844963	5	3	2
LOC101857074	25	24	1
LOC101845204	3	0	3
LOC101845435	157	150	7
LOC101857450	960	947	13
LOC101845659	2	2	0
LOC101858316	1	0	1
LOC101858533	16	14	2
LOC101858753	24	21	3
LOC101858981	2	1	1
LOC101845890	91	72	19
LOC101859210	242	210	32
LOC101859607	1168	1098	70
LOC101846104	6	0	6
LOC101857451	12	9	3
LOC101857688	9	4	5
LOC101857914	453	419	34
LOC101846780	7	7	0
LOC101847004	45	45	0
LOC100533392	315	271	44
LOC101858371	337	2	335
LOC101858586	23	21	2
LOC101847229	21	21	0
LOC101858816	858	834	24
LOC101859287	16	14	2
LOC118477422	0	0	0
LOC101859527	5	4	1
LOC101859747	17	0	17
LOC101859986	21	19	2
LOC106011300	0	0	0
LOC106011244	1	0	1
LOC106011302	8	0	8
LOC101847850	1	1	0
LOC101848084	128	124	4
LOC101860458	15	3	12
LOC106011305	17	8	9
LOC101860705	28	21	7
LOC101848327	212	159	53
LOC101860936	138	131	7
LOC101848706	83	55	28
LOC101848931	190	153	37
LOC101849973	233	4	229
LOC101850522	37	36	1
LOC118477399	18	16	2
LOC101850764	616	661	14
LOC101861405	4	6	57
LOC101851543	475	474	5
LOC101852061	23	20	7
LOC101852288	241	236	9
LOC101852520	72	67	9
LOC101853360	228	223	5
LOC118477406	18	14	4
LOC106011319	21	12	9
LOC101853593	421	414	7
LOC101853828	25	12	13
LOC101854058	8582	8556	26
LOC101861626	49	46	3
LOC101854298	617	616	1
LOC101854837	73	71	2
LOC101855224	158	123	35
LOC101861857	5	1	4
LOC106011276	7	5	2
LOC101855913	62	52	10
LOC101856141	30	30	0
LOC118477418	3	3	0
LOC101862313	3	3	0
LOC101862541	2	0	2
LOC101856542	8	4	5
LOC101862762	0	0	1
LOC106011311	2	0	2
LOC101863472	238	171	67
LOC101856767	359	350	9
LOC101863705	30	28	2
LOC101863941	107	96	11
LOC101857156	50	48	2
LOC101864186	1	1	0
LOC118477147	16	7	9
LOC101857295	29	19	10
LOC101864659	44	42	2
LOC106011473	5	4	1
LOC101845588	4	4	0
LOC101845968	691	689	16
LOC101846781	63	65	17
LOC101847230	87	76	11
LOC101847005	77	52	25
LOC101847851	21	21	1
LOC101848085	24	11	16
LOC101848480	14	16	0
LOC106011483	2	1	1
LOC101848626	0	0	0
LOC101848854	4	0	4
LOC101849094	12	16	1
LOC101854766	0	0	0
LOC101849332	830	828	2
LOC101849572	7	0	7
LOC101854990	76	73	3
LOC106011484	2	2	0
LOC101849808	113	167	1
LOC101850378	95	24	126
LOC101850613	8	7	1
LOC101855225	446	442	4
LOC101850858	189	141	48
LOC101851234	11	6	5
LOC101855456	7	0	7
LOC101855688	8	2	6
LOC118477454	11	11	0
LOC101855916	53	10	43
LOC101851457	371	368	3
LOC101856143	5	5	0
LOC101851686	3	3	1
LOC101852062	2	2	1
LOC101852289	9	4	5
LOC101852808	103	102	1
LOC101853204	763	760	4
LOC106011377	128	123	6
LOC101853422	10	1	9
LOC101853657	48	46	2
LOC101854059	34	31	3
LOC118477472	15	12	3
LOC101854456	24	19	5
LOC101856621	8	3	5
LOC101855687	5	4	1
LOC106011389	37	37	0
LOC101855915	352	347	5
LOC101856142	95	93	2
LOC101856544	6	2	4
LOC101856769	21	18	3
LOC101857157	19	16	6
LOC101857375	29	26	6
LOC101857076	4	0	4
LOC101857757	4	5	3
LOC101858144	70	59	15
LOC101858677	23	17	6
LOC118477489	0	0	0
LOC101859211	113	110	3
LOC101859451	387	379	8
LOC101860137	120	114	6
LOC101845285	214	188	26
LOC106011487	1	0	1
LOC101857529	0	0	0
LOC101848790	26	24	2
LOC101849015	31	26	5
LOC106011478	0	0	0
LOC101857758	16	7	9
LOC101849737	82	78	4
LOC101849974	28	76	2
LOC101850379	222	129	143
LOC106011479	0	0	0
LOC101850615	98	78	20
LOC101850859	133	131	2
ApCREB2	1531	1522	9
LOC101851089	23	20	3
LOC101851312	29	25	4
LOC101851905	34	27	7
LOC118477525	0	0	0
LOC101858227	21	15	6
LOC101852134	15	14	1
LOC101852369	143	129	14
LOC101853508	56	34	22
LOC101853745	262	248	14
LOC101853984	16	16	0
LOC101858453	6	3	3
LOC101854374	7763	7748	15
LOC118477538	3	1	2
LOC106011481	0	0	0
LOC101851002	18	11	7
LOC101858904	157	38	119
LOC101859140	52	47	5
LOC101859370	54	53	2
LOC101859609	31	14	18
LOC101851458	98	78	20
LOC118477544	13	3	10
LOC118477594	3	1	2
LOC106011492	10	7	3
LOC101851906	3	2	1
LOC101860138	16	12	9
LOC101860460	196	199	2
LOC101861087	85	87	69
LOC101860860	0	58	13
LOC101861330	20	11	9
LOC101852136	1	1	0
LOC106011603	10	3	7
LOC101852371	14	1	13
LOC101861697	27	18	9
LOC101861920	71	70	1
LOC101862153	7	7	0
LOC101852810	11	4	8
TRNAL-UAA	1	0	3
LOC101853046	27	16	11
LOC100533336	564	485	79
LOC101862385	186	129	57
LOC101853273	103	98	5
LOC101853509	14	8	6
LOC106011520	1	0	15
LOC101853746	310	322	2
LOC118477562	3	3	0
LOC101853985	64	47	17
LOC101863396	145	133	22
LOC101863153	0	8	0
LOC101863632	71	73	0
LOC101863942	150	150	0
LOC101864187	41	40	2
LOC101864428	693	693	1
LOC101864660	24	23	1
LOC101845139	12	9	3
LOC101854681	2	1	1
LOC101845370	74	69	5
LOC101854913	37	31	6
LOC101845893	19	19	0
LOC101855154	0	0	0
LOC101855385	158	139	19
LOC101846107	290	178	112
LOC101846322	27	13	14
LOC101846849	62	62	1
LOC101847076	16	1	16
LOC101847300	15	12	3
LOC101855837	8	5	3
LOC101847543	4	0	4
LOC101847919	2	0	2
LOC106011621	1	2	0
LOC101848086	62	56	7
LOC101856065	80	43	37
LOC101856303	3	0	3
LOC101856546	1	0	1
LOC101848328	30	28	2
LOC101856771	48	47	1
LOC101848560	90	80	12
LOC101849258	44	44	7
LOC118477586	0	4	1
LOC101849508	45	45	0
LOC101856994	4	0	4
LOC101849738	0	0	0
LOC101850216	82	69	20
LOC101849975	0	7	0
LOC101857454	16	7	9
LOC101850450	16	14	2
LOC106011598	0	0	0
LOC101853747	286	263	23
LOC101853986	94	77	17
LOC101857844	15	9	6
LOC101858375	756	712	44
