gene,Fish_kME
LOC118478065,0
LOC101846613,0.310586266913445
LOC101847001,0
LOC101847694,0.592740825443214
LOC101848083,0.54852307813576
LOC101848620,0.378321613385709
LOC101848391,0
LOC101848850,0
LOC101849253,0.0671305297119512
LOC101849504,0.563962431522375
LOC101855532,0
LOC101849970,0.531099949880059
LOC101850212,0
LOC101850446,0.462266529594985
LOC101850682,0
LOC101850917,0
LOC101851774,0
LOC101852128,0
LOC101852364,0.264191022845273
LOC101852581,0.186545940047216
LOC101853505,0.68454032072758
LOC101853981,0
LOC101854370,0
LOC101856476,0
LOC101854761,0.345012865287823
LOC101856700,0.11088884394102
LOC101855452,0
LOC101856937,0
LOC101857153,0
LOC101857372,0
LOC101857609,0
LOC101857841,0.125053559997654
LOC101855910,0.832809639498829
LOC101858313,0
LOC100533353,0
LOC101856139,0
LOC101856539,0
LOC101856763,0.321328300837874
LOC101857754,0.272072960740229
LOC101857986,0
LOC101858529,0
LOC101858747,0.742083463296395
LOC101859282,0.274480207631299
LOC101859675,0
LOC101859524,0
LOC101859745,0
LOC101859983,0
LOC101860211,0
LOC101860615,0
LOC101861328,0
LOC101861244,0.668906244654174
LOC101861473,0
LOC101861549,0
LOC101862382,0
LOC101863065,0
LOC101863307,0
LOC101861775,0
LOC101863551,0
LOC101861996,0
LOC101864031,0
LOC101845657,0.633244259973349
LOC101846041,0
LOC101862459,0
LOC100533245,0.636458806165614
LOC101862691,0
LOC100533249,0
LOC101846927,0.433559555238936
LOC101847384,0.53893166998794
LOC101847916,0
LOC101848154,-0.00755674761581424
LOC101848702,0.517848796083189
LOC101849419,0
LOC101849892,0
LOC101850124,0.627624798948494
LOC101850373,0
LOC101850608,0
LOC118477874,0
LOC101851082,0
LOC101851304,0.647897396869615
LOC101851538,0.543281835506076
LOC101864344,0
LOC101851775,0
LOC101851991,0.475292474889271
LOC101852215,0
LOC101845508,0
LOC101852737,0
LOC101845733,0
LOC101853269,0
LOC101853653,0
LOC101854125,0
LOC101846389,0.331233847618964
LOC101854608,0
LOC101847774,0
LOC101848559,0
LOC101849256,0
LOC101849013,0
LOC101849255,0.153267623908187
LOC101849803,0
LOC101850213,0.786761019224786
LOC101851084,0.650391177648116
LOC101851540,0.595802707108678
LOC101851776,0.725391776062296
LOC101852365,0
LOC101852806,0
LOC101853201,0
LOC101851840,0
LOC101853654,0
LOC101853894,0.164348712364081
LOC101854538,0
LOC118478780,0
LOC101854909,0
LOC101856541,0.543010364222574
LOC101856765,0.352613285015753
LOC106013452,0
LOC101857373,0
