"","cluster","cluster_col"
"LOC106011575","C1","#8DD3C7"
"LOC101847314","C1","#8DD3C7"
"LOC101846635","C1","#8DD3C7"
"LOC101863196","C1","#8DD3C7"
"LOC101852460","C1","#8DD3C7"
"LOC101858025","C1","#8DD3C7"
"LOC101851500","C1","#8DD3C7"
"LOC101845295","C1","#8DD3C7"
"LOC106012345","C1","#8DD3C7"
"LOC106011532","C1","#8DD3C7"
"LOC101863635","C1","#8DD3C7"
"LOC101862946","C1","#8DD3C7"
"LOC101853129","C1","#8DD3C7"
"LOC101858642","C1","#8DD3C7"
"LOC101856695","C1","#8DD3C7"
"LOC101861309","C1","#8DD3C7"
"LOC106013318","C1","#8DD3C7"
"LOC101863510","C1","#8DD3C7"
"LOC101859175","C1","#8DD3C7"
"LOC101861227","C1","#8DD3C7"
"LOC106011353","C1","#8DD3C7"
"LOC101847830","C1","#8DD3C7"
"LOC101853255","C1","#8DD3C7"
"LOC106011481","C1","#8DD3C7"
"LOC101850240","C1","#8DD3C7"
"LOC106013498","C1","#8DD3C7"
"LOC106012080","C1","#8DD3C7"
"LOC101855093","C1","#8DD3C7"
"LOC118477143","C1","#8DD3C7"
"LOC101849721","C1","#8DD3C7"
"LOC101849235","C1","#8DD3C7"
"LOC101851979","C1","#8DD3C7"
"LOC101846149","C1","#8DD3C7"
"LOC106012070","C1","#8DD3C7"
"LOC118478027","C1","#8DD3C7"
"LOC106011323","C1","#8DD3C7"
"LOC118477962","C1","#8DD3C7"
"LOC101853776","C1","#8DD3C7"
"LOC118477203","C1","#8DD3C7"
"LOC106013459","C1","#8DD3C7"
"LOC106012015","C1","#8DD3C7"
"LOC101859044","C1","#8DD3C7"
"LOC101847612","C1","#8DD3C7"
"LOC101855745","C1","#8DD3C7"
"LOC106013150","C1","#8DD3C7"
"LOC106011215","C1","#8DD3C7"
"LOC106011867","C1","#8DD3C7"
"LOC101850195","C1","#8DD3C7"
"LOC101857985","C1","#8DD3C7"
"LOC101860068","C1","#8DD3C7"
"LOC101864224","C1","#8DD3C7"
"LOC118478409","C1","#8DD3C7"
"LOC101854408","C1","#8DD3C7"
"LOC106013906","C1","#8DD3C7"
"LOC101853442","C1","#8DD3C7"
"LOC118477768","C1","#8DD3C7"
"LOC106011801","C1","#8DD3C7"
"LOC106011767","C1","#8DD3C7"
"LOC101850748","C1","#8DD3C7"
"LOC118479126","C1","#8DD3C7"
"LOC101863731","C1","#8DD3C7"
"LOC106011483","C1","#8DD3C7"
"dop1","C1","#8DD3C7"
"LOC118478714","C1","#8DD3C7"
"LOC106013031","C1","#8DD3C7"
"LOC101859443","C1","#8DD3C7"
"LOC101860193","C1","#8DD3C7"
"LOC101845973","C1","#8DD3C7"
"LOC101861857","C1","#8DD3C7"
"LOC101854742","C1","#8DD3C7"
"LOC118478012","C1","#8DD3C7"
"LOC101856269","C1","#8DD3C7"
"LOC101847324","C1","#8DD3C7"
"LOC101863630","C1","#8DD3C7"
"LOC101845000","C1","#8DD3C7"
"LOC101846306","C1","#8DD3C7"
"LOC101858136","C1","#8DD3C7"
"LOC101859625","C1","#8DD3C7"
"LOC101857087","C1","#8DD3C7"
"LOC101848902","C1","#8DD3C7"
"LOC118477166","C1","#8DD3C7"
"LOC101853296","C1","#8DD3C7"
"LOC101855978","C1","#8DD3C7"
"LOC101845711","C1","#8DD3C7"
"LOC118478445","C1","#8DD3C7"
"LOC101853884","C1","#8DD3C7"
"LOC101861578","C1","#8DD3C7"
"LOC101854217","C1","#8DD3C7"
"LOC106012503","C1","#8DD3C7"
"LOC101863753","C1","#8DD3C7"
"LOC101846992","C1","#8DD3C7"
"LOC101860020","C1","#8DD3C7"
"LOC101859737","C1","#8DD3C7"
"LOC101861193","C1","#8DD3C7"
"LOC101858618","C1","#8DD3C7"
"LOC106013235","C1","#8DD3C7"
"LOC106013868","C1","#8DD3C7"
"LOC101847827","C1","#8DD3C7"
"LOC101847197","C1","#8DD3C7"
"LOC101850106","C1","#8DD3C7"
"LOC101851131","C1","#8DD3C7"
"LOC101857085","C1","#8DD3C7"
"LOC101859022","C1","#8DD3C7"
"LOC101854803","C1","#8DD3C7"
"LOC101859562","C1","#8DD3C7"
"LOC101864269","C1","#8DD3C7"
"LOC101855655","C1","#8DD3C7"
"LOC101855376","C1","#8DD3C7"
"LOC101849676","C1","#8DD3C7"
"LOC106013501","C1","#8DD3C7"
"LOC101845268","C1","#8DD3C7"
