"","AC169A","AC170A","AC174A","AC202A","AC203A","AC204A","AC179A","AC183A","AC184A","AC205A","AC206A","AC207A","AC267A","AC271A","AC275A","AC279A","AC283A","AC290A","AC293A","AC299A","AC301A","AC305A","AC309A","AC313A","AC163A","AC164A","AC172A","AC190A","AC191A","AC192A","AC177A","AC181A","AC182A","AC193A","AC194A","AC195A","AC270A","AC274A","AC278A","AC282A","AC286A","AC292A","AC296A","AC300A","AC304A","AC308A","AC312A"
"LOC101864001",0.744909543329736,0.24846220914813,0.778017998730662,0.683012181029244,1.0873476350797,1.0195911021482,1.15924860228512,1.28491519694706,1.30982918666797,0.608874117659147,2.13351942074095,1.38443814284413,1.27328810424854,2.96979992192689,-0.761572058804216,-0.786465105917101,0.170337106980642,-0.778141989697849,-0.757823875269779,1.92813739427889,-0.711260371394711,0.444972998840315,0.551177647284809,-0.0655474707031505,-0.584519528116957,-0.68224122510989,-0.647855204478746,-0.732125346274874,-0.786830544159165,-0.818336101434474,-0.818336101434474,-0.818336101434474,-0.565590633579717,-0.756219922254009,-0.818336101434474,-0.70516155277397,-0.753181551585219,-0.818336101434474,0.6249322204277,-0.661201545629866,-0.796277191722864,-0.818336101434474,-0.818336101434474,-0.818336101434474,-0.751826610894491,-0.786340726611137,-0.787939464144346
"LOC101861296",1.21366780320205,0.747892208400542,0.741379236741809,1.56329858885381,2.15294590142281,0.103384720340148,0.449043104315218,0.183942469601625,0.414511307720024,0.297890931175194,0.470685993231353,1.57469874368381,0.99213067856593,3.60226742466904,-0.477474496444311,-0.666414641668264,0.738849536104729,-0.80046630725113,-0.786950784380983,1.90577319305683,-0.668132541932613,0.971050359525257,0.322182565138753,0.395849489788582,-0.762112125526684,-0.811207834372028,-0.610745865288739,-0.807367988498052,-0.806998041154687,-0.802649995996362,-0.758096787737325,-0.804434414897656,-0.811207834372028,-0.79875782749629,-0.73080635798087,-0.801126196114514,-0.684970926237297,-0.678223140718829,0.235694659165825,-0.487862930029758,-0.616671119896262,-0.645769143477006,-0.699795762869441,-0.641073227206331,-0.580144749448636,-0.721427732228422,-0.616250141478826
"LOC101854617",1.23943443319563,0.470158956491796,1.06050173262434,1.07581265827473,1.17459667900135,0.185299639233255,1.71667787059375,2.21131600432672,-0.694860148580978,0.628553141181919,1.22690448435607,1.41095998983645,-0.664115334608082,-0.157411447526896,-0.514643276242797,-0.631415924449015,1.84718781853194,1.7644969954947,0.922245893877734,1.36635088626147,-0.613492112139889,-0.712013221059411,0.56612002072403,2.04412784126446,-0.780921950394941,-0.780921950394941,-0.700949797063068,-0.780921950394941,-0.780921950394941,-0.630703404206338,-0.526664958836293,-0.780921950394941,-0.780921950394941,-0.780921950394941,-0.780921950394941,-0.780921950394941,-0.704512368091903,-0.780921950394941,-0.539124277718768,-0.707210531608793,-0.780921950394941,-0.69017196139851,-0.780921950394941,-0.780921950394941,-0.780921950394941,-0.780921950394941,-0.709627025815481
"LOC101861744",0.713122094410997,0.680955808752863,0.510068345606849,1.6177658277407,1.17950744512689,0.50620323118406,-0.137530273307842,-0.0989287249481056,0.291343046668782,0.132574006306287,0.302412039763509,1.46831215284891,1.10645655552797,4.09271523671201,-0.234898938986017,-0.729606489682147,0.622397164651991,-0.743312146216376,-0.830315580945273,2.5794409067704,-0.64671368527935,0.460675190709452,0.363621345631594,0.624349682498139,-0.743656765289678,-0.867798380470389,-0.656598043333175,-0.849998008229573,-0.848283043452984,-0.867798380470389,-0.621591519251166,-0.820699072863733,-0.848228765569969,-0.810083887737532,-0.814553080846938,-0.77432748623619,-0.544931404993141,0.273825879040894,-0.229229230327867,-0.108600136899525,-0.485210715128988,-0.616151415291245,-0.454620058224174,-0.500648217885255,-0.4558218166529,-0.788523411014131,-0.397087280418235
"LOC101864378",0.190265924229243,-0.542397249044832,-0.130353150235311,0.723765119218736,-0.460670093954965,-0.29228899938825,-0.563526464056257,1.39093467699528,0.364529543274221,-0.40781300746127,-0.0228435614898696,0.600996218601658,2.22707148598229,2.37209078986805,0.487371223258659,-0.424804847128057,1.21604202377389,2.12641705825528,2.39679463971023,1.8138828810815,0.710071830462394,1.29314487718861,-0.0249831696062436,0.705102501232946,-0.827521351767868,-0.824861655807773,-0.897525865175222,-0.66297917555643,-0.700781062059605,-0.764889209088191,-0.66115514209423,-0.428038579289616,-0.767648230618529,-0.372251326073701,-0.72520123191862,-0.809018960763546,-0.621882544440222,-0.654935147082106,0.684297726963904,-0.970500241018213,-0.87607704189581,-0.84628655796361,-0.881273850016458,-0.641607882877577,-0.82815324946493,-0.765065859575294,-0.90544381318428
"LOC101845051",-0.505671625648877,-0.697972834310961,-0.755194871612948,-0.92053155527643,-0.964116026131017,-0.964116026131017,-0.174732391123171,-0.798959552593958,-0.495431770729743,-0.964116026131017,-0.445673285043242,-0.484513370119798,-0.884601333502997,0.0970020803202918,1.5282913457215,0.104515395128583,-0.701019853098773,-0.89993961139866,1.25808826607771,0.0744816364775957,-0.850140186355789,-0.729572100875093,-0.681967549499117,-0.291024544836921,0.209194448990536,0.231020392295732,-0.474155330554547,-0.413518245663511,-0.310167547229448,-0.248299801790834,-0.387174774526969,0.249939775574699,-0.661454194597297,-0.815348202769373,-0.50662334944268,-0.361777652160879,0.128196875877099,2.92025983074456,-0.881815603798349,0.139803447148809,0.867356475825283,1.47607384309248,2.29753694087126,1.73483380497426,1.42523058317482,2.35646112074659,1.17134295391163
"LOC106012151",-0.209269240259733,-0.431092798110679,-0.396438757972656,0.451964081541699,3.36214640596469,1.33751640653621,0.167219697862312,-0.126136061469989,0.540003833438974,0.20217824532837,-0.499887552127504,-0.430768163735904,2.57243614403362,0.421408541897202,-0.612361117801574,-0.716494794431297,1.62119095857823,-0.224920617064123,-0.568481831774074,2.37726424824515,-0.236331342624356,1.04411808559764,-0.392317510905519,-0.0167925463159329,-0.634792571523971,-0.716494794431297,-0.591395863681993,-0.0487347626601244,-0.331181679376374,-0.599002775497379,-0.58391832268733,-0.6235013661617,-0.600579359238236,-0.526574502860294,-0.401110352313077,-0.716494794431297,-0.357916590136477,-0.716494794431297,2.6246211223979,-0.447448903539493,-0.500670338030219,-0.337938805761841,-0.461562247218771,-0.63594972665977,-0.635153655924407,-0.677364435832018,-0.716494794431297
"LOC101847302",-0.803521731755604,-0.969506432520059,-0.938571144051638,-0.207314001650384,-0.3888303227122,-0.390883058840467,0.143954817313313,-0.441674256532619,-0.387739905663995,-0.0849921283681379,-0.341221740707558,-0.0305893066411195,-0.254999874843589,-0.845926789322547,-1.12237649762717,0.450757981768863,-0.849515881343844,-0.829879174859521,-0.601329739319959,-1.05617256264309,-0.345212538029399,-1.06168855094491,-0.785067729671641,-0.773937790502288,-0.718412293651088,-0.133851801182566,-0.578861469248953,-0.635507230684357,-0.336959517523584,0.0988048132794147,0.885769395517543,-0.664282635999376,-0.748938355576685,-0.583287584981088,0.598111265218338,0.486120381867099,1.77172247800961,1.06756688752786,-1.08873482346802,0.897957130133699,1.81963097930565,1.61947125266784,2.89945505124406,0.981592922664594,1.52350396378611,2.01709447024618,1.73827308031727
"LOC101849536",0.738601617359623,0.674338628393315,0.553798442600363,1.09338734391315,1.63716466515577,1.14331713283509,0.46867206446186,0.606619203936008,1.11391422535216,1.45815100077415,1.95231967348946,1.72116789968571,2.58702483786902,3.11025564752615,-0.754912477960864,-0.714646454999472,-0.393185719752892,-0.741461507614865,-0.75277836351651,0.159258652765839,-0.66530033441128,-0.0679383179106562,-0.259005076424609,-0.444338382984113,-0.273735435611807,-0.690371457973744,-0.515444182569365,-0.738146315372973,-0.661663498154421,-0.696067555924024,-0.643215485336555,-0.657351952342097,-0.661314254191453,-0.6988142045402,-0.558832430482909,-0.679834839463839,-0.546100327174059,-0.766244868927142,-0.0828683976555825,-0.590402414196038,-0.711873906803861,-0.677083438302654,-0.739758425033299,-0.649739382467362,-0.69256062254191,-0.696145880089073,-0.596855125388033
"LOC101855416",0.956979707945471,0.50322271519606,-0.270784764942031,-0.732830439152648,-0.469969309740302,-0.620934115103919,-0.665684885037642,-0.489326027670378,-0.732830439152648,-0.66651878499178,-0.732830439152648,-0.438197315393751,-0.469050881861913,-0.615493103916454,-0.181614815635928,0.0549572259396674,2.3510170502797,-0.590899216908386,1.61762121511184,0.88353542169091,0.212419286529962,2.74254304511692,3.24512936468696,1.97853921057154,-0.378984664968038,0.048096937220616,-0.0104391924115931,-0.732830439152648,-0.621579759429411,-0.676291715805574,-0.222449936628182,-0.688080763713094,-0.732830439152648,-0.732830439152648,-0.581063247791995,-0.732830439152648,0.0724150491457377,-0.472509083193703,1.72435721072975,0.709818156780182,-0.732830439152648,0.0869173725739787,-0.622421197735079,-0.267718135012188,-0.556689465848437,-0.337399401987671,-0.410825670570663
