"","RSB441-02","RSB441-05","RSB441-06","RSB441-13","RSB441-14","RSB441-15","RSB441-16","RSB441-17","RSB441-18","RSB443-03","RSB443-04","RSB443-06"
"aae-miR-100_MIMAT0014291_Aedes_aegypti_miR-100 ",469.805844943746,322.294059141369,407.534658840209,337.627500949136,431.074663083401,831.918970841333,359.735379002895,434.582746119724,343.997532377964,393.840273666577,457.905130071481,483.187501753249
"aae-miR-124_MIMAT0014282_Aedes_aegypti_miR-124 ",66.5211815849551,91.2962258784486,90.0910820376687,98.0208873723297,55.2177152130121,50.4193315661414,87.2085767279745,92.0008041924765,19.5175904895299,154.811428328057,88.4427354032143,134.045565002514
"aae-miR-137_MIMAT0014274_Aedes_aegypti_miR-137 ",16.6302953962388,9.80362157084012,15.723443563178,14.8516496018681,8.78463651116101,0,5.45053604549841,7.26322138361656,12.1984940559562,11.5592533151616,10.460968703606,11.4302419769586
"aae-miR-184_MIMAT0014207_Aedes_aegypti_miR-184 ",1154.41967208891,981.587609780367,868.189059447911,1032.68470231656,843.325105071457,2672.22457300549,1080.29624421778,1278.32696351651,1105.18356146963,457.416166899966,568.22080003678,488.036695319231
"aae-miR-2b_MIMAT0014306_Aedes_aegypti_miR-2b ",217.579698100791,308.814079481464,351.865169467876,276.735737581476,333.188713387607,75.6289973492121,265.986159020322,250.581137734771,253.728676363888,310.035687131655,332.849004205645,275.364920354002
"aae-miR-2c_MIMAT0014308_Aedes_aegypti_miR-2c ",22.173727194985,28.7981383643429,40.7959616774349,45.0500037923333,47.6880267748741,0,31.6131090638908,21.7896641508497,24.3969881119123,43.3471999318559,36.1378918851844,53.6875001948054
"aae-miR-317_MIMAT0014224_Aedes_aegypti_miR-317 ",15.2444374465522,34.9254018461179,34.8465505994756,34.6538490710257,40.1583383367361,0,27.252680227492,27.8423486371968,12.1984940559562,26.8339809101965,28.0544160687615,28.4024194578971
"aae-miR-34-5p_MIMAT0014245_Aedes_aegypti_miR-34-5p ",60.9777497862089,68.0126246477033,70.9679750013711,80.6939628368169,89.1013131846331,126.048328915353,76.3075046369777,55.6846972743936,43.9145786014422,70.594011317594,70.3737894606222,56.4584679467954
"aae-miR-71-5p_MIMAT0014220_Aedes_aegypti_miR-71-5p ",41.575738490597,57.5962767286857,42.0708354798547,64.8522032614909,68.3946699797536,25.2096657830707,70.8569685914793,72.6322138361656,48.7939762238247,45.8241827851048,47.074359166227,52.6483872878092
"aae-miR-8-3p_MIMAT0014215_Aedes_aegypti_miR-8-3p ",23.5595851446716,18.9945167935027,15.2984856290381,11.8813196814945,33.8835979716211,0,15.2615009273955,12.1053689726943,7.3190964335737,12.3849142662446,8.55897439385945,10.0447581009636
"abu-let-7a_MIMAT0042056_Astatotilapia_burtoni_let-7a ",324.290760226656,374.375798736457,385.011888330792,334.162116042033,504.489125355247,252.096657830707,368.456236675692,330.476572954554,387.912110979406,398.794239373075,359.476924542097,369.577823921661
"abu-let-7c_MIMAT0042114_Astatotilapia_burtoni_let-7c ",304.888748931044,334.548586104919,358.239538479975,294.062662116989,457.428572616884,226.886992047636,328.122269939004,345.003015721787,302.522652587713,361.639496574341,349.491454415928,344.639114153751
"abu-miR-1_MIMAT0042115_Astatotilapia_burtoni_miR-1 ",9.70100564780596,10.4163479190176,11.4738642217786,13.3664846416813,5.64726632860351,25.2096657830707,8.72085767279745,8.47375828088599,17.0778916783386,6.19245713312228,9.50997154873273,6.23467744197741
"abu-miR-100_MIMAT0042041_Astatotilapia_burtoni_miR-100 ",428.230106453149,340.675849586694,428.782555547206,337.627500949136,451.781306288281,957.967299756686,431.682454803474,421.266840249761,378.153315734641,391.363290813328,497.847010576158,497.042340513199
"abu-miR-124_MIMAT0042170_Astatotilapia_burtoni_miR-124 ",138.585794968657,144.603418169892,144.485697607582,137.625286310645,84.0815208925411,75.6289973492121,125.362329046463,139.211743185984,70.7512655245458,201.048441588703,133.139601682258,163.833468336406
"abu-miR-153a_MIMAT0042081_Astatotilapia_burtoni_miR-153a ",9.70100564780596,7.9654425263076,12.7487380241984,12.8714296549524,6.90221440162651,0,9.81096488189713,10.8948320754248,12.1984940559562,8.66943998637119,9.03447297129609,7.27379034897364
"abu-miR-184a_MIMAT0042054_Astatotilapia_burtoni_miR-184a ",1129.47422899455,904.996816258179,784.047388488202,945.555024652271,796.892026369606,2520.96657830707,1055.22377840849,1135.48360963872,1053.94988643461,400.858391750782,535.886896771089,468.639921055302
"abu-miR-184b_MIMAT0042068_Astatotilapia_burtoni_miR-184b ",755.292582579178,639.07358114914,642.536396419599,701.492916194905,590.453068357322,1260.48328915353,727.101508469487,837.691532910443,836.816692238593,338.933820419559,396.565813582155,368.192340045666
"abu-miR-29b_MIMAT0042168_Astatotilapia_burtoni_miR-29b ",5.54343179874626,7.9654425263076,11.4738642217786,8.41593477439194,9.41211054767251,0,9.81096488189713,9.68429517815542,2.43969881119123,10.7335923640786,13.3139601682258,9.35201616296611
"abu-miR-33-5p_MIMAT0042163_Astatotilapia_burtoni_miR-33-5p ",5.54343179874626,7.9654425263076,7.64924281451904,8.41593477439194,23.2165393509255,0,11.9911793000965,6.05268448634714,12.1984940559562,5.36679618203931,10.460968703606,14.893951666946
"aca-let-7a-5p_MIMAT0021692_Anolis_carolinensis_let-7a-5p ",309.046322780104,340.675849586694,386.286762133211,308.914311718857,486.919852332925,252.096657830707,353.194735748297,335.318720543631,373.273918112259,374.850071791668,397.992309314465,372.348791673651
"aca-let-7c-5p_MIMAT0021696_Anolis_carolinensis_let-7c-5p ",332.605907924776,378.6648831737,348.465505994756,311.389586652502,456.173624543861,75.6289973492121,328.122269939004,309.897445700973,356.19602643392,378.152715596,362.805414584153,364.728630355678
"aca-miR-100_MIMAT0021709_Anolis_carolinensis_miR-100 ",451.78969159782,367.023082558327,430.057429349626,330.696731134931,458.056046653396,806.709305058262,352.104628539197,461.214557859652,361.075424056302,400.032730799699,444.591169903255,470.025404931297
"aca-miR-124a_MIMAT0021725_Anolis_carolinensis_miR-124a ",234.20999349703,271.437772242636,277.497530993385,250.992878271572,142.436606288111,50.4193315661414,257.265301347525,259.054896015657,134.183434615518,293.109637634454,240.126781605501,267.052017098032
"aca-miR-124b_MIMAT0021726_Anolis_carolinensis_miR-124b ",84.5373349308805,90.6834995302711,94.7656193132081,90.1000075846667,50.1979229209201,50.4193315661414,86.1184695188748,105.31671006244,31.716084545486,190.314849224625,94.6242169098906,136.816532754504
