"","AC163A","AC164A","AC172A","AC187A","AC188A","AC189A","AC190A","AC191A","AC192A","AC177A","AC181A","AC182A","AC178A","AC186A","AC193A","AC194A","AC195A","AC196A","AC197A","AC198A","AC164Pp","AC167Pp","AC172Pp","AC187Pp","AC188Pp","AC189Pp","AC190Pp","AC191Pp","AC192Pp","AC177Pp","AC181Pp","AC182Pp","AC178Pp","AC185Pp","AC186Pp","AC193Pp","AC194Pp","AC195Pp","AC196Pp","AC197Pp","AC198Pp"
"LOC100533366",-0.969204254617622,-0.970174746329008,-0.968651226629313,-0.969113497239719,-0.971403720589147,-0.968016022059413,-0.966884238843433,-0.968975837395131,-0.969960468879586,-0.967209916743286,-0.968074226953637,-0.969620311298986,-0.963043356941681,-0.965262298764426,-0.968778348730814,-0.967788264710092,-0.969494882604662,-0.970744509982799,-0.966926964573804,-0.969654074893958,1.23708149072229,1.18412383399355,0.636266876421171,0.600408372108925,0.851497479401999,0.950905065513153,1.27228060418536,1.50278208826421,0.833911696053955,0.369208556255509,0.165712466849593,0.353900977101585,0.259133141917902,0.690229836377353,1.20025290315279,0.984772633281436,1.02768610139225,1.47731205672024,1.41445723679929,0.975587645271903,1.38147010699605
"LOC100533236",1.28782812560363,1.30974562151314,1.19823154571278,0.825106283088047,1.32942840599866,-0.0632969154085334,1.53396917529403,0.574415727994443,1.21571512518529,0.50932778587486,0.946534873765491,0.15519123624483,1.78481733244588,2.3224542546164,0.294217375600973,0.942914742300263,0.937927212650874,0.415833731937959,0.827276071492663,0.0420912321019135,-0.875791626741452,-0.874832780711546,-0.875928998650926,-0.875858912610511,-0.875957500472206,-0.875797243349972,-0.875929099218281,-0.875502773702182,-0.875917431496926,-0.875957451532362,-0.875946717280186,-0.875925157078011,-0.875728986386223,-0.875767720234485,-0.875841317223366,-0.87524435656252,-0.875319112621452,-0.875386537206364,-0.875508446824638,-0.875847013615398,-0.875739760494579
"LOC100533237",0.502054951286097,1.19917041163526,1.02491712201165,0.306334641599727,0.612252570973275,0.518668667693507,1.63043245004274,0.748009353284683,0.82444196827459,0.771118795926461,-0.0586158325048034,0.708955498671109,1.23100783592306,2.50336640349696,1.06902967107154,0.769271531063476,0.424492266100912,1.5475305613387,1.02733095963689,1.3240482403754,-0.890088226957588,-0.885804273978554,-0.890065065508962,-0.892035932128466,-0.893732721038863,-0.888249015109201,-0.890567692012718,-0.888105934412738,-0.888694188893258,-0.891336345308306,-0.88740549844636,-0.891000654724714,-0.890806212315301,-0.890764100745932,-0.891135835411828,-0.891315034517451,-0.890117512033939,-0.887520563620713,-0.888201205397273,-0.88749705975262,-0.889374995586459
"LOC101845620",0.306952444465045,1.35205449371858,0.661208880790813,0.343363924161304,0.50999970906896,0.575480476335333,0.888498307129815,1.13846524156694,0.378139715988353,0.639121559723061,0.762650719569646,1.26836270482974,2.61254383404713,2.26329355869903,1.02207669586636,1.26778837671348,0.210680071081656,0.588335604913936,0.734851416578713,0.783430742478017,-0.872431384222083,-0.870434097735946,-0.871596291559319,-0.871990577527164,-0.871982353480972,-0.872132408002507,-0.872085439004556,-0.872292925266561,-0.872263305019558,-0.872166568464178,-0.871755709886736,-0.871636175534637,-0.872104550068325,-0.871198153631203,-0.870811448734383,-0.871741185513774,-0.871838302702332,-0.871274503295734,-0.871874577670424,-0.871624358269318,-0.872064162136198
"LOC100533452",-0.891880879913185,-0.890602490055025,-0.88784515059862,-0.894504994046414,-0.892150228851447,-0.892186237730304,-0.893098223002273,-0.890381699773225,-0.887848526465616,-0.874040247249178,-0.889840631109401,-0.889241387031494,-0.883359027865514,-0.883370983986949,-0.89454907338345,-0.886714217440419,-0.890114740482925,-0.889594403268093,-0.892822929237572,-0.887673275321765,0.225127937228247,1.4898417791635,0.849169922514178,-0.0832162267298409,-0.39605952228572,0.268800050394436,1.41006068411129,0.841663754586122,0.79442631832627,0.345463957609006,0.247075501662954,0.343820276750302,0.706903634912621,1.64031718692958,2.31998465887321,0.521224918595782,0.706466651768163,1.49539066350588,1.23229251838785,1.05582577187086,1.76723890863816
"LUQ-1",0.172019404238698,0.907770230940067,0.283351386396645,0.994576472313419,1.21668545351593,0.726685563831745,0.730005396349832,1.31071981341662,1.4581250754678,0.228692641920756,1.20535496957531,1.08103270076573,-0.767535845481186,2.96831899509738,0.0185983641613195,0.97111897919599,0.989535835909491,0.840948190611917,0.96664056737512,1.20626639912422,-0.827958120076192,-0.831771793279417,-0.835371336355707,-0.835612077567486,-0.831060383850323,-0.835447094722351,-0.833256038076672,-0.835487536211098,-0.83688993994955,-0.835612331265101,-0.834161209761448,-0.835331020084294,-0.835855319701481,-0.830340510631512,-0.835374800916741,-0.824907976963958,-0.834715743112995,-0.835041941931808,-0.835538304582611,-0.835434569681613,-0.833742546004439
"LOC100533370",-0.91198919543382,-0.920694495079861,-0.899171369596532,-0.902419038377905,-0.903850985172966,-0.913146914225317,-0.90111985152118,-0.918598498958114,-0.912971251410902,-0.904535743253086,-0.906087100452979,-0.915680406294458,-0.877952455895076,-0.906050087795289,-0.909609429526022,-0.913928196663709,-0.902860786605842,-0.907371076910773,-0.918825066881992,-0.905416715262208,1.94310418277726,2.46582113356565,0.941445531422219,0.0361741639033928,0.868598708326132,0.833082636700395,1.22413047093001,1.12120981131466,0.134409609146385,1.19933188643986,0.2852092558846,0.892804249301371,-0.136654940672505,0.824358177937887,1.2130289996817,0.137064513667957,0.234385576031602,0.719344596522063,0.932462603758825,1.18720594323509,1.09576155544347
"LOC106011723",0.0627995067166711,0.648006832784985,0.635273230523765,1.17002818612648,0.54673498112048,0.972241904298476,1.58330768100224,0.722072190978604,0.967549232533672,0.843531531095315,-0.240740008711083,2.11867685399637,1.74960025392128,1.55584950268489,0.765355785823145,1.5978497912224,0.792476300600639,0.565601895705743,0.494176204505228,1.03584776713996,-0.888866536579242,-0.865230649644471,-0.885090216440156,-0.892290705544898,-0.881427487269268,-0.878655233305076,-0.885648675948131,-0.885889318867429,-0.883893422680503,-0.892052953587632,-0.883765186535722,-0.893218523312303,-0.89060013152216,-0.878760882205599,-0.873481733421864,-0.890730910719585,-0.893108036721357,-0.877951360094342,-0.890760863868044,-0.885099391454073,-0.889717404347402
"LOC106013432",3.31766641549864,4.56222051982351,1.94556717622578,-0.320675197633241,-0.370047330668688,-0.345660870403687,-0.348579862207126,-0.343538290235179,-0.364171356055659,0.0677662159622267,0.248587064036255,-0.270079093514381,-0.144296315486866,-0.0570072096547191,-0.344753737440002,-0.363983618761237,-0.291198311026143,-0.36050084399718,-0.28089891990653,-0.325008083894639,-0.292527692375769,-0.288990589642713,-0.327111859485423,-0.368385169177081,-0.372355534422702,-0.371692442592172,0.59615862388308,-0.380158970420814,0.373306731812055,-0.359558028576668,-0.377474516765808,-0.383369198350112,-0.37225800929556,-0.337838574183384,-0.357251143754327,-0.373360391006639,-0.10783048007444,-0.377630342630303,-0.375613765901009,-0.376176208333264,-0.381290789368082
"LOC101855680",3.88031631716582,4.15320852763556,1.96548097835719,-0.333228908353717,-0.360987881747025,-0.338253976718165,-0.344651764285637,-0.334806192708212,-0.342343009782102,-0.152449551924958,-0.0434646433656611,-0.249277489120656,-0.12351623472167,-0.188724935980523,-0.320237707697505,-0.323778646452353,-0.282263159621895,-0.331307545008313,-0.223119464062825,-0.313694729605536,-0.306964409778273,-0.277544485507874,-0.296478526768624,-0.347794923560596,-0.333018856809461,-0.358053094433995,0.478331808649711,-0.353722801807818,0.353914820792035,-0.359679130823259,-0.338492013980965,-0.357826142818557,-0.342755615704356,-0.306794840268095,-0.365933350180443,-0.365933350180443,-0.134783307351465,-0.331243673581695,-0.347448741516907,-0.350123860232366,-0.350555486138371
