"","cluster","cluster_col"
"LOC106012551","C2","#FFFFB3"
"LOC118477558","C2","#FFFFB3"
"LOC106012615","C2","#FFFFB3"
"LOC101855003","C2","#FFFFB3"
"LOC101846962","C2","#FFFFB3"
"LOC118479090","C2","#FFFFB3"
"LOC101845115","C2","#FFFFB3"
"LOC101857774","C2","#FFFFB3"
"LOC101854493","C2","#FFFFB3"
"LOC101852149","C2","#FFFFB3"
"LOC101850626","C2","#FFFFB3"
"LOC106013820","C2","#FFFFB3"
"LOC101854145","C2","#FFFFB3"
"LOC101862047","C2","#FFFFB3"
"LOC101851833","C2","#FFFFB3"
"LOC106013886","C2","#FFFFB3"
"LOC118478751","C2","#FFFFB3"
"LOC101849333","C2","#FFFFB3"
"LOC118478688","C2","#FFFFB3"
"LOC118477589","C2","#FFFFB3"
"LOC101863952","C2","#FFFFB3"
"LOC101857277","C2","#FFFFB3"
"LOC106011817","C2","#FFFFB3"
"LOC101863407","C2","#FFFFB3"
"LOC101858561","C2","#FFFFB3"
"LOC101854172","C2","#FFFFB3"
"LOC101855754","C2","#FFFFB3"
"LOC101859844","C2","#FFFFB3"
"LOC101861001","C2","#FFFFB3"
"LOC106011083","C2","#FFFFB3"
"LOC101850871","C2","#FFFFB3"
"LOC101860672","C2","#FFFFB3"
"LOC106011379","C2","#FFFFB3"
"LOC106012956","C2","#FFFFB3"
"LOC101850368","C2","#FFFFB3"
"LOC101855834","C2","#FFFFB3"
"LOC101852339","C2","#FFFFB3"
"LOC101863993","C2","#FFFFB3"
"LOC101861701","C2","#FFFFB3"
"LOC101854395","C2","#FFFFB3"
"LOC106012109","C2","#FFFFB3"
"LOC101853911","C2","#FFFFB3"
"LOC106011128","C2","#FFFFB3"
"LOC101858812","C2","#FFFFB3"
"LOC101854625","C2","#FFFFB3"
"LOC101856269","C2","#FFFFB3"
"LOC101845134","C2","#FFFFB3"
"LOC101861369","C2","#FFFFB3"
"LOC101863248","C2","#FFFFB3"
"LOC118478099","C2","#FFFFB3"
"LOC101854547","C2","#FFFFB3"
"LOC106012038","C2","#FFFFB3"
"LOC101847924","C3","#BEBADA"
"LOC118477430","C3","#BEBADA"
"LOC101857464","C3","#BEBADA"
"LOC106011522","C3","#BEBADA"
"LOC118478651","C3","#BEBADA"
"LOC101851919","C3","#BEBADA"
"LOC101844962","C3","#BEBADA"
"LOC101859832","C3","#BEBADA"
"LOC101859219","C3","#BEBADA"
"LOC101857500","C3","#BEBADA"
"LOC101863271","C3","#BEBADA"
"LOC101855387","C3","#BEBADA"
"LOC101851603","C3","#BEBADA"
"LOC106013283","C3","#BEBADA"
"LOC106013557","C3","#BEBADA"
"LOC101847693","C3","#BEBADA"
"LOC101863785","C3","#BEBADA"
"LOC101852943","C3","#BEBADA"
"LOC101848107","C3","#BEBADA"
"LOC101863413","C3","#BEBADA"
"LOC118477245","C3","#BEBADA"
"LOC101854518","C3","#BEBADA"
"LOC101850591","C3","#BEBADA"
"LOC101854389","C3","#BEBADA"
"LOC101858311","C3","#BEBADA"
"LOC101864624","C3","#BEBADA"
"LOC101846216","C3","#BEBADA"
"LOC101852222","C3","#BEBADA"
"LOC106011767","C3","#BEBADA"
"TRNAR-CCG","C3","#BEBADA"
"LOC101851328","C3","#BEBADA"
"LOC101856460","C3","#BEBADA"
"LOC101850603","C3","#BEBADA"
"LOC101863108","C3","#BEBADA"
"LOC101862531","C3","#BEBADA"
"LOC101863210","C3","#BEBADA"
"LOC101850250","C3","#BEBADA"
"LOC106013235","C3","#BEBADA"
"LOC101858500","C3","#BEBADA"
"LOC101861667","C3","#BEBADA"
"LOC101847314","C3","#BEBADA"
"LOC101862804","C3","#BEBADA"
"LOC101860020","C3","#BEBADA"
"LOC101857871","C3","#BEBADA"
"LOC101862246","C3","#BEBADA"
"LOC106012766","C3","#BEBADA"
"LOC118478703","C3","#BEBADA"
"LOC101861916","C3","#BEBADA"
"LOC101850265","C3","#BEBADA"
"LOC101851915","C3","#BEBADA"
"LOC101846769","C3","#BEBADA"
"LOC101860173","C3","#BEBADA"
"LOC101851582","C3","#BEBADA"
"LOC106014056","C3","#BEBADA"
"LOC118477963","C3","#BEBADA"
"LOC106014117","C3","#BEBADA"
"LOC106013432","C3","#BEBADA"
"LOC101855680","C3","#BEBADA"
"LOC101859128","C3","#BEBADA"
"LOC101859225","C3","#BEBADA"
"LOC101863576","C3","#BEBADA"
"LOC101861419","C3","#BEBADA"
"LOC101847264","C3","#BEBADA"
"LOC106013145","C3","#BEBADA"
"LOC101863036","C3","#BEBADA"
"LOC101849408","C3","#BEBADA"
"LOC106011302","C3","#BEBADA"
"LOC101851090","C4","#FB8072"
"LOC101844995","C4","#FB8072"
"LOC106014021","C4","#FB8072"
"LOC101860517","C4","#FB8072"
"LOC106013288","C4","#FB8072"
"LOC101846212","C4","#FB8072"
"LOC101863881","C4","#FB8072"
"LOC101850163","C4","#FB8072"
"LOC118478672","C4","#FB8072"
"LOC106011100","C4","#FB8072"
"LOC101860667","C4","#FB8072"
"LOC101863661","C4","#FB8072"
"LOC101861103","C4","#FB8072"
"LOC101851327","C4","#FB8072"
"LOC101857566","C4","#FB8072"
"LOC106013742","C4","#FB8072"
"LOC101861341","C4","#FB8072"
"LOC101846049","C4","#FB8072"
"LOC101847844","C4","#FB8072"
"LOC101862248","C4","#FB8072"
"LOC106012701","C4","#FB8072"
"LOC118478242","C4","#FB8072"
"LOC118477856","C4","#FB8072"
"LUQ-1","C4","#FB8072"
"LOC101852519","C4","#FB8072"
"ELH","C4","#FB8072"
"LOC106011873","C4","#FB8072"
"LOC101856911","C4","#FB8072"
"LOC101852132","C4","#FB8072"
"LOC101851903","C4","#FB8072"
"LOC101856005","C4","#FB8072"
"LOC118478624","C4","#FB8072"
"LOC106011504","C4","#FB8072"
"LOC100533412","C4","#FB8072"
"LOC101854008","C4","#FB8072"
"LOC106013317","C4","#FB8072"
"LOC100533237","C4","#FB8072"
"LOC101857749","C4","#FB8072"
"LOC101851187","C4","#FB8072"
"LOC106014153","C4","#FB8072"
"LOC101864413","C4","#FB8072"
"LOC101862698","C4","#FB8072"
"LOC101853324","C4","#FB8072"
"LOC100533236","C4","#FB8072"
"LOC101856414","C4","#FB8072"
"LOC106011723","C4","#FB8072"
"LOC101859434","C4","#FB8072"
"LOC101860270","C4","#FB8072"
"LOC101845589","C4","#FB8072"
"LOC101863891","C4","#FB8072"
