"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC163A","AC164A","AC172A","AC177A","AC181A","AC182A","AC270A","AC274A","AC304A","AC308A","AC312A","AC169A","AC170A","AC174A","AC179A","AC183A","AC184A","AC267A","AC271A","AC275A","AC305A","AC309A","AC313A"
"1","LOC106011867",27.0163184695995,-2.33901313569242,0.255791633295544,-9.14421283275479,6.00657014195192e-20,1.18581707742415e-15,63.3524102588924,59.3267887020386,29.2050497327929,3.3161489763307,9.30421689173481,5.79880949764209,12.9554441574094,10.1484801297506,34.5881030318868,42.087183094684,49.2828270119855,54.6529206798862,53.0310084711973,22.4156651205603,1.16339167577801,10.5476456731774,5.61230891306124,10.6641589636142,9.14865867024906,15.6282384324165,39.5446783083504,44.5977392537924,35.0034491535582
"2","LOC101863863",25.4653126998797,-2.6849162012341,0.312648019796846,-8.58766418216471,8.87552395149618e-18,6.04716810826794e-14,49.047027297207,31.2246256326519,27.1189747518792,5.52691496055116,3.87675703822284,3.86587299842806,15.9451620398885,9.02087122644495,32.5535087358935,44.0447264944368,71.5995788664695,43.9175255463371,21.4163688056758,23.2162245891517,4.65356670311204,2.10952913463547,2.2449235652245,4.57035384154892,10.1651763002767,10.418825621611,65.6082162843087,64.8694389146071,38.6880227486696
"3","LOC106011656",21.4487362102477,-2.98011735727975,0.347184500783849,-8.58367049955122,9.1892940557207e-18,6.04716810826794e-14,63.3524102588924,57.2451469931951,30.2480872232498,5.52691496055116,3.87675703822284,3.86587299842806,11.9588715299164,6.76565341983371,22.3805372559268,29.3631509962912,53.0022856543995,41.9656355220555,22.4361958916604,23.2162245891517,1.16339167577801,1.05476456731774,2.2449235652245,4.57035384154892,1.01651763002767,8.68235468467585,34.1522221753936,48.6520791859553,16.5805811780012
"4","LOC101850552",377.563590828261,1.22443504190024,0.1439851720703,8.50389678530519,1.83330547781148e-17,9.04827918573854e-14,245.235136486035,177.980366106116,255.544185161938,452.101643773085,488.471386816077,368.224403100273,500.279459001501,858.110375415576,191.251863823374,264.268358966621,269.660751575015,189.33333235532,243.738673550311,252.176232606303,406.023694846526,477.808348994934,409.69855065347,548.442460985871,627.191377727074,784.016628026229,202.217104985883,221.637249624907,250.551004467574
"5","LOC101845257",221.20399155911,1.65405611051223,0.196065184569314,8.43625610607819,3.27664385429299e-17,1.29375005942904e-13,128.748446655168,69.7349972462558,99.0885615934046,321.666450704078,203.917420210521,166.232538932407,372.718162682393,594.249892042061,89.522149023707,128.219092683805,99.4955186845745,68.3161508498577,171.330950445407,141.699025940684,303.645227378061,312.21031192605,405.208703523021,262.033620248805,398.474910970848,438.45891157613,98.8616957708761,95.9527117278563,117.906355043564
"6","LOC101846672",127.13507123267,-1.18110513765147,0.142582820136259,-8.28364270339686,1.19463669993805e-16,3.93075295502951e-13,188.013604639294,246.67454249795,165.842960982646,80.692958424047,99.2449801785046,76.3509917189542,93.6778269843448,65.4013163917259,147.508086459517,115.495060585412,172.954826872251,172.742267148926,186.628356735175,129.690633911813,83.7642006560167,76.9978134141947,61.7353980436736,74.6491127452991,60.9910578016604,66.854131072004,244.458011360712,181.093850303278,132.64464942401
"7","LOC118477250",78.783319107006,-1.95066053177185,0.237990447903443,-8.19638161512796,2.47731023570006e-16,6.98672266759865e-13,143.053829616854,129.061785948294,92.8303366506633,22.1076598422047,34.115461936361,24.1617062401754,67.766938669526,33.8282670991686,125.127549203591,68.5140189913461,199.920902029753,127.848796590448,89.7447835666416,58.440841207175,18.6142668124482,25.3143496156257,17.959388521796,39.609733293424,23.3799054906365,39.9388315495089,178.849795076403,148.659130845975,103.168060663119
"8","LOC101857866",66.910166928012,-1.88492309741921,0.23921932254589,-7.87947678038265,3.28754779490407e-15,8.11284607087451e-12,111.377624487408,106.163727151016,66.754399389241,16.5807448816535,32.5647591210718,20.2958332417473,57.8012123945957,34.9558760024742,85.4529604317204,61.6626170922115,180.393744157079,81.0034360076885,79.5465127067959,83.2581847335095,19.7776584882262,13.7119393751306,15.7144649565715,31.9924768908425,26.4294583807195,35.597654207171,167.166140121663,112.170071456508,98.5623436692296
"9","LOC101859087",52.0782050294348,-2.26070083743226,0.287930745151911,-7.85154373229413,4.10947159748256e-15,9.01435425305563e-12,55.1779057093579,70.7758181006776,59.4531369560428,15.4753618895433,15.5070281528913,11.5976189952842,34.880041962256,23.679786969418,77.314583247747,55.7899868929532,175.744420854062,68.3161508498577,50.9913542992282,48.8341275840777,6.98035005466806,12.6571748078128,5.61230891306124,21.3283179272283,18.2973173404981,26.0470640540275,159.077455922228,101.358498304074,82.9029058900062
"10","LOC101856910",70.6935648439355,-1.2393082481902,0.158936065289289,-7.79752692338561,6.31321711020638e-15,1.24635532189694e-11,86.8541108388041,92.6330560435339,100.131599083862,36.4776387396377,55.0499499427643,44.4575394819227,64.7772207870469,29.3178314859461,96.6432290596837,96.8983982877609,132.970646466301,86.8591060805334,106.062016942395,66.4464358930893,27.9214002186722,33.7524661541675,37.0412388262042,42.6566358544566,37.6111523110239,43.4117734233792,126.722719124487,112.170071456508,69.0857549083385
"11","LOC101856710",22.803862548111,-2.46668076302792,0.317652268034709,-7.76534912937687,8.1420631061184e-15,1.46127827128172e-11,91.9631761822632,59.3267887020386,29.2050497327929,6.6322979526614,7.75351407644567,2.89940474882104,11.9588715299164,2.25521780661124,23.3978344039234,20.5542056974038,27.895939818105,36.1099654492105,39.773256353398,23.2162245891517,9.30713340622408,5.27382283658868,4.48984713044899,13.7110615246468,4.06607052011069,6.94588374774068,30.557251420089,43.246292609738,23.949728368224
