"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC177A","AC181A","AC182A","AC270A","AC274A","AC179A","AC183A","AC184A","AC267A","AC271A","AC275A"
"1","LOC101854731",526.923800199029,-5.53700155615986,0.542447827300143,-10.2074361394689,1.83653474621108e-24,2.93349695012295e-20,26.5291918106456,10.8549197070239,20.2958332417473,37.8697598447351,6.76565341983371,1713.67593842101,1593.7492612171,967.562056611757,682.506173671306,560.101214145248,176.25180009892
"2","LOC101847465",4911.81421274197,-6.97603187342077,0.756387702363224,-9.22282561129057,2.89372210434365e-20,2.31107115863405e-16,109.432916218913,72.8830323185893,84.0827377158103,61.7875029045679,27.0626136793349,13319.6712959824,12522.1649431962,12260.6500514736,11492.916460215,4043.70713225008,35.597654207171
"3","LOC101848377",1450.84720683392,-5.98873173095415,0.687836773580611,-8.7066175595398,3.13077225385173e-18,1.66692750702579e-14,43.1099366922991,31.7894077134273,32.8599204866385,34.880041962256,64.2737074884203,2508.27245297739,3002.91472315359,2996.9729595747,5997.8276913927,1211.68901499299,34.7294187387034
"4","LOC101857128",449.08867982674,-6.14619276989751,0.712350534441295,-8.6280454253018,6.24092941733507e-18,2.49215913957733e-14,14.369978897433,8.52886548409024,9.66468249607015,15.9451620398885,9.02087122644495,757.367980931485,937.685700345467,1134.80886222098,1045.08757843419,1002.28638320729,5.20941281080551
"5","LOC101853463",2546.81575500399,-4.8660919869736,0.584328211227175,-8.32766909671209,8.24495875952625e-17,2.63393452531826e-13,210.022768500944,162.048444197715,153.668451687515,85.7052459644006,166.886117689232,5139.86442358725,6046.96526443258,6510.27833915104,6342.12768078939,3039.38771378274,158.0188552611
"6","LOC101846325",1970.75260587085,-8.81734281115276,1.08019974151335,-8.1626966497879,3.27626575777852e-16,8.72196549149938e-13,5.52691496055116,13.9563253376022,3.86587299842806,11.9588715299164,4.51043561322248,3605.35080323605,4347.73954648371,7062.52953619626,6505.13696780463,98.6022101126843,19.1011803062869
"7","LOC101852443",832.228712813129,-7.77348974610024,0.961729987100947,-8.08281934676151,6.32863392087043e-16,1.44410385168662e-12,4.42153196844093,14.7316767452468,4.83234124803507,5.97943576495818,4.51043561322248,2789.81323851567,2720.23781911244,2086.65645387617,1342.16057813487,164.675856064483,16.4964739008841
"8","LOC101845452",582.772231524325,-4.49151878387155,0.565887505450764,-7.93712308649363,2.06924680065191e-15,4.13150989335162e-12,33.161489763307,29.4633534904936,47.3569442307437,44.8457682371863,74.4221876181709,942.347257380188,783.690073517078,975.419289090043,1732.16410594704,1689.45230110599,58.1717763873282
"9","LOC101845676",558.853038605622,-4.07629561373859,0.528255814015571,-7.71651822012589,1.1955049418065e-14,2.12175560394168e-11,33.161489763307,44.1950302357403,67.652777472491,58.7977850220888,85.6982766512271,936.530299001298,1130.70761616461,867.662957959267,1406.14553191655,1446.50458752938,70.3270729458744
"10","LOC101850631",68459.6277496461,-10.8833835692974,1.41744732646582,-7.67815732273693,1.61393214638789e-14,2.57793381742537e-11,105.011384250472,114.752008331396,93.7474202118804,13.9520167849024,4.51043561322248,249335.777169392,233941.507208237,195392.534808227,71603.733635547,2447.77445310664,2.60470640540275
"11","LOC101852738",3200.26345688785,-6.83277149515365,0.916589723739034,-7.45455825893487,9.01694264427823e-14,1.21860470884938e-10,68.5337455108344,65.1295182421437,60.8874997252419,25.9108883148188,34.9558760024742,3540.20086939249,5528.02109731225,5281.18268719063,7768.07807935265,12815.2377617589,14.7600029639489
"12","LOC101861925",589.324126081366,-4.69293847986613,0.629708688631563,-7.45255475204651,9.15498435246511e-14,1.21860470884938e-10,44.2153196844093,24.0358936369816,44.4575394819227,36.8731872172421,52.9976184553641,1567.08858727298,1576.87302814001,1469.30247343943,834.851301722937,810.164551132055,21.7058867116896
"13","LOC101852778",576.369630308973,-2.24967081846728,0.304956836417888,-7.37701389118725,1.61879123868223e-13,1.98899634272855e-10,248.711173224802,162.823795605359,207.790673665508,161.444765653871,164.63089988262,1006.33379954798,1089.57179803922,974.296827307431,976.532270810953,1026.68280632795,321.247123333006
