"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC202Pp","AC203Pp","AC204Pp","AC208Pp","AC209Pp","AC210Pp","AC202A","AC203A","AC204A","AC208A","AC209A","AC210A"
"1","LOC101852892",31.1539072382646,2.46558513886502,0.321895937702184,7.65957208551718,1.86553615802833e-14,2.81975790285983e-10,9.65881273389401,1.09776950806722,6.3632271284043,56.6585891247017,50.1153907449592,52.6100951481134,9.60509909817004,8.55546296739578,22.40235862006,49.25138906185,43.6109766769491,63.9177160466102
"2","LOC106013587",16.1495781122037,-3.28122195481583,0.450688079239829,-7.28047202923633,3.32654154679805e-13,2.51403377399262e-09,29.7813392628399,32.9330852420166,41.7144889528726,4.64414664956571,0.911188922635622,0,16.590625715021,25.6663889021873,29.5303818173518,6.42409422545869,3.84802735384845,1.75117030264685
"3","LOC106012574",371.841317376779,-1.47892130828438,0.234421739696458,-6.30880612949704,2.81196085077297e-10,1.41675960864778e-06,688.995308351106,458.867654372097,248.872883244257,187.623524642455,205.017507593015,177.120653665315,768.407927853603,635.95608057642,482.668999359474,180.945320683753,260.383184277078,167.236763902775
"4","LOC101860995",702.137666799583,1.06437559197024,0.194204870336172,5.48068434189004,4.23683807960342e-08,0.000160099518933014,277.690866099453,594.991073372433,594.608223887557,1041.21767883263,786.356040234542,1187.23448050909,399.04820798761,398.304331482092,460.266640739414,717.357188509554,1013.31386984676,955.263400093859
"5","LOC101849198",32.1541416284238,-1.51224054577387,0.282774159197372,-5.34787390073485,8.89934307782993e-08,0.000269027141242799,37.8303498744182,49.3996278630248,47.3706908447875,21.3630745880023,10.0230781489918,8.76834919135223,48.8986863179565,36.1230658623377,68.2253648883644,25.6963769018348,10.2614062769292,21.8896287830857
"6","LOC101846323",89.7562305623508,-0.874923060388283,0.171705768257491,-5.0954785576932,3.47861394102859e-07,0.000876320828644119,115.905752806728,83.4304826131086,125.850492095107,68.7333704135725,58.3160910486798,59.6247745011952,143.203295645444,133.084979492823,95.7191686493471,74.9477659636848,52.5897071692621,65.6688863492571
"7","LOC101863658",261.726028628238,0.699157262530628,0.14197734303142,4.92442841655309,8.46072928823065e-07,0.00182691318845152,215.7134843903,259.073603903864,216.349722365746,362.243438666125,354.452490905257,324.428920080033,150.188822262295,180.615329311689,176.164001875926,323.346076014754,282.188672615553,295.947781147318
"8","LOC101860093",73.0310397816644,-0.861476672254194,0.177828047347219,-4.84443643792655,1.2697155660771e-06,0.00233396050048721,88.5391167273618,66.9639399921004,97.5694826355325,44.5838078358308,57.4049021260442,49.1027554715725,110.895235042509,96.0113066341082,103.865480874823,47.1100243200304,70.5471681538882,43.7792575661714
"9","LOC101862010",62.7017173148083,-0.986984281847769,0.204493896020396,-4.82647306865984,1.38972176674726e-06,0.00233396050048721,96.5881273389401,55.9862449114282,73.5306245948941,34.3666852067863,38.2699347506961,36.8270666036794,107.402471734083,69.3943107355436,96.7374576775316,41.7566124654815,55.1550587384944,46.4060130201417
"10","LOC101859323",147.743117318529,-1.33457375137826,0.288259551749628,-4.62976419437932,3.66082379090977e-06,0.00519519843142612,218.933088634931,147.101114081007,104.639735000426,78.0216637127039,41.003501518603,84.1761522369814,289.899354599314,337.465483713945,171.072556735003,96.3614133818804,100.04871120006,104.194633007488
"11","TRNAM-CAU",1531.85633317463,0.682248171921473,0.147574359870969,4.62308067958412,3.78082585151752e-06,0.00519519843142612,937.709736248877,1203.15538084167,1340.51984838384,2339.7210820512,1918.05268214798,1981.6469172456,1025.12603102287,1218.67816935571,1331.92204886538,1872.62346672121,1913.75227064729,1299.36836456397
"12","LOC101861738",73.1808369537454,0.81192199380108,0.17790375886695,4.56382708815218,5.02294535618027e-06,0.00632681825488873,41.8548551802074,62.5728619598315,52.3198675002131,104.028884950272,77.4510584240279,64.8857840160065,58.5037854161266,43.7279218333562,62.1156307192572,105.997554720068,98.7660354154435,105.945803310135
"13","LOC101857845",3.34835980519082,-4.52279828687717,0.996439842038815,-4.53895769324426,5.65329760198041e-06,0.00657304563491799,1.60980212231567,7.68438655647053,4.94917665542556,0.928829329913142,0,0,10.4782899252764,10.4566769601504,4.07315611273817,0,0,0
"14","LOC101862942",4.75949147155699,3.57049737621868,0.805173986320464,4.43444204219186,9.23110485071611e-06,0.0093018766545716,0.804901061157834,0,0,3.71531731965257,5.46713353581373,5.26100951481134,0.873190827106367,1.90121399275462,1.01828902818454,10.7068237090978,8.97873049231304,18.387288177792
"15","LOC106012308",6.92623809290155,2.21610131550138,0.498255152809914,4.44772382784936,8.67850087900045e-06,0.0093018766545716,3.21960424463134,0,3.53512618244683,12.0747812888708,16.4014006074412,10.5220190296227,1.74638165421273,0.950606996377309,5.09144514092272,11.7775060800076,6.41337892308075,11.3826069672046
"16","LOC101853908",5069.49078520952,0.472027701398865,0.107204742301941,4.40304870160879,1.06740192493746e-05,0.0100836125596435,4347.27063131346,4441.57542963997,4428.80608136939,6753.51805779846,6853.05188714251,5543.35035877288,4757.14362607549,3828.09437441142,3683.15141494349,5446.56122081806,5484.72165501865,5266.64468521042
"17","LOC101854912",282.169396290879,0.474814063236006,0.109168881693331,4.34935355085728,1.36539430593745e-05,0.0121399617260262,229.396802429983,267.855759968401,255.236110372661,338.093876088384,368.120324744791,319.167910565221,251.478958206634,197.72625524648,215.877273975123,336.194264465672,306.55951252326,300.325706903936
