"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC164Pp","AC167Pp","AC172Pp","AC178Pp","AC185Pp","AC186Pp","AC163A","AC164A","AC172A","AC178A","AC186A"
"1","LOC101856330",66.3787236069361,-3.02474806353722,0.314582522206302,-9.61511797388923,6.90301731235406e-22,1.12995490385924e-17,115.678237102874,175.067630151664,94.2609319286787,13.5434559145567,9.25618710256507,9.03973247600851,104.576411369226,79.69835575118,92.4157156795102,19.1117374498145,17.5175647502193
"2","LOC101845616",287.437382537863,-1.62025854742464,0.303503803722805,-5.3385115031522,9.37127620340613e-08,0.000511328067245183,436.869937994898,299.828470029862,424.73527065482,160.586691558315,145.322137510272,129.569498822789,471.144253326617,234.54087549633,620.816160623533,176.502516448287,61.8953954507748
"3","LOC101857824",88.8882571562398,1.03409306976273,0.191752694216954,5.39284766759383,6.93497425598164e-08,0.000511328067245183,84.9127485116844,53.3251976898747,54.9855436250626,108.347647316454,127.735382015398,150.662207933475,56.1410208403211,54.6503010865234,58.7111605493359,105.676665898974,122.622953251535
"4","LOC101862442",124.68239492995,1.16045737419553,0.231714962105344,5.00812448040345,5.4962984810713e-07,0.0022492227459164,109.525139384636,85.5215434648934,71.256775922275,120.923713522828,189.751835602584,218.962408863317,70.451477132952,89.9452872049031,53.2749419799529,154.018119448505,207.875101702602
"5","LOC101862028",129.558921971191,-1.03026861393441,0.208908261849786,-4.9316796033429,8.1525559840528e-07,0.00266898377805921,156.288682043245,116.711753434443,171.128477608613,92.8694119855317,56.462741325647,86.3796658818591,192.640757785416,215.185560528186,159.824825939859,86.5649284491597,91.0913367011403
"6","LOC101849413",68.7570676684439,-3.8125547792609,0.792032014037025,-4.81363721628894,1.48207754385781e-06,0.00346573247362979,6.153097718238,70.4295063828534,161.029092044826,5.80433824909573,23.1404677564127,4.017658878226,336.846125041927,13.6625752716309,126.120270809684,5.62109924994543,3.50351295004386
"7","LOC101853857",38.1939664817459,-1.61655077813697,0.333712659703642,-4.84413980450299,1.27161374966098e-06,0.00346573247362979,34.4573472221328,69.4233705773841,35.3478494732545,14.5108456227393,19.4379929153867,20.08829439113,94.6691723974043,46.6804655114054,50.0132108383232,17.9875175998254,17.5175647502193
"8","LOC101859828",76.817059340783,1.14266975801543,0.240325561497604,4.75467424644641,1.98766646477695e-06,0.00406701404524175,70.1453139879132,65.3988273555067,39.8364652793821,107.380257608271,100.892439417959,140.61806073791,44.032173208095,47.819013450708,31.5300677024211,91.061807849116,106.27322615133
"9","LOC101849241",221.559203910947,0.951133863067066,0.203921240111629,4.6642216502136,3.09787336661257e-06,0.00507535460383451,167.364257936074,212.29465495403,143.635705796082,336.651618447553,291.5698937308,224.988897180656,118.886867661857,142.318492412821,148.952388801093,391.228507796202,259.259958303246
"10","LOC106013106",81.4309720718078,1.03617128093698,0.222161680689712,4.6640414211854,3.10058928696592e-06,0.00507535460383451,43.071684027666,44.2699754406507,62.8406212857858,97.7063605264449,119.404813623089,87.3840806014156,77.0563031141663,48.9575613900106,53.2749419799529,115.794644548876,145.979706251827
"11","LOC101860495",824.672184686094,0.594572862149524,0.131320768506654,4.52763769897826,5.96467328111838e-06,0.0088759760853297,803.594562001883,732.466866381675,630.089443785156,995.444009719918,1086.67636584114,969.260204372023,708.91798865033,611.400243405481,531.662176085653,957.835312190702,1044.04685911307
"12","LOC101853064",21.6122832874117,-4.52945636180179,1.01834933456381,-4.44784143129223,8.6737520546209e-06,0.0118317206151741,1.2306195436476,3.018407416408,6.17184673342539,0.967389708182622,2.77685613076952,0,68.2498684725472,88.8067392656005,61.9728916909657,3.37265954996726,1.16783765001462
"13","LOC101852738",879.707271574951,-3.86544103660611,0.880606041842109,-4.38952363819822,1.1359923032327e-05,0.0143038907781662,157.519301586893,1333.12994224687,2546.16731602586,44.4999265764006,266.578188553874,94.4149836383111,3542.38833459124,74.0056160546671,1500.39632514969,37.0992550496399,80.5807978510088
"14","LOC101847351",39.8434506486107,-1.15960689982262,0.267480370143589,-4.33529720031461,1.45563320259218e-05,0.0158848399288209,57.8391185514372,62.3804199390987,48.2526199158712,26.1195221209308,30.5454174384647,26.114782708469,70.451477132952,38.7106299362874,42.402504841187,19.1117374498145,16.3497271002047
"15","LOC101849343",231.59098887484,1.69388902843252,0.390214245164386,4.3409205312813,1.41887036409166e-05,0.0158848399288209,236.278952380339,102.625852157872,79.6729305587641,378.249375899405,601.65216166673,471.070503471999,72.6530857933568,130.933013019796,68.4963539742252,194.490034048112,211.378614652646
"16","LOC101851915",7.96365312836765,-5.65961387742887,1.31126862444599,-4.31613612338208,1.5878408407764e-05,0.0162446042016681,2.4612390872952,1.00613580546933,1.68323092729783,0,0,0,29.7217169154641,35.2949861183797,16.3086557081489,1.12421984998909,0
"17","LOC101852347",86.0695579848678,-1.31955893197838,0.317054334508294,-4.16193310848384,3.15564798346574e-05,0.0252349189135964,63.9922162696752,69.4233705773841,141.391397893018,41.5977574518528,58.31397874616,42.185418221373,193.741562115618,88.8067392656005,152.214119942723,47.2172336995416,47.8813436505994
"18","LOC101860167",70.7734464873897,-1.22563172914009,0.294352350477054,-4.16382518146609,3.12959771160418e-05,0.0252349189135964,111.986378471932,74.4540496047307,56.1076975765944,48.3694854091311,44.4296980923123,46.203077099599,132.096519624285,129.794465080493,70.6708414019784,25.857056549749,38.5386424504825
