"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC164Pp","AC167Pp","AC172Pp","AC187Pp","AC188Pp","AC189Pp","AC166Pp","AC170Pp","AC174Pp","AC199Pp","AC200Pp","AC201Pp"
"1","LOC101849343",522.072667779768,2.83055278133053,0.363028737992746,7.79704878732517,6.33717449744568e-15,5.62931210608099e-11,250.85707822597,108.900290444769,83.4288707410355,1503.37117638057,1264.12535620688,1189.63655078405,163.551016584647,70.71981073157,97.6881209030475,517.103749268927,477.672040078134,537.817953007623
"2","LOC101852961",44.8562282095873,-2.80913116971865,0.370653451098785,-7.57886149822999,3.48600401922285e-14,1.54830868513783e-10,155.479126608804,36.3000968149231,47.002180699175,14.2095574327086,10.5583742735578,12.4028137353681,64.2924685884473,79.2061880193584,88.6170811049074,8.78100706305725,5.6386244191348,15.7872197556054
"3","Tld-2",1546.45006839429,-0.614813815441213,0.0898070163150038,-6.8459441218347,7.59731316520143e-12,2.24956442821614e-08,1894.49355951904,1881.19913493807,1793.13319367352,1202.12855880715,1257.40639076007,1097.64901558007,1828.38757161181,1769.40966450388,2059.12603417781,1281.05136375491,1132.55799047193,1360.85834293318
"4","LOC101846308",1222.110699536,0.627893113595627,0.0935821482879093,6.70953942694165,1.95239662845349e-11,4.3357848126381e-08,894.984888462444,1045.22925828852,1020.53484843084,1570.62974822872,1561.67954027987,1600.99653967376,992.585479961994,880.461643608047,927.339376286787,1429.35281637543,1329.10432736749,1412.42992746816
"5","LOC101854569",217.191739540468,1.01372014235295,0.161203051894073,6.28846743558593,3.20615302939866e-10,5.69605147202966e-07,129.348180960266,148.403336978656,141.006542097525,306.926440546505,315.791376000047,363.815869570797,188.365653583697,136.48923471193,120.71460654448,267.332881697521,223.933941217068,264.17281057713
"6","LOC101856766",42.2776721859013,-1.63763852599955,0.266839687052502,-6.13716251914707,8.40084328547705e-10,1.24374484841488e-06,67.9404586862001,87.547292318344,44.6520716642162,17.9987727480975,24.9561573738639,11.3692459240874,63.164530543036,72.8414050535171,48.1462881593592,17.5620141261145,18.5269088057286,32.6269208282511
"7","LOC101845107",1108.33790237262,0.506151408028434,0.0832323835801476,6.08118362417246,1.19298572046292e-09,1.51389887926744e-06,829.657524341097,928.855418499503,857.202270501203,1259.91409236683,1301.55959226767,1255.78489070602,972.282595144589,897.434398183624,1008.97873447005,1366.91009948258,1312.18845411008,1309.28675839821
"8","LOC101851144",73.0163901639901,-1.52987009193823,0.258478249087249,-5.9187575640913,3.24382704371603e-09,3.60186445366618e-06,96.6844988995925,86.4796424120227,105.754906573144,38.8394569827368,50.8721669544149,39.2755768286656,75.5718490425609,92.6429520583568,192.585152637437,35.124028252229,26.5820865473498,35.7843647793722
"9","LOC101860509",1170.2453759591,0.601448872278647,0.105759686033487,5.68693889738109,1.29336706028989e-08,1.27655328850612e-05,841.41644988294,992.914412878779,784.936417676222,1483.47779597477,1459.93520637104,1450.09563922678,1098.61165623066,908.042369793359,955.250267973372,1326.9077339731,1412.07265810619,1329.28390342197
"10","LOC106012882",1380.36393067931,0.700586059166981,0.129445664030851,5.41220182547026,6.2254464147957e-08,5.53006405026302e-05,974.684272690486,1112.49120238676,1054.61142943774,2125.7497919332,1883.23002952004,1359.14167183408,1024.16774523351,1098.9858587686,1043.86734907828,1578.6299364474,1459.59820678175,1849.20967403991
"11","LOC101855924",64.1695684310239,-2.03085101828303,0.378209577421009,-5.3696446085033,7.88919553148485e-08,6.3708839914709e-05,124.121991830558,33.0971470959593,105.167379314404,17.0514689192503,24.9561573738639,11.3692459240874,51.8851500889224,142.146819570456,161.883171782193,31.2213584464258,28.193122095674,38.9418087304932
"12","LOC100533261",8422.33191648539,-1.14596743942641,0.217568343230878,-5.26716075697805,1.38549873175446e-07,0.000102561543618124,15185.9990636481,16936.1304639743,11604.2508873676,5245.22130032716,5421.24526336859,6377.11339560175,10982.7327481704,7523.88066373174,7379.63976193308,4270.49643500018,4622.06098814221,5519.21202655964
"13","LOC101847744",93.0141253528806,0.969520846689953,0.185402517378624,5.22927552655623,1.70175586754656e-07,0.000110306687819803,61.4077222740655,67.2619440982399,42.3019626292575,123.149497750141,119.021673629197,144.699493579294,78.955663178795,62.2334334437816,66.986140047804,88.7857380820233,122.438701672641,138.927533849327
"14","LOC101853808",292.729333968279,-0.972840130887689,0.186177870150884,-5.22532635108175,1.73848207753827e-07,0.000110306687819803,523.925460253197,460.157109624467,389.530572544412,188.5134619406,188.131032510666,200.51215538845,417.337076802202,257.420111062915,280.504461450179,212.695504416276,177.213910315665,216.811151310314
"15","LOC101855598",320.861757050273,0.868281316950252,0.167429491270254,5.18595207070614,2.14914080545131e-07,0.000127272118498827,165.931504868219,204.988782013683,227.373049132259,389.341873656215,489.524625410407,375.185115494884,297.775643988598,238.325762165391,227.473767245668,513.201079463124,393.898191565274,327.321689599551
"16","LOC100533216",484.655033655138,-1.89724253116124,0.372625574617374,-5.09155211128329,3.55144233350127e-07,0.000175263679158288,2069.57089536425,638.454643980118,448.870825677121,227.352918923337,138.218717762939,141.598790145452,496.292739980997,510.597033481936,422.152236759598,258.551874634464,212.656692378798,251.543034772646
"17","LOC101851259",6849.08795754967,-1.64153338812453,0.322365462906757,-5.09215029836907,3.54025280257505e-07,0.000175263679158288,10762.0299653506,4981.65446289504,18984.1807843968,3351.56094646153,2696.22484858399,2655.23570718005,3581.20329418106,11479.2396779484,12451.0487813856,3445.0817710728,3873.73497594561,3927.86027519462
