"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC190Pp","AC191Pp","AC192Pp","AC193Pp","AC194Pp","AC195Pp","AC190A","AC191A","AC192A","AC193A","AC194A","AC195A"
"1","LOC101849343",661.091351476298,-2.61301961270635,0.132288447624959,-19.752439911566,7.64343145076936e-87,8.32063947730753e-83,1142.10138376162,1143.63779751678,895.556494851782,182.082118230981,219.003126492117,155.129343251675,1255.98333548124,1295.93388797976,1088.97977524041,190.723965245162,217.291870464921,146.673119199127
"2","LOC101856679",1636.60657590392,-2.06214369815506,0.128007324124739,-16.1095758563437,2.18517557162238e-58,1.18939106363406e-54,2854.26548242847,3217.88282242468,2045.95202461692,705.22850270059,699.459324699494,658.989450133114,2812.19465355983,2762.38539279897,2151.37505325525,577.89361469284,583.257125984788,570.395463552162
"3","LOC106013078",86.0005654539662,-3.29365088458463,0.216165244471832,-15.2367273130895,2.01724578145897e-52,7.31991252565413e-49,129.424983799976,149.83489860514,138.279135421738,19.023504889804,15.4363437175061,12.410347460134,173.208451498473,176.36393513108,170.337704445381,25.7477353080968,14.9553109226869,6.98443424757749
"4","LOC100856795",754.03517310371,-1.71056694233966,0.112800009060793,-15.1645993345422,6.0667987501202e-52,1.65107927984521e-48,1138.14947585933,1316.91625168599,1295.91441049692,303.01725645902,374.331335149522,313.981790741389,1046.35669674462,1092.28713415437,1044.67227986445,327.091600395452,430.185120070228,365.518725623222
"5","LOC101845085",536.834510288823,-1.74473745682559,0.118183569962352,-14.762944268661,2.53948001902661e-49,5.52895589742473e-46,840.768406212056,801.158029276464,786.960315201202,190.23504889804,238.298556139,289.161095821121,935.325638091756,690.839944795227,907.811349703129,228.868758294194,271.834769124132,260.75221190956
"6","LOC101852216",50.949183160408,-4.86585325347597,0.361329797169934,-13.4665153319408,2.46214605035935e-41,4.46715365070198e-38,109.665444288529,100.909217427952,99.9084852785335,5.43528711137256,3.85908592937652,1.2410347460134,111.031058652868,82.8228424648721,86.6457687352227,2.86085947867743,3.51889668769103,3.49221712378875
"7","LOC101858729",521.273374178891,-0.969968240983016,0.0847592466694685,-11.4438044118721,2.52562339059103e-30,3.92770517571056e-27,668.86041246247,672.728116186344,641.441434469425,351.934840461373,328.022303997004,357.418006851858,691.94555752467,673.300989920313,792.611861725617,328.045220221678,369.484152207558,379.487594118377
"8","LOC101857824",151.699971819503,-1.80605762979618,0.158706164314723,-11.3798833056961,5.26701620589946e-30,6.37074871304683e-27,196.607418138894,204.876289929478,249.771213196334,81.5293066705884,57.8862889406478,45.9182856024957,229.168105059519,234.827118047461,300.306357548215,77.2432059242905,71.2576579257434,71.0084148503712
"9","LOC106013573",220.309314381884,-1.19100325328557,0.104564790712234,-11.3900983798958,4.68460494804841e-30,6.37074871304683e-27,302.320954525134,332.286917995073,315.652895517686,133.164534228628,142.786179386931,155.129343251675,308.22221882036,283.546437144444,296.367913514796,128.738676540484,137.23697081995,108.258730837451
"10","LOC101864389",1407.8596096215,-1.0591701442166,0.0951989781298528,-11.1258562331612,9.3899930616161e-29,1.02219464468753e-25,1752.67115466532,1785.78736296739,1788.21709157955,847.904789374119,867.329562627372,1053.63849936537,2327.2109893641,1901.0278311643,1859.93019478222,883.051959085099,914.913138799668,912.632741683459
"11","LOC101861135",322.779723284333,1.15085163002763,0.106698880601085,10.7859766057932,4.00961526426443e-27,3.96806106970751e-24,186.727648383171,166.143458997536,182.441581812974,468.793513355883,444.759653360644,438.085265342729,198.079408636716,244.570981866857,225.47592091325,462.505615719517,446.020155164838,409.75347585788
"12","LOC101864367",1147.6586357186,1.40030327029812,0.131392321213663,10.6574209007316,1.61000298777411e-26,1.46054104374241e-23,563.14687607623,579.97317895459,537.189102004868,1592.53912363216,2046.2803140519,1497.92893843817,814.523846277436,635.299921024666,654.766320555944,1403.72838420439,1880.85027957086,1565.67734383195
"13","LOC101859213",295.797871572175,2.69244982214826,0.257369682636986,10.4614101962658,1.29907647593228e-25,1.08782665515375e-22,86.9419738503654,85.6199420600801,44.1624463912358,319.323117793138,524.835686395206,784.333959480467,105.70156783753,77.9509105551737,75.8150476433199,297.529385782452,444.260706820993,703.099714256134
"14","LOC101861245",601.50617367572,-0.981501784741997,0.0970791920873192,-10.1103209002726,4.97211476926576e-24,3.86617438415907e-21,800.26135021359,843.968000306504,783.340442546183,403.570068019413,347.317733643886,491.449759421305,826.959324846557,722.994695399236,810.334859876003,393.844988231259,363.326083004099,430.706778600612
"15","LOC101846746",427.651831345188,-0.846844800964144,0.0846649930948567,-10.0023016598532,1.4889544605468e-23,1.08058388383416e-20,519.675889151047,539.2017779736,521.985636853787,281.27610801353,306.797331385433,289.161095821121,623.550425394504,560.272169615311,535.628388545013,330.906079700356,307.903460172965,315.463613515583
"16","LOC101853528",441.609562357609,-0.910491116768034,0.0978517319726001,-9.30480328159122,1.34240601502664e-20,9.13339492473752e-18,580.930461636532,556.529623390521,570.491930431046,270.405533790785,297.149616561992,372.310423804019,641.315394778963,542.733214740397,565.166718795657,286.085947867743,283.271183359128,332.924699134527
"17","LOC101846369",209.559876744532,-1.17923902349439,0.128573799615289,-9.17168993234109,4.65660768163083e-20,2.98187242483725e-17,273.669622233536,249.724831008567,264.974678347415,115.499851116667,112.878263434263,147.683134775594,354.411139219953,291.341528199962,311.137078640118,130.645916192936,148.673385054946,114.079092710432
