"","cluster","cluster_col"
"LOC101846962","C2","#FFFFB3"
"LOC101854547","C2","#FFFFB3"
"LOC101861816","C2","#FFFFB3"
"LOC101852339","C2","#FFFFB3"
"LOC101848672","C2","#FFFFB3"
"LOC101850871","C2","#FFFFB3"
"LOC101854962","C2","#FFFFB3"
"LOC106011840","C2","#FFFFB3"
"LOC101854518","C2","#FFFFB3"
"LOC118477656","C2","#FFFFB3"
"LOC106011749","C2","#FFFFB3"
"LOC106011656","C2","#FFFFB3"
"LOC106012956","C2","#FFFFB3"
"LOC101853064","C2","#FFFFB3"
"LOC118479090","C2","#FFFFB3"
"LOC106012038","C2","#FFFFB3"
"LOC101863248","C2","#FFFFB3"
"LOC101858812","C2","#FFFFB3"
"LOC101848329","C2","#FFFFB3"
"LOC101855547","C2","#FFFFB3"
"LOC101851582","C2","#FFFFB3"
"LOC101857871","C2","#FFFFB3"
"LOC106012766","C2","#FFFFB3"
"LOC101850603","C2","#FFFFB3"
"LOC106013432","C2","#FFFFB3"
"LOC101845308","C2","#FFFFB3"
"LOC101851915","C2","#FFFFB3"
"LOC101850250","C2","#FFFFB3"
"LOC101860020","C2","#FFFFB3"
"LOC101862130","C2","#FFFFB3"
"LOC101849333","C2","#FFFFB3"
"LOC101850626","C2","#FFFFB3"
"LOC118478099","C2","#FFFFB3"
"LOC101863407","C2","#FFFFB3"
"LOC118478667","C2","#FFFFB3"
"LOC101844975","C2","#FFFFB3"
"LOC106011208","C2","#FFFFB3"
"LOC118477149","C2","#FFFFB3"
"LOC106011767","C2","#FFFFB3"
"LOC101856460","C2","#FFFFB3"
"LOC118477905","C2","#FFFFB3"
"LOC101862531","C2","#FFFFB3"
"LOC101853858","C2","#FFFFB3"
"LOC118479087","C2","#FFFFB3"
"LOC118479095","C2","#FFFFB3"
"LOC106014117","C2","#FFFFB3"
"LOC106014056","C2","#FFFFB3"
"LOC101861078","C2","#FFFFB3"
"LOC118478703","C2","#FFFFB3"
"LOC101845614","C2","#FFFFB3"
"LOC101864184","C2","#FFFFB3"
"LOC101849229","C2","#FFFFB3"
"LOC101853911","C2","#FFFFB3"
"LOC106011128","C2","#FFFFB3"
"LOC101845134","C2","#FFFFB3"
"LOC106011083","C2","#FFFFB3"
"LOC101855680","C2","#FFFFB3"
"LOC101856572","C2","#FFFFB3"
"LOC101850904","C2","#FFFFB3"
"LOC101857464","C2","#FFFFB3"
"LOC106013733","C2","#FFFFB3"
"LOC118477287","C2","#FFFFB3"
"LOC101858561","C2","#FFFFB3"
"LOC101855789","C2","#FFFFB3"
"LOC101863036","C2","#FFFFB3"
"LOC101863753","C2","#FFFFB3"
"LOC101859225","C2","#FFFFB3"
"LOC106011443","C2","#FFFFB3"
"LOC101856689","C2","#FFFFB3"
"LOC101861513","C2","#FFFFB3"
"LOC106012844","C2","#FFFFB3"
"LOC101858146","C2","#FFFFB3"
"LOC101862461","C2","#FFFFB3"
"LOC106012830","C2","#FFFFB3"
"LOC106013076","C2","#FFFFB3"
"LOC101850424","C2","#FFFFB3"
"LOC101861916","C2","#FFFFB3"
"LOC101863413","C2","#FFFFB3"
"LOC101864652","C2","#FFFFB3"
"LOC118477589","C2","#FFFFB3"
"LOC101860346","C2","#FFFFB3"
"LOC101857228","C2","#FFFFB3"
"LOC106011379","C2","#FFFFB3"
"LOC101853334","C2","#FFFFB3"
"LOC101848206","C2","#FFFFB3"
"LOC118478693","C2","#FFFFB3"
"LOC101853571","C2","#FFFFB3"
"LOC101856078","C3","#BEBADA"
"LOC106012336","C3","#BEBADA"
"LOC101859217","C3","#BEBADA"
"LOC101856278","C3","#BEBADA"
"LOC101850256","C3","#BEBADA"
"LOC101850031","C3","#BEBADA"
"LOC118478603","C3","#BEBADA"
"LOC106013949","C3","#BEBADA"
"LOC101861883","C3","#BEBADA"
"LOC118478441","C3","#BEBADA"
"LOC101856675","C3","#BEBADA"
"LOC106011078","C3","#BEBADA"
"LOC101859821","C3","#BEBADA"
"LOC101859517","C3","#BEBADA"
"LOC106011020","C3","#BEBADA"
"LOC118477315","C3","#BEBADA"
"LOC101851855","C3","#BEBADA"
"LOC101847320","C3","#BEBADA"
"LOC101860266","C3","#BEBADA"
"LOC101864629","C3","#BEBADA"
"LOC101853146","C3","#BEBADA"
"LOC101861914","C3","#BEBADA"
"LOC101847524","C3","#BEBADA"
"LOC101860344","C3","#BEBADA"
"LOC118478367","C3","#BEBADA"
"LOC106012790","C3","#BEBADA"
"LOC118477565","C3","#BEBADA"
"LOC101849872","C3","#BEBADA"
"LOC101853675","C3","#BEBADA"
"LOC118479204","C3","#BEBADA"
"LOC101858749","C3","#BEBADA"
"LOC101864596","C3","#BEBADA"
"LOC106013015","C3","#BEBADA"
"LOC101855637","C3","#BEBADA"
"LOC106011101","C3","#BEBADA"
"LOC101854617","C3","#BEBADA"
"LOC101849699","C3","#BEBADA"
"LOC118478883","C3","#BEBADA"
"LOC106011452","C3","#BEBADA"
"LOC101852684","C3","#BEBADA"
"LOC106011005","C3","#BEBADA"
"LOC101846325","C3","#BEBADA"
"LOC101856344","C3","#BEBADA"
"LOC106012686","C3","#BEBADA"
"LOC101850439","C3","#BEBADA"
"LOC101846454","C3","#BEBADA"
"LOC101853719","C3","#BEBADA"
"LOC118477435","C3","#BEBADA"
"LOC101862489","C3","#BEBADA"
"LOC101852443","C3","#BEBADA"
"LOC101852128","C3","#BEBADA"
"LOC101858324","C3","#BEBADA"
"LOC101860085","C3","#BEBADA"
"LOC101854553","C3","#BEBADA"
"LOC106014181","C3","#BEBADA"
"LOC101851949","C3","#BEBADA"
"LOC101847769","C3","#BEBADA"
"LOC106013103","C3","#BEBADA"
"LOC101859411","C3","#BEBADA"
"LOC106012574","C3","#BEBADA"
"LOC101861296","C3","#BEBADA"
"LOC101861744","C3","#BEBADA"
"LOC118479056","C3","#BEBADA"
"LOC101854808","C3","#BEBADA"
"LOC101859062","C3","#BEBADA"
"LOC106013887","C3","#BEBADA"
"LOC101852753","C3","#BEBADA"
"LOC101861925","C3","#BEBADA"
"LOC101848340","C3","#BEBADA"
"LOC101858348","C3","#BEBADA"
"LOC101864505","C3","#BEBADA"
"LOC101856161","C3","#BEBADA"
"LOC101858186","C3","#BEBADA"
"LOC101854668","C3","#BEBADA"
"LOC101861355","C3","#BEBADA"
"LOC101848377","C3","#BEBADA"
"LOC101845714","C3","#BEBADA"
"LOC118477792","C3","#BEBADA"
"LOC101860737","C3","#BEBADA"
"LOC106011500","C3","#BEBADA"
"LOC101855937","C3","#BEBADA"
"LOC101861104","C3","#BEBADA"
"LOC101861648","C3","#BEBADA"
"LOC101845435","C3","#BEBADA"
"LOC101850631","C3","#BEBADA"
"LOC101853463","C3","#BEBADA"
"LOC101847465","C3","#BEBADA"
"LOC101854709","C3","#BEBADA"
"LOC101862659","C3","#BEBADA"
"LOC101850319","C3","#BEBADA"
"LOC101859366","C3","#BEBADA"
"LOC101862878","C3","#BEBADA"
"LOC101845466","C3","#BEBADA"
"LOC106012457","C3","#BEBADA"
"LOC101852738","C3","#BEBADA"
"LOC101852231","C3","#BEBADA"
"LOC101860873","C3","#BEBADA"
"LOC101849487","C3","#BEBADA"
"LOC101854731","C3","#BEBADA"
"LOC101857128","C3","#BEBADA"
"LOC101859002","C3","#BEBADA"
"LOC106011630","C3","#BEBADA"
"LOC101857597","C3","#BEBADA"
"LOC106012394","C3","#BEBADA"
"LOC101849413","C3","#BEBADA"
"LOC101848923","C3","#BEBADA"
"LOC101864001","C3","#BEBADA"
"LOC101856068","C3","#BEBADA"
"LOC101862822","C3","#BEBADA"
"LOC101846320","C3","#BEBADA"
"LOC101852426","C3","#BEBADA"
"LOC106013784","C3","#BEBADA"
"LOC118477558","C3","#BEBADA"
"LOC101860271","C3","#BEBADA"
