"","RSB441-10","RSB441-11","RSB441-12","RSB441-16","RSB441-17","RSB441-18"
"aae-miR-100_MIMAT0014291_Aedes_aegypti_miR-100 ",347.120588837571,212.824244959533,288.521920425926,318.791905543211,389.562533061377,310.996285645748
"aae-miR-124_MIMAT0014282_Aedes_aegypti_miR-124 ",14.7015778801795,24.5566436491769,26.4583420477923,77.2828861922936,82.4700627093722,17.6451793274183
"aae-miR-184_MIMAT0014207_Aedes_aegypti_miR-184 ",1393.38288131034,1239.73843392511,1275.67006301856,957.341752707037,1145.89981869865,999.158279415063
"aae-miR-2b_MIMAT0014306_Aedes_aegypti_miR-2b ",637.068374807777,493.365295133463,588.383130300906,235.712802886496,224.622407642632,229.387331256438
"aae-miR-2c_MIMAT0014308_Aedes_aegypti_miR-2c ",22.8691211469458,30.5097693823107,32.7579472972667,28.0150462447064,19.5323832732724,22.0564741592729
"aae-miR-317_MIMAT0014224_Aedes_aegypti_miR-317 ",24.5026298002991,19.3476586326848,20.158736798318,24.1509019350918,24.9580452936258,11.0282370796365
"aae-miR-34-5p_MIMAT0014245_Aedes_aegypti_miR-34-5p ",31.8534187403889,37.9511765487279,42.2073551714782,67.6225254182569,49.9160905872516,39.7016534866912
"aae-miR-71-5p_MIMAT0014220_Aedes_aegypti_miR-71-5p ",64.5235918074544,75.1582123808141,62.9960524947437,62.7923450312386,65.1079442442412,44.1129483185458
"aae-miR-8-3p_MIMAT0014215_Aedes_aegypti_miR-8-3p ",23.6858754736225,16.3710957661179,17.6388946985282,13.5245050836514,10.8513240407069,6.61694224778187
"abu-let-7a_MIMAT0042056_Astatotilapia_burtoni_let-7a ",346.303834510894,448.71685213496,432.152920113941,326.520194162441,296.241146311298,350.697939132439
"abu-let-7c_MIMAT0042114_Astatotilapia_burtoni_let-7c ",352.021114797631,414.48637916944,401.284854391517,290.776859298505,309.262735160146,273.500279574984
"abu-miR-100_MIMAT0042041_Astatotilapia_burtoni_miR-100 ",359.37190373772,234.404325742143,311.830459848981,382.550286651853,377.626076616599,341.87534946873
"abu-miR-124_MIMAT0042170_Astatotilapia_burtoni_miR-124 ",80.0419240143105,93.7617302968573,76.8551840435873,111.094148901422,124.790226468129,63.9637750618914
"abu-miR-184a_MIMAT0042054_Astatotilapia_burtoni_miR-184a ",1351.72841064983,1123.652482129,1194.40515530034,935.122922926753,1017.8541950183,952.83968368059
"abu-miR-184b_MIMAT0042068_Astatotilapia_burtoni_miR-184b ",473.71750947245,410.02153486959,437.822564838468,644.346063628248,750.911623616916,756.537063663061
"abu-miR-33-5p_MIMAT0042163_Astatotilapia_burtoni_miR-33-5p ",29.4031557603589,23.8125029325352,24.56846047295,10.6263968514404,5.42566202035344,11.0282370796365
"aca-let-7a-5p_MIMAT0021692_Anolis_carolinensis_let-7a-5p ",366.72269267781,480.714902950554,411.364222790676,312.995689078789,300.58167592758,337.464054636876
"aca-let-7c-5p_MIMAT0021696_Anolis_carolinensis_let-7c-5p ",338.136291244128,434.578178518767,384.275920217936,290.776859298505,277.793895442096,322.024522725384
"aca-miR-100_MIMAT0021709_Anolis_carolinensis_miR-100 ",369.989709984517,210.591822809608,292.931644100558,312.029653001385,413.435445950932,326.435817557239
"aca-miR-124a_MIMAT0021725_Anolis_carolinensis_miR-124a ",183.769723502243,237.38088860871,187.728236434336,227.984514267266,232.218334471127,121.310607876001
"aca-miR-124b_MIMAT0021726_Anolis_carolinensis_miR-124b ",12.2513149001496,32.7421915322359,20.7886973232654,76.31685011489,94.4065191541498,28.6734164070548
"aca-miR-184-3p_MIMAT0021814_Anolis_carolinensis_miR-184-3p ",588.879869533856,479.970762233912,488.219406834263,781.523186619569,869.19105566062,791.827422317897
"aca-miR-1a-3p_MIMAT0021840_Anolis_carolinensis_miR-1a-3p ",32.6701730670655,23.8125029325352,26.4583420477923,14.4905411610551,18.4472508692017,24.2621215752002
"aca-miR-99b-5p_MIMAT0021998_Anolis_carolinensis_miR-99b-5p ",35.937190373772,16.3710957661179,12.5992104989487,46.3697317153762,42.3201637587568,57.3468328141096
"aga-miR-100_MIMAT0001498_Anopheles_gambiae_miR-100 ",500.670402252779,328.166056039,408.214420165939,462.731281076358,455.755609709689,361.726176212076
"aga-miR-124_MIMAT0001499_Anopheles_gambiae_miR-124 ",239.309017716255,226.962918575726,236.235196855289,234.746766809092,208.345421581572,101.459781132655
"aga-miR-184_MIMAT0001504_Anopheles_gambiae_miR-184 ",485.152070045923,422.671927052499,427.743196439309,658.836604789303,676.037487736038,657.282929946333
"aga-miR-2_MIMAT0009202_Anopheles_gambiae_miR-2 ",31.8534187403889,29.765628665669,30.8680657224244,32.8452266317248,24.9580452936258,39.7016534866912
"aga-miR-8_MIMAT0001525_Anopheles_gambiae_miR-8 ",22.0523668202692,14.8828143328345,18.8988157484231,6.76225254182569,8.6810592325655,19.8508267433456
"age-miR-100_MIMAT0002418_Ateles_geoffroyi_miR-100 ",476.984526779156,311.050819556241,368.52690709425,391.244611348487,495.905508660304,438.923835769531
"age-miR-124a_MIMAT0002466_Ateles_geoffroyi_miR-124a ",191.120512442333,186.035179160431,219.856223206655,227.018478189863,183.387376287946,110.282370796365
"ame-let-7-5p_MIMAT0004418_Apis_mellifera_let-7-5p ",177.23568888883,237.38088860871,203.477249558022,168.090277468239,194.238700328653,178.657440690111
"ame-miR-100-5p_MIMAT0004420_Apis_mellifera_miR-100-5p ",418.178215258438,255.240265808111,327.579472972667,373.85596195522,450.329947689335,397.016534866912
