"","cluster","cluster_col"
"LOC101847320","C2","#FFFFB3"
"LOC101863849","C2","#FFFFB3"
"LOC101852604","C2","#FFFFB3"
"LOC101859517","C2","#FFFFB3"
"LOC101856278","C2","#FFFFB3"
"LOC101847769","C2","#FFFFB3"
"LOC101859062","C2","#FFFFB3"
"LOC101847839","C2","#FFFFB3"
"LOC101858749","C2","#FFFFB3"
"LOC106014052","C2","#FFFFB3"
"LOC101854534","C2","#FFFFB3"
"LOC101846723","C2","#FFFFB3"
"LOC101864181","C2","#FFFFB3"
"LOC101854034","C2","#FFFFB3"
"LOC101849536","C2","#FFFFB3"
"LOC101846320","C2","#FFFFB3"
"LOC101861413","C2","#FFFFB3"
"LOC118478919","C2","#FFFFB3"
"LOC101845832","C2","#FFFFB3"
"LOC101851452","C2","#FFFFB3"
"LOC101845337","C2","#FFFFB3"
"LOC106011101","C2","#FFFFB3"
"LOC101848882","C2","#FFFFB3"
"LOC101861555","C2","#FFFFB3"
"LOC101852738","C2","#FFFFB3"
"LOC101853118","C2","#FFFFB3"
"LOC101863680","C2","#FFFFB3"
"LOC101853108","C2","#FFFFB3"
"LOC101852874","C2","#FFFFB3"
"LOC106013103","C2","#FFFFB3"
"LOC101853733","C2","#FFFFB3"
"LOC101861355","C2","#FFFFB3"
"LOC101864342","C2","#FFFFB3"
"LOC101861744","C2","#FFFFB3"
"LOC101861296","C2","#FFFFB3"
"LOC101845435","C2","#FFFFB3"
"LOC101864505","C2","#FFFFB3"
"LOC101856161","C2","#FFFFB3"
"LOC101858186","C2","#FFFFB3"
"LOC101854668","C2","#FFFFB3"
"LOC101855403","C2","#FFFFB3"
"LOC101861199","C2","#FFFFB3"
"LOC101860665","C2","#FFFFB3"
"LOC101848340","C2","#FFFFB3"
"LOC101848377","C2","#FFFFB3"
"LOC101855230","C2","#FFFFB3"
"LOC101854709","C2","#FFFFB3"
"LOC101847465","C2","#FFFFB3"
"LOC101856370","C2","#FFFFB3"
"LOC101861955","C2","#FFFFB3"
"LOC101855371","C2","#FFFFB3"
"LOC101855274","C2","#FFFFB3"
"LOC106011630","C2","#FFFFB3"
"LOC101864001","C2","#FFFFB3"
"LOC101860737","C2","#FFFFB3"
"LOC101856240","C2","#FFFFB3"
"LOC101861925","C2","#FFFFB3"
"LOC101858045","C2","#FFFFB3"
"LOC101858939","C2","#FFFFB3"
"LOC101850219","C2","#FFFFB3"
"LOC101858348","C2","#FFFFB3"
"LOC118477283","C2","#FFFFB3"
"LOC101848923","C2","#FFFFB3"
"LOC101852753","C2","#FFFFB3"
"LOC101854808","C2","#FFFFB3"
"LOC101853471","C2","#FFFFB3"
"LOC106013887","C2","#FFFFB3"
"LOC101848115","C2","#FFFFB3"
"LOC101859945","C2","#FFFFB3"
"LOC101862833","C2","#FFFFB3"
"LOC101852231","C2","#FFFFB3"
"LOC101860770","C2","#FFFFB3"
"LOC106013117","C2","#FFFFB3"
"LOC101847211","C2","#FFFFB3"
"LOC101861104","C2","#FFFFB3"
"LOC101853463","C2","#FFFFB3"
"LOC101845676","C2","#FFFFB3"
"LOC101857597","C2","#FFFFB3"
"LOC101845452","C2","#FFFFB3"
"LOC106013217","C2","#FFFFB3"
"LOC101848595","C2","#FFFFB3"
"LOC101857128","C2","#FFFFB3"
"LOC101862822","C2","#FFFFB3"
"LOC101857532","C2","#FFFFB3"
"LOC101847784","C2","#FFFFB3"
"LOC101851682","C2","#FFFFB3"
"LOC101853474","C2","#FFFFB3"
"LOC101856068","C2","#FFFFB3"
"LOC101849487","C2","#FFFFB3"
"LOC106012394","C2","#FFFFB3"
"LOC101849413","C2","#FFFFB3"
"LOC101855936","C2","#FFFFB3"
"LOC101859002","C2","#FFFFB3"
"LOC101851818","C2","#FFFFB3"
"LOC101852426","C2","#FFFFB3"
"LOC101854731","C2","#FFFFB3"
"LOC106011146","C2","#FFFFB3"
"LOC101859616","C2","#FFFFB3"
"LOC101851693","C2","#FFFFB3"
"LOC106011030","C2","#FFFFB3"
"LOC101860452","C2","#FFFFB3"
"LOC101848682","C2","#FFFFB3"
"LOC106013653","C2","#FFFFB3"
"LOC101859113","C2","#FFFFB3"
"LOC101861889","C2","#FFFFB3"
"LOC101858273","C2","#FFFFB3"
"LOC118478682","C2","#FFFFB3"
"LOC101845714","C2","#FFFFB3"
"LOC101859411","C2","#FFFFB3"
"LOC101853177","C2","#FFFFB3"
"LOC101863140","C2","#FFFFB3"
"LOC101862437","C2","#FFFFB3"
"LOC101861535","C2","#FFFFB3"
"LOC101862878","C2","#FFFFB3"
"LOC106012180","C2","#FFFFB3"
"LOC101855937","C2","#FFFFB3"
"LOC101856708","C2","#FFFFB3"
"LOC101864596","C2","#FFFFB3"
"LOC101845466","C2","#FFFFB3"
"LOC101860873","C2","#FFFFB3"
"LOC106012918","C2","#FFFFB3"
"LOC101859366","C2","#FFFFB3"
"LOC101850319","C2","#FFFFB3"
"LOC106012457","C2","#FFFFB3"
