"","AC166Pp","AC170Pp","AC174Pp","AC199Pp","AC200Pp","AC201Pp","AC202Pp","AC203Pp","AC204Pp","AC179Pp","AC183Pp","AC184Pp","AC175Pp","AC176Pp","AC180Pp","AC205Pp","AC206Pp","AC207Pp","AC208Pp","AC209Pp","AC210Pp","AC164Pp","AC167Pp","AC172Pp","AC187Pp","AC188Pp","AC189Pp","AC190Pp","AC191Pp","AC192Pp","AC177Pp","AC181Pp","AC182Pp","AC178Pp","AC185Pp","AC186Pp","AC193Pp","AC194Pp","AC195Pp","AC196Pp","AC197Pp","AC198Pp"
"LOC101849536",0.264074454577558,1.15060820784659,0.502865515610315,0.374465084803153,0.212938980046472,0.372176340168042,0.824184144834378,0.165573470197502,0.66156435613881,2.26654293989224,2.4377359279838,1.93931948212249,2.64732974480198,0.902103091603773,0.233785075397084,0.560974827657902,1.04896077894977,0.122903815114055,0.19962175803658,-0.223539412904763,0.0569296484803235,-0.710229279302724,-0.726890159946426,-0.27843166071399,-0.82312549854314,-0.840844683191514,-0.855435148826007,-0.814927405574474,-0.81106357479808,-0.751531823341833,-0.818702805964388,-0.813334973579079,-0.748498140019069,-0.896439701830554,-0.858709717869953,-0.87472640963708,-0.860177882621468,-0.836606781643097,-0.865209923076958,-0.844767787438227,-0.835048257718158,-0.856416615721835
"LOC101859002",0.678875697983561,0.60785378005113,1.03928380167265,0.536683731971258,1.11623420286994,0.784630490360036,1.21265083027225,0.805249921047095,1.1840392653774,1.26835754437643,1.7617152873883,1.08860475094524,1.54634659183921,0.80969882115425,0.799487540352473,0.821305211392379,1.17945270108425,0.937507400273317,0.499534361978375,0.478148338877504,0.896877772014467,-1.12433906409216,-0.927779123925055,-0.377666385638019,-0.87672425479242,-0.9512093698952,-0.99134948678545,-1.07585821688757,-1.01455746389425,-0.994623152324719,-0.980141927649777,-0.92883500760314,-0.87065946854891,-0.909281306947844,-0.947198640503475,-1.04442205371478,-0.926677497094433,-1.07722949258292,-0.876645170083239,-1.06091962494383,-1.01947805016315,-1.07694328521116
"LOC101854808",1.38268300321427,0.100122552506139,-0.255874307132486,-0.249263468939125,0.606617574672122,0.764355725341084,2.76981084790333,1.01668841482766,1.45663526332744,1.20122624716728,0.317576005713393,1.68959013618254,0.541366766407869,0.799955773119882,1.23279916202999,0.430632134730472,0.855909949263185,0.836646778225261,0.607119403961277,0.374350479182226,1.5865098762276,-0.742478160923455,-0.833011046037704,-0.919908876419382,-0.854792590982763,-0.956756157972162,-0.951419416506852,-0.80247244722596,-0.910110484773708,-0.984973827015863,-0.816760703650652,-0.907873236679592,-0.833607128021685,-0.803698679399474,-0.760649580087093,-0.814812397511112,-0.741489338890781,-0.971216075629235,-0.719687449500368,-0.872491219696806,-0.95144463437799,-0.915804866628772
"LOC101845337",0.534076429234017,0.910381987262319,1.34186237066113,0.982440306392168,0.950313220756405,0.770675843564238,1.0067482703641,0.0647658556590771,0.57565694198435,1.82444407272706,1.43917909985162,1.36646727759338,2.14132239370224,1.42451916675981,0.712553554801712,0.76349623583664,0.693791299576439,0.531304359887251,0.424346629226284,-0.223275978519255,0.556395366594057,-0.768670159438846,-0.780669771251494,-0.349143062142631,-1.17759391512098,-1.14455443380503,-0.995580736029271,-0.76937004909631,-0.577300596095062,-1.07509209159526,-0.995635010257033,-0.891708813505394,-1.08462461873844,-0.417304131159363,-0.954791027959915,-1.21925634551576,-0.935660196908078,-0.683567420351621,-0.934743692022526,-1.23362457072381,-0.832796958347569,-0.969777103850628
"LOC101856247",0.858154053759629,0.248638345406268,-0.0375967222637836,-0.294015556487368,0.543856887081599,0.468712156840327,1.01654867133638,2.11247163573324,0.0940826036265528,0.674889003104761,0.20549700554116,1.38449510040267,-0.0287849041017361,3.09894794215547,1.56396520010735,0.146629693137706,1.49957704806474,0.691004629832648,1.23700793904447,0.66400023587946,0.893971066496073,-0.428132583294595,-0.801516014061919,-0.81127863089884,-0.887411400312732,-0.902060650648875,-0.894630410620503,-0.929575392358346,-0.765253180627611,-0.756190986228551,-0.915477881306218,-0.888937927774175,-0.855766068522103,-0.63732037103243,-0.78515660637962,-0.784719182441312,-0.854642287892041,-0.67531581304832,-0.845594160943625,-0.917259576275972,-0.912022923977469,-0.793789986052356
"LOC101854534",0.856578615982464,1.33660580932711,0.249788579024661,0.95563341630392,0.383129323037664,0.864324722674742,1.3219878637524,0.317318911709587,0.0555808653740043,0.522437207110032,0.687259911138254,2.63204826512154,2.37898205284329,1.0449471837079,0.716564213945238,0.165011986547582,1.0844153851426,1.09258241184726,-0.135698231965435,-0.149239440395018,1.42248950459989,-0.684402890610984,-1.03988231183246,-0.78329290627595,-1.05639554887448,-0.949309150881904,-0.902738294355427,-0.931905412535473,-0.951590754502262,-0.894342860490889,-0.777992862491843,-0.899205417511259,-0.748243757251848,-0.76458016169905,-0.756818878614613,-0.778358167972987,-0.833117232097153,-0.991687073062948,-0.757312753462462,-0.886638192660672,-0.619288322548624,-0.795645607096382
"LOC101846723",0.730927800686686,1.62567096106313,1.26728706759479,-0.164124628556028,1.3805573631375,1.41807062386535,1.35911877057693,0.197003800576165,-0.271249633296802,1.05743576557781,1.02893646994812,0.24095753409453,2.54555208315141,0.895793124562381,0.838215786304229,1.27990372839497,0.688088134976035,0.911774129451039,0.328106001025127,0.431405317509123,0.0313589008394636,-1.02047601044113,-0.40345522886468,0.0194404831159054,-1.02121042228702,-0.952033773716548,-1.02315130042547,-1.14199397571568,-1.01492750522346,-0.998712937052216,-0.464083303397913,-0.870268092747051,-0.94289371042869,-0.7902905096217,-0.49756905101469,-1.06532496470148,-0.932204575016936,-0.795415487562882,-0.752327602489417,-1.1766282391569,-0.833743012496089,-1.1435198822379
"LOC101862002",-0.541836862841377,-0.62613804306593,-0.404333007174806,-0.376857690210909,-0.735555788138831,-0.683483367429885,-0.277284332936875,-0.680005667844507,-0.31444992695278,-0.474275627354135,-0.391644210218802,-0.767835157366804,-0.565370722120174,-0.453788131678254,-0.323239153694975,-0.57809141415189,-0.633407981926992,-0.486612958470851,-0.621717967735615,-0.623601130092885,-0.626741288825346,0.802875886984726,2.31259434763151,-0.744291282948783,1.43391075130155,2.50160358887814,1.59298955704656,2.12230332108413,2.14634065882064,-0.250016380213013,-0.602186236697777,-0.348496589469442,-0.682531625672678,1.20311418393227,-0.728631727046734,-0.42737647943366,-0.251992999805845,0.125662111773856,-0.767835157366804,2.05283075375183,-0.229582912261452,-0.0750133400564074
"LOC101854668",1.50941102486523,0.314466554421651,0.744165945919082,0.541380355531134,0.707989849266884,1.59113999163004,1.04107005582257,1.15636251264865,0.71463278281125,1.342373595632,0.564891823414145,2.13018957421333,0.651353448668379,1.2466084100904,0.725078574919832,0.509280633822615,1.44689770921926,0.822966340981975,0.28652287587336,-0.238756432199482,1.34899547578176,-0.931374601422683,-0.894898491957676,-0.506410627304163,-0.94745318445103,-0.94745318445103,-0.934733931123868,-0.94745318445103,-0.94745318445103,-0.928745001902575,-0.90675722167757,-0.939404636145664,-0.94745318445103,-0.897014128931072,-0.863178945437148,-0.94745318445103,-0.94745318445103,-0.94745318445103,-0.94745318445103,-0.932518488470317,-0.94745318445103,-0.94745318445103
"LOC101846320",0.178367122366426,0.788413405935483,1.15541827287106,0.161473187093192,0.370410387098847,0.535119782800488,0.4679573447183,0.0914042496327292,0.977682634374605,2.72610060502218,1.88631393442764,1.67717620695454,2.17894359790471,1.23984992733957,0.888620751562278,0.219513402430144,0.767316349922305,0.649340003550124,0.329203537056805,-0.0167041529275127,0.283406780299751,-0.780167768841284,-0.846900999207199,-0.187269052257174,-0.910632439885478,-0.932787907058381,-0.927401699024227,-0.802168318982192,-1.00292181826702,-0.873329446454241,-0.72101916281893,-0.875487225031448,-0.847382284889408,-0.82822508276378,-0.716993058334786,-0.821860788348918,-0.933250048320518,-0.756077535027519,-0.907721811064585,-1.00292181826702,-0.927427150641287,-0.953381914948279
