gene,logP
LOC118478065,1.16339772576766
LOC101845963,-0.591001513887927
LOC101846613,-1.02142315981296
LOC106012211,-0.831444343246844
LOC101847001,-1.08447467593999
LOC101855301,0.0368631130013239
LOC101847694,0.0597347457659941
LOC101848083,-2.30579554065417
LOC101848620,-2.29335039463565
LOC101848391,0.748857408935054
LOC101848850,-0.751022891735561
LOC101849253,0.190160552559506
LOC101849504,-0.187572943794055
LOC101855532,-0.389399784240616
LOC101849970,-0.707826577192523
LOC101850212,-2.03399814072344
LOC101850446,-0.298423256992091
LOC101850682,2.4061178253013
LOC101850917,1.34335941933091
LOC101851377,0.368960365101473
LOC101851774,-0.160013530540622
LOC101855758,-0.374986312490926
LOC101852128,-0.818669070020525
LOC101852364,-1.61931253371888
LOC101852581,-0.290889802117072
LOC101853505,-0.255061396767297
LOC101853981,-1.90785390820946
LOC101854370,-0.647351367161018
LOC101856476,0.0268343273156191
LOC101854761,-1.09073941810459
LOC101856700,0.103124375636079
LOC101855452,-0.712381840614929
LOC101856937,-0.152814422055591
LOC101857153,-1.06151703641303
LOC101857372,0.345607958791465
LOC101857609,-0.0588738076739864
LOC101855683,0.310243815703289
LOC101857841,-0.947738169915766
LOC101858073,1.03601380637965
LOC101855910,-1.70377698750439
LOC101858313,-0.0307869930030455
LOC100533353,0.136312298262191
LOC101856139,-0.0982905201096032
LOC101858530,0.59772943035015
LOC101856539,0.393795948724692
LOC101856763,0.121756948077267
LOC101857754,-1.5184212266661
LOC118477465,0.114859163581636
LOC101857986,-0.144024628158729
LOC101858529,0.736665096142694
LOC101858747,-1.23613199055213
LOC101859282,0.870138609465025
LOC101859675,0.430474043793944
LOC101860375,0.245501188111319
LOC101859524,0.162684351585976
LOC106011455,-0.24166895147635
LOC101859745,-1.89562482045918
LOC101859983,0.468220512621214
LOC101860211,0.309032083165995
LOC101860615,-1.84671899572897
LOC101861328,0.45234230432706
LOC101861244,-1.18496978743665
LOC101861473,0.735075975993894
LOC101861549,-0.240725910993185
LOC101862382,-1.91959834688555
LOC101862618,0.123113394743228
LOC101862840,0.588734149005524
LOC106012640,0.14741918165391
LOC101863065,-0.654008306122676
LOC101863307,0.0125795327377654
LOC101861775,-1.99016084685467
LOC101863551,0.236207491923044
LOC101861996,0.430517613764277
LOC101864424,-0.831542050516291
LOC101864031,0.000880334582574721
LOC101864654,0.0957847315816501
LOC101845135,0.808301848518211
LOC101845657,-1.69765361435587
LOC101846041,-0.320813436302232
LOC101862459,0.32605811533743
LOC100533245,-0.0318752644442745
LOC101862691,0.734100435016403
LOC100533249,1.03762277327166
LOC101846927,-1.05655307686171
LOC101847156,-0.277871323607067
LOC101847384,-1.27245651402263
LOC101847916,0.0448144945855906
LOC101848154,-1.57514011636425
LOC101848702,0.51832643569639
LOC101862909,-0.180200443830505
LOC101863146,-0.0303256061314517
LOC101849419,0.132644786937211
LOC101849656,0.924344135756167
LOC101863390,0.0262470669059496
LOC101849892,-0.236553372097986
LOC101850124,-0.019954789498793
LOC101850373,-3.45156222855538
LOC101850608,0.557303668515239
LOC101850854,0.5503944637359
LOC118477874,2.04702288326548
LOC101851082,0.299892428110367
LOC101851304,-2.97484094636474
LOC101851538,-2.26084866511221
LOC101864344,1.40141320131151
LOC101851775,0.358857073395498
LOC106012852,0.0208543173223262
LOC101851991,-1.53842600416745
LOC101852215,-0.777982888569826
LOC101845508,0.314203223319319
LOC101852737,-0.18769667227018
LOC101852887,-0.560892884021969
LOC101845733,-0.947501733850739
LOC101853269,0.046436997142245
LOC101853653,3.71202479894364
LOC101854125,0.612309091690635
LOC101846173,-0.809574334325903
LOC101846389,-0.427419077422982
LOC101846614,-0.0974187793188342
LOC101854608,-1.41479291456274
LOC106012383,-0.398097426009166
LOC118477135,0.0904470401497877
LOC101847539,-0.154007448474594
LOC101847774,3.80866933661294
LOC101848005,0.874165694857863
LOC101848559,-0.27259525001243
LOC101849256,-0.0774548417453737
LOC101848789,0.105422221864315
LOC101849506,-0.391436600945235
LOC101849013,-0.466521815868893
LOC101849255,0.56794754686449
LOC101849803,2.46523161893187
